,what,were,steam,engines,used,as,a,source,of,?
thereafter,0.22742412984371185,0.260362833738327,0.16962890326976776,0.10162222385406494,0.12588495016098022,0.32951048016548157,0.2944464385509491,0.1600562483072281,0.4017646014690399,0.1361512392759323
",",0.3087472915649414,0.36755475401878357,0.2264556586742401,0.20245449244976044,0.3120402991771698,0.48816442489624023,0.427140474319458,0.2657822072505951,0.4946078956127167,0.31091248989105225
technological,0.22749881446361542,0.18146875500679016,0.2570239007472992,0.29518720507621765,0.25007253885269165,0.26753705739974976,0.2389223277568817,0.18091215193271637,0.32200396060943604,0.1312418282032013
developments,0.22913794219493866,0.25260260701179504,0.19229638576507568,0.2671981453895569,0.24120524525642395,0.238637775182724,0.2627028822898865,0.19466979801654816,0.2817978858947754,0.1302815079689026
and,0.31309178471565247,0.42175528407096863,0.24133789539337158,0.21148960292339325,0.3150506615638733,0.49487000703811646,0.3739250600337982,0.24024291336536407,0.5116966962814331,0.20544172823429108
improvements,0.29292213916778564,0.24950842559337616,0.299773633480072,0.4110369384288788,0.29849570989608765,0.2580331265926361,0.2632787227630615,0.2326774150133133,0.22111958265304565,0.26583096385002136
in,0.30808621644973755,0.3815755248069763,0.19852672517299652,0.18084456026554108,0.3090210556983948,0.3887844979763031,0.539380669593811,0.24019475281238556,0.5696388483047485,0.20430970191955566
manufacturing,0.1945977807044983,0.1887539178133011,0.3721696436405182,0.38666510581970215,0.3380972445011139,0.23520907759666443,0.2579406797885895,0.23726260662078857,0.26644885540008545,0.11596895009279251
techniques,0.19165433943271637,0.19044029712677002,0.20104971528053284,0.20922216773033142,0.4199719727039337,0.2551710307598114,0.2248668521642685,0.21597877144813538,0.2114233523607254,0.1533757448196411
(,0.2411840260028839,0.14743882417678833,0.11881943792104721,0.12876033782958984,0.19005385041236877,0.32029855251312256,0.3206180930137634,0.21444886922836304,0.35032153129577637,0.40561532974243164
partly,0.2688411772251129,0.2685376703739166,0.15299610793590546,0.19570714235305786,0.17107324302196503,0.10637707263231277,0.20117881894111633,0.16232925653457642,0.28944599628448486,0.12213768810033798
brought,0.26212388277053833,0.35028892755508423,0.17252443730831146,0.15717585384845734,0.27940136194229126,0.2719915211200714,0.2422461211681366,0.17278194427490234,0.3339962065219879,0.2339296191930771
about,0.47976887226104736,0.29814305901527405,0.09810283035039902,0.13099084794521332,0.2304701954126358,0.2989700436592102,0.34171196818351746,0.26116594672203064,0.40939709544181824,0.302409827709198
by,0.2455483376979828,0.4406847059726715,0.18134352564811707,0.18518580496311188,0.27705541253089905,0.3815547823905945,0.32094135880470276,0.1939312070608139,0.3646814823150635,0.17966607213020325
the,0.42745697498321533,0.3906462490558624,0.23105813562870026,0.2245008647441864,0.3718377649784088,0.48381632566452026,0.5829201340675354,0.30258262157440186,0.733189046382904,0.22068053483963013
adoption,0.2520635426044464,0.19082939624786377,0.1434551328420639,0.1353243589401245,0.21051648259162903,0.2650686502456665,0.27720558643341064,0.15727588534355164,0.2520056962966919,0.23771828413009644
of,0.33290785551071167,0.34038281440734863,0.20239725708961487,0.17593856155872345,0.3075267970561981,0.3886612355709076,0.5052502155303955,0.18598204851150513,1.0,0.1826142966747284
the,0.42745697498321533,0.3906462490558624,0.23105813562870026,0.2245008647441864,0.3718377649784088,0.48381632566452026,0.5829201340675354,0.30258262157440186,0.733189046382904,0.22068053483963013
