,what,was,the,fort,that,was,being,built,to,be,named,?
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.17954927682876587,0.36068853735923767,0.5410010814666748,0.426932692527771,0.19984933733940125,0.385390967130661,0.3325980603694916,0.22493088245391846,0.2089974731206894
purchased,0.1431688368320465,0.2898165285587311,0.21101699769496918,0.1635504961013794,0.2514423727989197,0.2898165285587311,0.18804757297039032,0.3344246447086334,0.18960927426815033,0.21126045286655426,0.2489224076271057,0.04121813923120499
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.1034703478217125,0.4266771972179413,0.2396296262741089,0.33179932832717896,0.19523783028125763,0.44619059562683105,0.3200586438179016,0.15600357949733734,0.1898253709077835
construction,0.20329850912094116,0.224521666765213,0.2671978175640106,0.3120404779911041,0.2251325249671936,0.224521666765213,0.22730232775211334,0.5050970315933228,0.24810278415679932,0.23028753697872162,0.11539451032876968,0.13494056463241577
tools,0.3442733585834503,0.1372663676738739,0.18922023475170135,0.09164505451917648,0.32937756180763245,0.1372663676738739,0.20642834901809692,0.16718612611293793,0.2906495928764343,0.3073016405105591,0.09776022285223007,0.30193743109703064
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.16577591001987457,0.5436353087425232,0.3636345863342285,0.4514104127883911,0.2183011770248413,1.0,0.4972836375236511,0.23689822852611542,0.29463258385658264
continue,0.34721019864082336,0.19536785781383514,0.28966447710990906,0.11314114183187485,0.39601582288742065,0.19536785781383514,0.27377909421920776,0.14204685389995575,0.4441169500350952,0.3588188588619232,0.03800084814429283,0.23903685808181763
building,0.23529528081417084,0.237406387925148,0.3159640431404114,0.29166877269744873,0.2585349678993225,0.237406387925148,0.29336702823638916,0.5628743767738342,0.2658686637878418,0.21893082559108734,0.21193961799144745,0.13549931347370148
what,0.9999998807907104,0.22111038863658905,0.42745697498321533,0.19451747834682465,0.6297725439071655,0.22111038863658905,0.3760843276977539,0.1554843783378601,0.455847829580307,0.3929833769798279,0.1525408923625946,0.5051238536834717
became,0.1434093862771988,0.6575068235397339,0.36325156688690186,0.18011191487312317,0.1675340086221695,0.6575068235397339,0.38001132011413574,0.22057823836803436,0.20401327311992645,0.22371777892112732,0.30360573530197144,0.11374033987522125
fort,0.19451747834682465,0.30989983677864075,0.2420126497745514,0.9999999403953552,0.14472344517707825,0.30989983677864075,0.20573054254055023,0.31751739978790283,0.16577591001987457,0.1481565535068512,0.15228179097175598,0.15686731040477753
duquesne,0.19560393691062927,0.2953045070171356,0.28394466638565063,0.3629205524921417,0.16096995770931244,0.2953045070171356,0.15979041159152985,0.18455363810062408,0.22050736844539642,0.10235428065061569,0.24774065613746643,0.18955427408218384
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2578873038291931,0.4460422694683075,0.40146201848983765,0.35574623942375183,0.2374027520418167,0.4645031690597534,0.4383580684661865,0.24760639667510986,0.4130953550338745
