,which,set,of,countries,have,higher,economic,mobility,than,the,united,states,?
despite,0.2826302945613861,0.16592808067798615,0.33505672216415405,0.224700465798378,0.33455711603164673,0.18601258099079132,0.2642723023891449,0.25612443685531616,0.27540871500968933,0.3172689974308014,0.203436017036438,0.19270232319831848,0.14350546896457672
popular,0.2955121099948883,0.11817155033349991,0.25281813740730286,0.31084364652633667,0.23111169040203094,0.16639453172683716,0.16270926594734192,0.13048769533634186,0.23986786603927612,0.2724021077156067,0.23740273714065552,0.22947420179843903,0.13108457624912262
prejudices,0.23267580568790436,0.13918249309062958,0.19004656374454498,0.33195173740386963,0.3111829161643982,0.25416600704193115,0.33644962310791016,0.2665523290634155,0.27085015177726746,0.18924161791801453,0.18926280736923218,0.20248736441135406,0.267868310213089
to,0.5345056653022766,0.320547491312027,0.41548454761505127,0.3111797273159027,0.4544740617275238,0.3279348313808441,0.26856908202171326,0.24136675894260406,0.3192550539970398,0.535392165184021,0.2715383470058441,0.2828785181045532,0.29463258385658264
the,0.6521818041801453,0.2927955985069275,0.733189046382904,0.33290645480155945,0.40389683842658997,0.3292480409145355,0.282455176115036,0.2575506269931793,0.3227543234825134,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
contrary,0.37484094500541687,0.236236110329628,0.2893366813659668,0.24398548901081085,0.40634024143218994,0.27273303270339966,0.1638350635766983,0.2678864002227783,0.2956039309501648,0.2533678412437439,0.17284415662288666,0.22214120626449585,0.3430522680282593
",",0.3658004403114319,0.24912182986736298,0.4946078956127167,0.2966555655002594,0.3541618287563324,0.251458078622818,0.2340485155582428,0.16655971109867096,0.3371901512145996,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
the,0.6521818041801453,0.2927955985069275,0.733189046382904,0.33290645480155945,0.40389683842658997,0.3292480409145355,0.282455176115036,0.2575506269931793,0.3227543234825134,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
u.s.,0.014487938955426216,0.05266569182276726,0.011562774889171124,-0.023569520562887192,0.02077469229698181,-0.027590742334723473,-0.1020386666059494,0.05289843678474426,0.019351201131939888,0.06592652946710587,-0.016844162717461586,-0.013163301162421703,0.07886100560426712
economy,0.2461519092321396,0.1478624790906906,0.2583308815956116,0.31107139587402344,0.18772046267986298,0.22634461522102356,0.734853208065033,0.2817254960536957,0.24018609523773193,0.24644890427589417,0.1988813877105713,0.2084074169397354,0.11486924439668655
consistently,0.3660701811313629,0.21455834805965424,0.2553209662437439,0.2142692655324936,0.439106822013855,0.2333379089832306,0.1494988054037094,0.28577834367752075,0.33127158880233765,0.2695158123970032,0.12691813707351685,0.17011423408985138,0.2656213045120239
affords,0.3288903832435608,0.11914876848459244,0.3087397813796997,0.3039465844631195,0.3785957992076874,0.3751572370529175,0.22717447578907013,0.3122078776359558,0.35485801100730896,0.30027449131011963,0.23208144307136536,0.22633637487888336,0.16812922060489655
a,0.56894451379776,0.2540091574192047,0.5052502155303955,0.2672088146209717,0.338716596364975,0.2608921229839325,0.2234611213207245,0.20186369121074677,0.3126874566078186,0.5829201340675354,0.2732578217983246,0.24708621203899384,0.23916715383529663
lower,0.35006284713745117,0.19990302622318268,0.31757521629333496,0.11025762557983398,0.2959109842777252,0.5770463347434998,0.14096929132938385,0.24579796195030212,0.37582775950431824,0.3463275134563446,0.17855370044708252,0.19174249470233917,0.08471795171499252
level,0.3123716711997986,0.12268785387277603,0.23504668474197388,0.18990091979503632,0.28482067584991455,0.46231552958488464,0.19942738115787506,0.2942984998226166,0.21949224174022675,0.31442487239837646,0.14650458097457886,0.1739727109670639,0.20528386533260345
of,0.5011631846427917,0.20671486854553223,1.0,0.2800094783306122,0.3802283704280853,0.3096220791339874,0.3030148148536682,0.21091228723526,0.33036211133003235,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
economic,0.2570582926273346,0.1566409170627594,0.3030148148536682,0.3255499005317688,0.18631099164485931,0.20971091091632843,0.9999999403953552,0.2547113299369812,0.15147915482521057,0.282455176115036,0.21480794250965118,0.18787707388401031,0.1206481084227562
mobility,0.30662235617637634,0.11764022707939148,0.21091228723526,0.2044273316860199,0.2965279519557953,0.3264572024345398,0.2547113299369812,1.0,0.2497166097164154,0.2575506269931793,0.19595448672771454,0.1889382302761078,0.13310691714286804
than,0.3974681496620178,0.17463093996047974,0.33036211133003235,0.28124192357063293,0.46517109870910645,0.4844343364238739,0.15147915482521057,0.2497166097164154,1.0,0.3227543234825134,0.20593391358852386,0.24014748632907867,0.24917294085025787
all,0.50777268409729,0.2930283844470978,0.42798417806625366,0.3089151084423065,0.5559456944465637,0.254896879196167,0.1693500280380249,0.30377650260925293,0.30176207423210144,0.4860881567001343,0.20563383400440216,0.22727420926094055,0.29575422406196594
the,0.6521818041801453,0.2927955985069275,0.733189046382904,0.33290645480155945,0.40389683842658997,0.3292480409145355,0.282455176115036,0.2575506269931793,0.3227543234825134,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
continental,0.24691486358642578,0.0731193944811821,0.2580660581588745,0.27966082096099854,0.18049576878547668,0.17083294689655304,0.17765626311302185,0.21295318007469177,0.21509258449077606,0.32723063230514526,0.3339676558971405,0.3501686453819275,0.1410352885723114
