,why,is,the,statement,doubtful,in,the,eyes,of,scholars,?
recent,0.29578444361686707,0.2643822133541107,0.31046223640441895,0.21940158307552338,0.29539716243743896,0.2857761085033417,0.31046223640441895,0.2447754442691803,0.2896444797515869,0.24820293486118317,0.2544887959957123
scholars,0.21553097665309906,0.18092486262321472,0.2524346709251404,0.3119630217552185,0.30680587887763977,0.137682244181633,0.2524346709251404,0.174852654337883,0.2583930194377899,0.9999998807907104,0.11279910802841187
consider,0.37020018696784973,0.32138293981552124,0.33438587188720703,0.41233691573143005,0.3740982115268707,0.22423222661018372,0.33438587188720703,0.14689190685749054,0.3074679970741272,0.2815963923931122,0.37281370162963867
the,0.30742117762565613,0.5823672413825989,1.0,0.20954233407974243,0.239092618227005,0.6662389636039734,1.0,0.24057909846305847,0.733189046382904,0.2524346709251404,0.22068053483963013
evidence,0.3902665376663208,0.18936312198638916,0.25031140446662903,0.3592149615287781,0.47032538056373596,0.16157563030719757,0.25031140446662903,0.1725011020898819,0.2471507489681244,0.2869100272655487,0.24151235818862915
for,0.3869043290615082,0.43268078565597534,0.4739971458911896,0.24888525903224945,0.29274868965148926,0.4322226941585541,0.4739971458911896,0.16830205917358398,0.4185989499092102,0.1806952953338623,0.264628142118454
these,0.38858214020729065,0.2498808652162552,0.49086877703666687,0.21530179679393768,0.2230423390865326,0.3791837692260742,0.49086877703666687,0.26885026693344116,0.42684608697891235,0.26446545124053955,0.2571668326854706
words,0.2890753448009491,0.2681862413883209,0.29205581545829773,0.3624751567840576,0.3221767544746399,0.20740897953510284,0.29205581545829773,0.1741255819797516,0.26259833574295044,0.24020332098007202,0.27074310183525085
to,0.4100138247013092,0.42745086550712585,0.535392165184021,0.29286426305770874,0.29470741748809814,0.45010748505592346,0.535392165184021,0.18490970134735107,0.41548454761505127,0.2576902210712433,0.29463258385658264
be,0.4042811989784241,0.4819129705429077,0.4248143136501312,0.3326943516731262,0.3437385559082031,0.3481820821762085,0.4248143136501312,0.20350173115730286,0.33904364705085754,0.22129200398921967,0.3324260413646698
unreliable,0.33767303824424744,0.16425374150276184,0.17130182683467865,0.3820120394229889,0.42781713604927063,0.15851743519306183,0.17130182683467865,0.18289753794670105,0.10907898843288422,0.2258474975824356,0.3206176459789276
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.22861604392528534,0.3291781544685364,0.5201468467712402,0.4933079481124878,0.27599993348121643,0.4946078956127167,0.23522303998470306,0.31091248989105225
