,how,is,unregistered,property,held,in,informal,form,?
much,0.46556615829467773,0.3156087100505829,0.25690874457359314,0.187702476978302,0.10934467613697052,0.2725222110748291,0.22048597037792206,0.2030525505542755,0.23442231118679047
unregistered,0.3124324679374695,0.16622713208198547,1.0,0.2806946635246277,0.15842823684215546,0.17070968449115753,0.2970905900001526,0.0984441265463829,0.3738275468349457
property,0.21214880049228668,0.1944577693939209,0.2806946635246277,0.9999999403953552,0.1444471776485443,0.19798405468463898,0.17604932188987732,0.16414177417755127,0.16865147650241852
is,0.22544461488723755,1.0,0.16622713208198547,0.1944577693939209,0.19884860515594482,0.5394441485404968,0.23649168014526367,0.3218395411968231,0.22961433231830597
held,0.06776752322912216,0.19884860515594482,0.15842823684215546,0.1444471776485443,1.0,0.3127288818359375,0.19225211441516876,0.13327179849147797,0.14103956520557404
in,0.2601168751716614,0.5394441485404968,0.17070968449115753,0.19798405468463898,0.3127288818359375,1.0,0.2039051353931427,0.2815987169742584,0.20430970191955566
informal,0.2480103224515915,0.23649168014526367,0.2970905900001526,0.17604932188987732,0.19225211441516876,0.2039051353931427,0.9999998807907104,0.13118405640125275,0.17082542181015015
form,0.1948026418685913,0.3218395411968231,0.0984441265463829,0.16414177417755127,0.13327179849147797,0.2815987169742584,0.13118405640125275,0.9999999403953552,0.1463010311126709
through,0.2704794108867645,0.27805060148239136,0.16650985181331635,0.15535205602645874,0.21642078459262848,0.38533157110214233,0.11327225714921951,0.22590146958827972,0.16913433372974396
various,0.3173779249191284,0.13601526618003845,0.24117852747440338,0.09412728250026703,0.1786193549633026,0.266343355178833,0.25914618372917175,0.19745975732803345,0.12823495268821716
associations,0.23827844858169556,0.215385302901268,0.24988718330860138,0.17539480328559875,0.1742829829454422,0.24288348853588104,0.2748875021934509,0.24159686267375946,0.15806038677692413
and,0.33647966384887695,0.3859752118587494,0.20021693408489227,0.26201775670051575,0.22757986187934875,0.4954058527946472,0.24550151824951172,0.30469027161598206,0.20544172823429108
other,0.3591516315937042,0.25895947217941284,0.3083873987197876,0.21186797320842743,0.19326095283031464,0.39989137649536133,0.2615540325641632,0.2616437077522278,0.24682199954986572
arrangements,0.24526408314704895,0.16693788766860962,0.18578095734119415,0.19331595301628113,0.1560913473367691,0.224666565656662,0.2555178701877594,0.2827596366405487,0.11981888115406036
.,0.3287222981452942,0.4569662809371948,0.2568728029727936,0.22922755777835846,0.2628571093082428,0.5591574311256409,0.19334393739700317,0.28317511081695557,0.4130953550338745
