,what,could,a,teacher,help,in,organizing,?
outside,0.3224688768386841,0.2599397301673889,0.3113526403903961,0.17518547177314758,0.256618469953537,0.4191201329231262,0.25118523836135864,0.14839068055152893
of,0.33290785551071167,0.29043012857437134,0.5052502155303955,0.19968076050281525,0.22745388746261597,0.5696388483047485,0.33243584632873535,0.1826142966747284
the,0.42745697498321533,0.35393214225769043,0.5829201340675354,0.17760860919952393,0.30064165592193604,0.6662389636039734,0.31940990686416626,0.22068053483963013
classroom,0.2124699205160141,0.22697588801383972,0.24022886157035828,0.41544046998023987,0.3054969012737274,0.215206578373909,0.30831441283226013,0.23190370202064514
teachers,0.2526462972164154,0.22082939743995667,0.2509842813014984,0.7334206104278564,0.3310721218585968,0.2128150761127472,0.28530099987983704,0.19522249698638916
may,0.25739946961402893,0.41583991050720215,0.29255667328834534,0.15417979657649994,0.28016674518585205,0.3424151837825775,0.20279400050640106,0.2768254578113556
accompany,0.2596289813518524,0.22624047100543976,0.21991916000843048,0.2993709146976471,0.2722797095775604,0.206008180975914,0.207013800740242,0.17882870137691498
students,0.2380729615688324,0.20466779172420502,0.2676560878753662,0.5254908204078674,0.2723594009876251,0.2676171064376831,0.28161168098449707,0.18017297983169556
on,0.34226128458976746,0.2953716814517975,0.3848365545272827,0.1997784823179245,0.24844828248023987,0.46853652596473694,0.278036892414093,0.2714994251728058
field,0.1825202852487564,0.16404791176319122,0.2030690312385559,0.16775856912136078,0.13039951026439667,0.20553018152713776,0.1653822809457779,0.11279727518558502
trips,0.2086525410413742,0.2678734064102173,0.20099662244319916,0.19797804951667786,0.24662771821022034,0.2417227029800415,0.17271627485752106,0.07787525653839111
",",0.3087472915649414,0.27399855852127075,0.427140474319458,0.2884024977684021,0.2855570912361145,0.5201468467712402,0.19626973569393158,0.31091248989105225
supervise,0.2805338203907013,0.3039967715740204,0.21311701834201813,0.310066819190979,0.3481612503528595,0.19477185606956482,0.40390506386756897,0.20844393968582153
study,0.3123835027217865,0.24627453088760376,0.2268155962228775,0.3525848984718323,0.26537978649139404,0.2875489294528961,0.28953585028648376,0.15902167558670044
halls,0.1426827609539032,0.17944106459617615,0.24942845106124878,0.23660916090011597,0.14480122923851013,0.32582950592041016,0.1574961394071579,0.10686422884464264
",",0.3087472915649414,0.27399855852127075,0.427140474319458,0.2884024977684021,0.2855570912361145,0.5201468467712402,0.19626973569393158,0.31091248989105225
help,0.3728281855583191,0.4435492753982544,0.23381464183330536,0.2973319888114929,0.9999999403953552,0.21321536600589752,0.36231929063796997,0.28403452038764954
with,0.2464839518070221,0.32055896520614624,0.3783375024795532,0.13737362623214722,0.32894450426101685,0.4080928862094879,0.22076386213302612,0.2433311939239502
the,0.42745697498321533,0.35393214225769043,0.5829201340675354,0.17760860919952393,0.30064165592193604,0.6662389636039734,0.31940990686416626,0.22068053483963013
organization,0.22617296874523163,0.12913817167282104,0.2565373480319977,0.12677717208862305,0.2997186481952667,0.2513086795806885,0.6323185563087463,0.2069297879934311
of,0.33290785551071167,0.29043012857437134,0.5052502155303955,0.19968076050281525,0.22745388746261597,0.5696388483047485,0.33243584632873535,0.1826142966747284
school,0.18774057924747467,0.15214446187019348,0.2245093584060669,0.5442529320716858,0.15813985466957092,0.26157811284065247,0.17429427802562714,0.15091250836849213
functions,0.22357098758220673,0.2632847726345062,0.21638484299182892,0.14569424092769623,0.303710401058197,0.19547589123249054,0.306309312582016,0.13745930790901184
",",0.3087472915649414,0.27399855852127075,0.427140474319458,0.2884024977684021,0.2855570912361145,0.5201468467712402,0.19626973569393158,0.31091248989105225
and,0.31309178471565247,0.3385082483291626,0.3739250600337982,0.27571162581443787,0.34926167130470276,0.4954058527946472,0.2579902708530426,0.20544172823429108
serve,0.23061832785606384,0.24973057210445404,0.22927480936050415,0.12982116639614105,0.30594003200531006,0.20702329277992249,0.19217529892921448,0.19925682246685028
as,0.31749409437179565,0.32771480083465576,0.39550232887268066,0.27420735359191895,0.2739662528038025,0.3887844979763031,0.2497185915708542,0.27043893933296204
supervisors,0.21743333339691162,0.22400662302970886,0.20991358160972595,0.24434271454811096,0.22490781545639038,0.22823481261730194,0.38118237257003784,0.1287984699010849
for,0.3017193675041199,0.3405117690563202,0.44038116931915283,0.23373261094093323,0.33200904726982117,0.4322226941585541,0.4065988063812256,0.264628142118454
extracurricular,0.2601011097431183,0.2559165060520172,0.3009025454521179,0.35458824038505554,0.28151050209999084,0.3086041212081909,0.39844822883605957,0.23387525975704193
activities,0.21757790446281433,0.22216086089611053,0.2222801148891449,0.2962445616722107,0.32494309544563293,0.2027697116136551,0.45033028721809387,0.11289679259061813
.,0.3567904531955719,0.3200591504573822,0.50484299659729,0.225234717130661,0.32205137610435486,0.5591574311256409,0.24428150057792664,0.4130953550338745
