,what,type,of,education,is,home,schooling,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2654339671134949,0.5394441485404968,0.30467477440834045,0.2776888310909271,0.20430970191955566
some,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.17574875056743622,0.3038453459739685,0.2062011957168579,0.3324011266231537,0.2562315762042999
countries,0.22319257259368896,0.1698177605867386,0.2800094783306122,0.25955045223236084,0.254234254360199,0.11914124339818954,0.2126673012971878,0.15128466486930847
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2718683183193207,0.4691906273365021,0.2790627181529999,0.26933252811431885,0.31091248989105225
formal,0.26485171914100647,0.1821809560060501,0.2704104781150818,0.28848952054977417,0.21914683282375336,0.12003536522388458,0.2560880780220032,0.1989586055278778
education,0.19940856099128723,0.07525362819433212,0.3015166223049164,1.0,0.18778188526630402,0.24407222867012024,0.5628304481506348,0.18067774176597595
can,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.12172068655490875,0.44256699085235596,0.14063408970832825,0.16334916651248932,0.3226337134838104
take,0.3275112509727478,0.1395569145679474,0.29282352328300476,0.20547422766685486,0.22669753432273865,0.23438233137130737,0.22776076197624207,0.21897350251674652
place,0.2689766585826874,0.16794997453689575,0.2685627043247223,0.16361483931541443,0.3122972249984741,0.29694658517837524,0.18823640048503876,0.2455766350030899
through,0.23167094588279724,0.1296497881412506,0.3647414743900299,0.24807149171829224,0.27805060148239136,0.24035412073135376,0.1754520833492279,0.16913433372974396
home,0.1608789712190628,0.1119999960064888,0.24402645230293274,0.24407222867012024,0.22316986322402954,1.0,0.287860631942749,0.0757145956158638
schooling,0.28810086846351624,0.16784422099590302,0.2633171081542969,0.5628304481506348,0.15676039457321167,0.287860631942749,1.0,0.21834523975849152
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.27047446370124817,0.4569662809371948,0.3067048490047455,0.28928086161613464,0.4130953550338745
