,who,was,exempt,from,the,meritocratic,principles,of,the,mongol,empire,?
the,0.3733934462070465,0.48711544275283813,0.1682843714952469,0.40150508284568787,1.0,0.29422226548194885,0.21452596783638,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
exception,0.22667033970355988,0.22176820039749146,0.3359847068786621,0.24321722984313965,0.35692375898361206,0.2841155230998993,0.24037742614746094,0.33949241042137146,0.35692375898361206,0.10320251435041428,0.16624866425991058,0.2036404013633728
was,0.3318818509578705,1.0000001192092896,0.15415626764297485,0.31171464920043945,0.48711544275283813,0.2788532078266144,0.15514956414699554,0.4069072902202606,0.48711544275283813,0.17204789817333221,0.30602675676345825,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,0.1682843714952469,0.40150508284568787,1.0,0.29422226548194885,0.21452596783638,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
role,0.2767873704433441,0.2561398148536682,0.09222738444805145,0.10512107610702515,0.26607486605644226,0.23290158808231354,0.2582201659679413,0.1797693818807602,0.26607486605644226,0.11682261526584625,0.21089273691177368,0.18676944077014923
of,0.2827862501144409,0.4069072902202606,0.19968248903751373,0.4249346852302551,0.733189046382904,0.3375779390335083,0.25854504108428955,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
genghis,0.3018350303173065,0.3037589192390442,0.09195979684591293,0.19071364402770996,0.3448939025402069,0.24873769283294678,0.1399528980255127,0.2938849925994873,0.3448939025402069,0.6244974732398987,0.42237505316734314,0.18813461065292358
khan,0.2616176903247833,0.23483267426490784,0.10095763951539993,0.10581372678279877,0.21067845821380615,0.15136493742465973,0.12002184242010117,0.17124508321285248,0.21067845821380615,0.5576101541519165,0.38083162903785706,0.12862591445446014
and,0.41279885172843933,0.3740963041782379,0.21775446832180023,0.3601827025413513,0.5171257257461548,0.23704716563224792,0.23146027326583862,0.5116966962814331,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
his,0.44966956973075867,0.4405253231525421,0.14489266276359558,0.3195365369319916,0.4394008219242096,0.32318729162216187,0.21453195810317993,0.38364991545677185,0.4394008219242096,0.22059163451194763,0.22914105653762817,0.18075084686279297
family,0.23428858816623688,0.21917963027954102,0.01902969926595688,0.20632237195968628,0.2394849956035614,0.2540801465511322,0.10725705325603485,0.1893671154975891,0.2394849956035614,0.15453436970710754,0.15316574275493622,0.15222905576229095
.,0.3541337847709656,0.40146201848983765,0.23575329780578613,0.41536515951156616,0.5934505462646484,0.23774313926696777,0.18409739434719086,0.5352458953857422,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
