,how,much,money,is,being,spent,on,other,super,bowl-related,events,?
in,0.2601168751716614,0.2725222110748291,0.2393328845500946,0.5394441485404968,0.33162933588027954,0.26677900552749634,0.46853652596473694,0.39989137649536133,0.18576006591320038,0.29223334789276123,0.2690284550189972,0.20430970191955566
addition,0.24312371015548706,0.26854225993156433,0.16432903707027435,0.2727152407169342,0.2587192952632904,0.16403831541538239,0.2673063576221466,0.3792383074760437,0.11136776208877563,0.2663826644420624,0.20360073447227478,0.19187232851982117
",",0.22659391164779663,0.36182254552841187,0.24156853556632996,0.4691906273365021,0.34499165415763855,0.2880055606365204,0.49057599902153015,0.4446498453617096,0.22322475910186768,0.3410509526729584,0.16838376224040985,0.31091248989105225
there,0.3328511416912079,0.31076255440711975,0.2350270301103592,0.3904260993003845,0.29726627469062805,0.22976647317409515,0.3521401882171631,0.5342466235160828,0.1183716282248497,0.3450576066970825,0.24689601361751556,0.29405656456947327
are,0.311818927526474,0.2937524914741516,0.20867851376533508,0.5330929756164551,0.4656608998775482,0.1674378514289856,0.268924742937088,0.5932393670082092,0.14630910754203796,0.3688378930091858,0.21850600838661194,0.24591213464736938
$,0.18718640506267548,0.205519899725914,0.49513715505599976,0.14577937126159668,0.12018842995166779,0.2454102784395218,0.16966626048088074,0.15112794935703278,0.14851532876491547,0.18930266797542572,0.11337720602750778,0.2786129117012024
2,-0.02554285153746605,-0.1400752067565918,-0.10112928599119186,-0.07940074801445007,-0.07837784290313721,-0.025484658777713776,-0.0046874904073774815,-0.06383107602596283,-0.08190077543258667,-0.032657165080308914,-0.017215784639120102,0.001977203879505396
million,0.21114659309387207,0.2792966067790985,0.30804139375686646,0.19962359964847565,0.17972710728645325,0.23408249020576477,0.1741691380739212,0.2682945728302002,0.15958677232265472,0.22905787825584412,0.16061528027057648,0.23092924058437347
worth,0.22643329203128815,0.2919812500476837,0.3355589210987091,0.24446777999401093,0.2910289466381073,0.29194262623786926,0.20214694738388062,0.21030515432357788,0.14139170944690704,0.2041778713464737,0.054966993629932404,0.3282513916492462
of,0.2480744868516922,0.2671096920967102,0.23114095628261566,0.4854315221309662,0.34885138273239136,0.28987428545951843,0.3966929316520691,0.38583824038505554,0.14718765020370483,0.34326639771461487,0.20782610774040222,0.1826142966747284
other,0.3591516315937042,0.3761230409145355,0.26920926570892334,0.25895947217941284,0.37174108624458313,0.13323669135570526,0.3410046398639679,0.9999999403953552,0.15647977590560913,0.4467657208442688,0.2375173419713974,0.24682199954986572
ancillary,0.1886512041091919,0.16454270482063293,0.21591849625110626,0.20888268947601318,0.16044241189956665,0.10932927578687668,0.21885964274406433,0.17350079119205475,0.1493634283542633,0.32181018590927124,0.17635872960090637,0.24259690940380096
