,what,is,a,commonly,used,measurement,used,to,determine,the,complexity,of,a,computational,problem,?
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.2571072280406952,0.40058770775794983,0.2653844356536865,0.40058770775794983,1.0,0.4076496958732605,0.535392165184021,0.28336837887763977,0.41548454761505127,0.45503583550453186,0.246933713555336,0.2502208352088928,0.29463258385658264
measure,0.2807709276676178,0.2864217460155487,0.2953258156776428,0.22110646963119507,0.37946778535842896,0.795183539390564,0.37946778535842896,0.2774736285209656,0.5091063380241394,0.2528008222579956,0.31501296162605286,0.22469913959503174,0.2953258156776428,0.369442880153656,0.26293298602104187,0.22092340886592865
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2974449694156647,0.3718377649784088,0.2747146487236023,0.3718377649784088,0.535392165184021,0.40889066457748413,1.0,0.21171598136425018,0.733189046382904,0.5829201340675354,0.18477948009967804,0.24928659200668335,0.22068053483963013
difficulty,0.3258202373981476,0.23129403591156006,0.29588451981544495,0.22948063910007477,0.30797475576400757,0.36012616753578186,0.30797475576400757,0.3135955035686493,0.37770259380340576,0.28524860739707947,0.4870225489139557,0.27728772163391113,0.29588451981544495,0.3689636290073395,0.4169459342956543,0.1517200618982315
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.29300037026405334,0.3075267970561981,0.26198503375053406,0.3075267970561981,0.41548454761505127,0.3512130081653595,0.733189046382904,0.23338180780410767,1.0,0.5052502155303955,0.2832651138305664,0.20464475452899933,0.1826142966747284
solving,0.32633283734321594,0.24057920277118683,0.26296553015708923,0.21311742067337036,0.28260427713394165,0.33890876173973083,0.28260427713394165,0.2473996877670288,0.3859485387802124,0.24101409316062927,0.4775889217853546,0.257053017616272,0.26296553015708923,0.5307456851005554,0.5450041890144348,0.27607977390289307
a,0.3320399522781372,0.658733606338501,1.0,0.27022549510002136,0.3864384889602661,0.2956489324569702,0.3864384889602661,0.45503583550453186,0.3650607168674469,0.5829201340675354,0.27206721901893616,0.5052502155303955,1.0,0.29858994483947754,0.2605542540550232,0.23916715383529663
computational,0.29464593529701233,0.2470806986093521,0.29858994483947754,0.27157485485076904,0.32107532024383545,0.5062882304191589,0.32107532024383545,0.246933713555336,0.44564688205718994,0.18477948009967804,0.6165810823440552,0.2832651138305664,0.29858994483947754,1.0,0.41473615169525146,0.21617397665977478
problem,0.42183366417884827,0.23238427937030792,0.2605542540550232,0.23363131284713745,0.3019697070121765,0.28643104434013367,0.3019697070121765,0.2502208352088928,0.3124607503414154,0.24928659200668335,0.5039530992507935,0.20464475452899933,0.2605542540550232,0.41473615169525146,1.0,0.3762950301170349
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.27548834681510925,0.3120402991771698,0.204771026968956,0.3120402991771698,0.44245919585227966,0.2144405096769333,0.4933079481124878,0.27822354435920715,0.4946078956127167,0.427140474319458,0.28742313385009766,0.23938199877738953,0.31091248989105225
one,0.376489520072937,0.4544198513031006,0.4910551905632019,0.2377578467130661,0.3009188175201416,0.2875622510910034,0.3009188175201416,0.4025384783744812,0.37501260638237,0.5514441132545471,0.30865851044654846,0.4999135136604309,0.4910551905632019,0.2704175114631653,0.36451512575149536,0.2673267424106598
may,0.25739946961402893,0.322792649269104,0.29255667328834534,0.25863662362098694,0.29261529445648193,0.20460385084152222,0.29261529445648193,0.391582727432251,0.24689613282680511,0.2694292366504669,0.2401694655418396,0.26447007060050964,0.29255667328834534,0.23507216572761536,0.2297496646642685,0.2768254578113556
wish,0.4103936553001404,0.18026776611804962,0.2952733337879181,0.06712161749601364,0.233295738697052,0.1874389797449112,0.233295738697052,0.4275972843170166,0.31093114614486694,0.25205081701278687,0.22572578489780426,0.1985756903886795,0.2952733337879181,0.1667724847793579,0.27920788526535034,0.35864195227622986
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.2571072280406952,0.40058770775794983,0.2653844356536865,0.40058770775794983,1.0,0.4076496958732605,0.535392165184021,0.28336837887763977,0.41548454761505127,0.45503583550453186,0.246933713555336,0.2502208352088928,0.29463258385658264
see,0.44941186904907227,0.30759111046791077,0.3039536476135254,0.11101552098989487,0.29305532574653625,0.287114679813385,0.29305532574653625,0.3792734146118164,0.3533100485801697,0.3770301640033722,0.2933112680912018,0.33962661027908325,0.3039536476135254,0.21870772540569305,0.38511207699775696,0.42005208134651184
how,0.6468034982681274,0.22544461488723755,0.29312583804130554,0.13615790009498596,0.34819337725639343,0.3766496777534485,0.34819337725639343,0.44169697165489197,0.40512213110923767,0.33890387415885925,0.4067590832710266,0.2480744868516922,0.29312583804130554,0.3542470932006836,0.4059199392795563,0.4024120569229126
much,0.45316147804260254,0.3156087100505829,0.2958075702190399,0.18466004729270935,0.3209210932254791,0.3135526776313782,0.3209210932254791,0.40610215067863464,0.2336416244506836,0.35023224353790283,0.34931832551956177,0.2671096920967102,0.2958075702190399,0.25941920280456543,0.34225594997406006,0.23442231118679047
time,0.36319252848625183,0.25187405943870544,0.3292340338230133,0.15246270596981049,0.2869652807712555,0.2724420130252838,0.2869652807712555,0.3679993152618408,0.31341269612312317,0.43061500787734985,0.2680857479572296,0.35127586126327515,0.3292340338230133,0.25503867864608765,0.3373833894729614,0.27391523122787476
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2974449694156647,0.3718377649784088,0.2747146487236023,0.3718377649784088,0.535392165184021,0.40889066457748413,1.0,0.21171598136425018,0.733189046382904,0.5829201340675354,0.18477948009967804,0.24928659200668335,0.22068053483963013
best,0.3036847710609436,0.30476391315460205,0.2547774314880371,0.20120200514793396,0.17320029437541962,0.16899380087852478,0.17320029437541962,0.21715646982192993,0.19035391509532928,0.3134109377861023,0.22558753192424774,0.23660683631896973,0.2547774314880371,0.2291489541530609,0.22328774631023407,0.2799045741558075
algorithm,0.2700590193271637,0.24848374724388123,0.20294487476348877,0.2524632215499878,0.2289300262928009,0.3655346632003784,0.2289300262928009,0.20727625489234924,0.32611438632011414,0.15884782373905182,0.4874947965145111,0.17516344785690308,0.20294487476348877,0.580475389957428,0.39858657121658325,0.21180397272109985
requires,0.24784088134765625,0.3339230418205261,0.322436660528183,0.2027450054883957,0.33682751655578613,0.3106282651424408,0.33682751655578613,0.2967781126499176,0.4096524715423584,0.2693159878253937,0.33866965770721436,0.29617026448249817,0.322436660528183,0.3563971519470215,0.38902369141578674,0.26020103693008423
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.2571072280406952,0.40058770775794983,0.2653844356536865,0.40058770775794983,1.0,0.4076496958732605,0.535392165184021,0.28336837887763977,0.41548454761505127,0.45503583550453186,0.246933713555336,0.2502208352088928,0.29463258385658264
