,why,do,some,people,purposely,resist,officers,of,the,law,?
also,0.4456408619880676,0.36242780089378357,0.6210381388664246,0.34775957465171814,0.33522018790245056,0.2377125769853592,0.211043119430542,0.4924938678741455,0.6021018624305725,0.26510846614837646,0.21848613023757935
",",0.2827242314815521,0.3283645510673523,0.42400437593460083,0.36644625663757324,0.22803600132465363,0.18313832581043243,0.2213074117898941,0.4946078956127167,0.4933079481124878,0.24953721463680267,0.31091248989105225
some,0.429519385099411,0.4725562036037445,0.9999999403953552,0.40364471077919006,0.35743799805641174,0.26567164063453674,0.27067866921424866,0.4300730526447296,0.4566698372364044,0.19280415773391724,0.2562315762042999
civil,0.14097142219543457,0.12413616478443146,0.1851816177368164,0.24625034630298615,0.1814768761396408,0.21818691492080688,0.29699206352233887,0.24698495864868164,0.2477465271949768,0.31305259466171265,0.1494513899087906
disobedients,0.23654551804065704,0.30426225066185,0.369945228099823,0.33281001448631287,0.3314746022224426,0.3966241180896759,0.3951528072357178,0.32510921359062195,0.34096023440361023,0.37916383147239685,0.18925230205059052
seek,0.23008233308792114,0.2859557867050171,0.2761448323726654,0.19746439158916473,0.2639825642108917,0.2686075270175934,0.14764082431793213,0.2027195245027542,0.24523614346981049,0.16850164532661438,0.18530094623565674
to,0.4100138247013092,0.38876664638519287,0.4636894166469574,0.37275731563568115,0.44826018810272217,0.266008585691452,0.3041703402996063,0.41548454761505127,0.535392165184021,0.259207159280777,0.29463258385658264
use,0.3804195523262024,0.4545445144176483,0.4820891320705414,0.27814626693725586,0.431905061006546,0.25494781136512756,0.22891049087047577,0.2750902473926544,0.34342584013938904,0.23739519715309143,0.32795652747154236
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.36838498711586,0.31657084822654724,0.22076082229614258,0.2831277847290039,0.733189046382904,1.0,0.24548950791358948,0.22068053483963013
arrest,0.1729433387517929,0.19412276148796082,0.17946705222129822,0.1917750984430313,0.183887779712677,0.21978919208049774,0.3632945120334625,0.21176666021347046,0.20406219363212585,0.27881935238838196,0.1830197125673294
