,in,what,unit,is,the,size,of,the,input,measured,?
this,0.45205554366111755,0.5489566326141357,0.24221259355545044,0.480927973985672,0.6274310946464539,0.3094692528247833,0.45148900151252747,0.6274310946464539,0.3270362615585327,0.2635413110256195,0.3155723512172699
is,0.5394441485404968,0.28837618231773376,0.1913307011127472,1.0,0.5823672413825989,0.22983339428901672,0.4854315221309662,0.5823672413825989,0.2170686423778534,0.2770887017250061,0.22961433231830597
usually,0.28848564624786377,0.32521089911460876,0.18480710685253143,0.4230746626853943,0.36782920360565186,0.26691439747810364,0.33931583166122437,0.36782920360565186,0.17366749048233032,0.31491905450820923,0.19435347616672516
taken,0.2500644326210022,0.26014965772628784,0.17376413941383362,0.19185791909694672,0.3309854567050934,0.180045485496521,0.2889742851257324,0.3309854567050934,0.13678967952728271,0.26160505414009094,0.17662954330444336
to,0.45010748505592346,0.455847829580307,0.19828897714614868,0.42745086550712585,0.535392165184021,0.26289698481559753,0.41548454761505127,0.535392165184021,0.25947481393814087,0.20595905184745789,0.29463258385658264
be,0.3481820821762085,0.3929833769798279,0.20246148109436035,0.4819129705429077,0.4248143136501312,0.28390660881996155,0.33904364705085754,0.4248143136501312,0.28701671957969666,0.3234885632991791,0.3324260413646698
the,0.6662389636039734,0.42745697498321533,0.24230392277240753,0.5823672413825989,1.0,0.2946445941925049,0.733189046382904,1.0,0.19928309321403503,0.279002845287323,0.22068053483963013
size,0.21714140474796295,0.2566739320755005,0.1595788300037384,0.22983339428901672,0.2946445941925049,1.0000001192092896,0.27599775791168213,0.2946445941925049,0.23529702425003052,0.3627568781375885,0.13693112134933472
of,0.5696388483047485,0.33290785551071167,0.26649972796440125,0.4854315221309662,0.733189046382904,0.27599775791168213,1.0,0.733189046382904,0.13291659951210022,0.26447921991348267,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.24230392277240753,0.5823672413825989,1.0,0.2946445941925049,0.733189046382904,1.0,0.19928309321403503,0.279002845287323,0.22068053483963013
input,0.10243455320596695,0.2844698429107666,0.3435831665992737,0.2170686423778534,0.19928309321403503,0.23529702425003052,0.13291659951210022,0.19928309321403503,0.9999999403953552,0.23631411790847778,0.24861721694469452
in,1.0,0.30808621644973755,0.21935637295246124,0.5394441485404968,0.6662389636039734,0.21714140474796295,0.5696388483047485,0.6662389636039734,0.10243455320596695,0.23880761861801147,0.20430970191955566
bits,0.15816648304462433,0.27468442916870117,0.29908373951911926,0.26384320855140686,0.18586325645446777,0.3463088572025299,0.2531026005744934,0.18586325645446777,0.34672361612319946,0.2528824210166931,0.15402674674987793
.,0.5591574311256409,0.3567904531955719,0.2251177579164505,0.4569662809371948,0.5934505462646484,0.30260366201400757,0.5352458953857422,0.5934505462646484,0.24013976752758026,0.2646089792251587,0.4130953550338745
