,along,with,solar,",",coal,and,nuclear,",",what,sort,of,plants,notable,use,the,rankine,process,?
in,0.3603311777114868,0.4080928862094879,0.2295871526002884,0.5201468467712402,0.25431546568870544,0.4954058527946472,0.2580479681491852,0.5201468467712402,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.2697395086288452,0.25145605206489563,0.2715643048286438,0.6662389636039734,0.20086932182312012,0.19851736724376678,0.20430970191955566
the,0.39495137333869934,0.4223487675189972,0.2513602674007416,0.4933079481124878,0.23263108730316162,0.5171257257461548,0.23911187052726746,0.4933079481124878,0.42745697498321533,0.31158876419067383,0.733189046382904,0.29499560594558716,0.20948168635368347,0.34342584013938904,1.0,0.22060109674930573,0.264274537563324,0.22068053483963013
1990s,-0.1594286561012268,-0.07894504815340042,-0.08970319479703903,0.026489561423659325,-0.1382695585489273,-0.1066596508026123,0.006470325402915478,0.026489561423659325,0.05660831928253174,0.020578129217028618,-0.1590232104063034,-0.31184789538383484,0.05412707477807999,-0.023696783930063248,-0.09473290294408798,-0.11377433687448502,-0.044733647257089615,0.11282819509506226
",",0.29824912548065186,0.4120737314224243,0.21096153557300568,1.0000001192092896,0.2299477756023407,0.6633074283599854,0.23752127587795258,1.0000001192092896,0.3087472915649414,0.21703937649726868,0.4946078956127167,0.2555769681930542,0.31026551127433777,0.3276674151420593,0.4933079481124878,0.2938905656337738,0.2061346471309662,0.31091248989105225
rankine,0.11106618493795395,0.19537495076656342,0.3028148114681244,0.2938905656337738,0.24486900866031647,0.2593007981777191,0.17596696317195892,0.2938905656337738,0.14446263015270233,0.16787032783031464,0.22334030270576477,0.1993984878063202,0.2180570811033249,0.16073833405971527,0.22060109674930573,1.0000001192092896,0.1142602413892746,0.15256094932556152
steam,0.22119560837745667,0.21801024675369263,0.2835419774055481,0.2264556586742401,0.4038010835647583,0.24133789539337158,0.2956201434135437,0.2264556586742401,0.15672586858272552,0.15938708186149597,0.20239725708961487,0.30078837275505066,0.13549526035785675,0.2950085997581482,0.23105813562870026,0.2536572813987732,0.2769784927368164,0.113324373960495
cycles,0.1964380145072937,0.21968509256839752,0.32710739970207214,0.16343969106674194,0.2066156417131424,0.2548370063304901,0.20695453882217407,0.16343969106674194,0.22229748964309692,0.17034770548343658,0.2640573978424072,0.3518041968345642,0.174202561378479,0.2584898769855499,0.2874864637851715,0.2538294792175293,0.35833847522735596,0.10661901533603668
generated,0.17616012692451477,0.23130899667739868,0.3025249242782593,0.20257380604743958,0.20094269514083862,0.20714879035949707,0.2969576418399811,0.20257380604743958,0.2341722995042801,0.28239643573760986,0.27549460530281067,0.30315592885017395,0.24470600485801697,0.4126720726490021,0.27684199810028076,0.22546707093715668,0.2887498438358307,0.28358349204063416
about,0.2418469786643982,0.3347385823726654,0.17333413660526276,0.3877100944519043,0.14482292532920837,0.3875081241130829,0.2325936108827591,0.3877100944519043,0.47976887226104736,0.2514287829399109,0.40939709544181824,0.24194830656051636,0.2546437978744507,0.2576371729373932,0.37995871901512146,0.08642596006393433,0.21026670932769775,0.302409827709198
90,-0.03611625358462334,-0.06124330684542656,-0.05543873459100723,-0.05062086880207062,-0.14644500613212585,-0.021620480343699455,-0.11977795511484146,-0.05062086880207062,-0.03224492445588112,-0.07677990198135376,-0.06715171784162521,-0.10757819563150406,-0.05870266258716583,-0.17261680960655212,-0.08136876672506332,-0.15003639459609985,-0.16153109073638916,-0.0034062080085277557
