,who,was,the,ideologue,of,the,iranian,revolution,?
the,0.3733934462070465,0.48711544275283813,1.0,0.21841691434383392,0.733189046382904,1.0,0.21625958383083344,0.276140034198761,0.22068053483963013
views,0.233521968126297,0.16854728758335114,0.23137402534484863,0.37242212891578674,0.1923438459634781,0.23137402534484863,0.18280337750911713,0.20739436149597168,0.19388815760612488
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.20951610803604126,1.0,0.733189046382904,0.19742776453495026,0.27144062519073486,0.1826142966747284
ali,0.2511599361896515,0.2125740945339203,0.21759866178035736,0.2748505473136902,0.16050739586353302,0.21759866178035736,0.40776365995407104,0.20165523886680603,0.12320320308208466
shariati,0.26628559827804565,0.2097613513469696,0.2535809874534607,0.3691677451133728,0.24810166656970978,0.2535809874534607,0.39648130536079407,0.17228344082832336,0.21579571068286896
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23119226098060608,0.4946078956127167,0.4933079481124878,0.20104601979255676,0.26235419511795044,0.31091248989105225
ideologue,0.2851483225822449,0.23104719817638397,0.21841691434383392,1.0,0.20951610803604126,0.21841691434383392,0.20879550278186798,0.2581678330898285,0.21131348609924316
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.20951610803604126,1.0,0.733189046382904,0.19742776453495026,0.27144062519073486,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.21841691434383392,0.733189046382904,1.0,0.21625958383083344,0.276140034198761,0.22068053483963013
iranian,0.24320313334465027,0.203793466091156,0.21625958383083344,0.20879550278186798,0.19742776453495026,0.21625958383083344,1.0,0.23447120189666748,0.13520781695842743
revolution,0.2163151353597641,0.3365444839000702,0.276140034198761,0.2581678330898285,0.27144062519073486,0.276140034198761,0.23447120189666748,0.9999999403953552,0.1727980077266693
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23119226098060608,0.4946078956127167,0.4933079481124878,0.20104601979255676,0.26235419511795044,0.31091248989105225
had,0.36173108220100403,0.5927209258079529,0.3875846862792969,0.18092437088489532,0.37755560874938965,0.3875846862792969,0.14627909660339355,0.23729191720485687,0.20728366076946259
resemblance,0.23329785466194153,0.2529791295528412,0.2747744023799896,0.183470219373703,0.2490781843662262,0.2747744023799896,0.11534255743026733,0.18089023232460022,0.1501987725496292
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.17252135276794434,0.41827285289764404,0.4223487675189972,0.09262043237686157,0.17262804508209229,0.2433311939239502
mohammad,0.23959627747535706,0.2611331641674042,0.21050898730754852,0.2426140308380127,0.20559412240982056,0.21050898730754852,0.5194878578186035,0.18872518837451935,0.12592719495296478
iqbal,0.2351228892803192,0.31416603922843933,0.1828971952199936,0.30983757972717285,0.17434294521808624,0.1828971952199936,0.32377830147743225,0.1675950288772583,0.18507060408592224
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23119226098060608,0.4946078956127167,0.4933079481124878,0.20104601979255676,0.26235419511795044,0.31091248989105225
ideological,0.2471458613872528,0.20204338431358337,0.23999729752540588,0.6636720895767212,0.29073479771614075,0.23999729752540588,0.1993604302406311,0.2649822533130646,0.1390949934720993
