,who,kicked,ethelred,out,?
because,0.4398062229156494,0.27415695786476135,0.22540044784545898,0.38214966654777527,0.2528740465641022
of,0.2827862501144409,0.21359434723854065,0.23607484996318817,0.34176841378211975,0.1826142966747284
this,0.3345087468624115,0.20576253533363342,0.27339401841163635,0.34908437728881836,0.3155723512172699
",",0.3365725874900818,0.21649131178855896,0.23403680324554443,0.3161109685897827,0.31091248989105225
ethelred,0.3192371428012848,0.2127622663974762,1.0,0.22022275626659393,0.24839718639850616
fled,0.32700315117836,0.32412585616111755,0.3975089490413666,0.2680884003639221,0.13968057930469513
to,0.42656609416007996,0.2801065444946289,0.2925483286380768,0.42386990785598755,0.29463258385658264
normandy,0.19740919768810272,0.13853618502616882,0.5361760854721069,0.22059617936611176,0.1584552675485611
in,0.2792111933231354,0.1528463214635849,0.2618544399738312,0.3576207756996155,0.20430970191955566
1013,0.006561166141182184,0.026622194796800613,-0.11475236713886261,0.02097935974597931,0.20658347010612488
",",0.3365725874900818,0.21649131178855896,0.23403680324554443,0.3161109685897827,0.31091248989105225
when,0.48282691836357117,0.3357124328613281,0.31455573439598083,0.45263928174972534,0.22841128706932068
he,0.5500732064247131,0.35506871342658997,0.33504989743232727,0.29240235686302185,0.2089974731206894
was,0.3318818509578705,0.29533520340919495,0.3170047402381897,0.28168347477912903,0.18412111699581146
forced,0.35712045431137085,0.38021910190582275,0.2686607837677002,0.3101345896720886,0.17547516524791718
from,0.27839982509613037,0.2959434390068054,0.15019969642162323,0.3196950852870941,0.19969791173934937
his,0.44966956973075867,0.3597066402435303,0.4224123954772949,0.3022425174713135,0.18075084686279297
kingdom,0.15265370905399323,0.05901126563549042,0.3465716242790222,0.13178867101669312,0.12927088141441345
by,0.39727845788002014,0.24980829656124115,0.2527865469455719,0.29497629404067993,0.17966607213020325
sweyn,0.23201322555541992,0.19074447453022003,0.6202722787857056,0.19044572114944458,0.20229662954807281
forkbeard,0.33102697134017944,0.2033046931028366,0.5221744179725647,0.23562048375606537,0.19564490020275116
.,0.3541337847709656,0.2693699300289154,0.25826942920684814,0.34234723448753357,0.4130953550338745
