,what,was,restored,in,the,sculpture,gallery,during,its,renovated,in,2006,?
as,0.31749409437179565,0.3677520453929901,0.22432368993759155,0.3887844979763031,0.48381632566452026,0.23029650747776031,0.21243180334568024,0.29671990871429443,0.31874480843544006,0.19409269094467163,0.3887844979763031,0.06796624511480331,0.27043893933296204
part,0.3476244807243347,0.3407018780708313,0.21075914800167084,0.4499994218349457,0.527681291103363,0.17495131492614746,0.1516404151916504,0.36428889632225037,0.3693010210990906,0.2018788456916809,0.4499994218349457,0.05912072956562042,0.08557961881160736
of,0.33290785551071167,0.4069072902202606,0.2796242833137512,0.5696388483047485,0.733189046382904,0.2746802270412445,0.1971534639596939,0.3869180977344513,0.48690423369407654,0.16831113398075104,0.5696388483047485,0.10009169578552246,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.29931989312171936,0.6662389636039734,1.0,0.23690329492092133,0.19251246750354767,0.4838213622570038,0.559237003326416,0.2306516468524933,0.6662389636039734,0.11294147372245789,0.22068053483963013
2006,-0.0008085015579126775,-0.08876620978116989,-0.01963147521018982,-0.04600946605205536,0.11294147372245789,-0.08208004385232925,-0.10951395332813263,0.04458152502775192,0.12229134142398834,-0.07427522540092468,-0.04600946605205536,1.0,-0.1194092258810997
renovation,0.14667826890945435,0.26597824692726135,0.3766627907752991,0.2553494870662689,0.2849007248878479,0.3774356544017792,0.2664804756641388,0.27768558263778687,0.29377540946006775,0.8192088007926941,0.2553494870662689,-0.06850701570510864,0.1660868376493454
the,0.42745697498321533,0.48711544275283813,0.29931989312171936,0.6662389636039734,1.0,0.23690329492092133,0.19251246750354767,0.4838213622570038,0.559237003326416,0.2306516468524933,0.6662389636039734,0.11294147372245789,0.22068053483963013
mosaic,0.14306141436100006,0.24306641519069672,0.2582976520061493,0.21105307340621948,0.27219533920288086,0.39938870072364807,0.3054819405078888,0.1898195445537567,0.19190602004528046,0.2554651200771332,0.21105307340621948,0.014776444993913174,0.12222903966903687
floors,0.12974466383457184,0.12783055007457733,0.2626721262931824,0.21350255608558655,0.20986685156822205,0.3536800444126129,0.2912082374095917,0.1704818308353424,0.20967844128608704,0.37787753343582153,0.21350255608558655,0.009953239932656288,0.1380118876695633
in,0.30808621644973755,0.45514053106307983,0.22816066443920135,1.0,0.6662389636039734,0.23036405444145203,0.21665531396865845,0.4627237319946289,0.3793783485889435,0.21855036914348602,1.0,-0.04600946605205536,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,0.29931989312171936,0.6662389636039734,1.0,0.23690329492092133,0.19251246750354767,0.4838213622570038,0.559237003326416,0.2306516468524933,0.6662389636039734,0.11294147372245789,0.22068053483963013
