,in,what,form,are,most,hospital,medications,?
most,0.41416558623313904,0.3219912350177765,0.2929508090019226,0.48698675632476807,1.0,0.13251599669456482,0.24236629903316498,0.2107497900724411
hospital,0.3125908672809601,0.14525319635868073,0.06028727814555168,0.09803600609302521,0.13251599669456482,1.0,0.42632606625556946,0.12508831918239594
medications,0.20176923274993896,0.2549620568752289,0.1847275197505951,0.3704794943332672,0.24236629903316498,0.42632606625556946,1.0,0.22114922106266022
are,0.3841303884983063,0.29724663496017456,0.29983413219451904,1.0,0.48698675632476807,0.09803600609302521,0.3704794943332672,0.24591213464736938
unit-dose,0.3262380361557007,0.309663861989975,0.2693682909011841,0.29422613978385925,0.21002371609210968,0.3374243676662445,0.5218283534049988,0.20681139826774597
",",0.5201468467712402,0.3087472915649414,0.21805599331855774,0.4062570035457611,0.3636029064655304,0.24744091928005219,0.2232554405927658,0.31091248989105225
or,0.3586423695087433,0.33867141604423523,0.3818044364452362,0.5374364256858826,0.30746427178382874,0.12437357753515244,0.4151343107223511,0.32389625906944275
a,0.539380669593811,0.3320399522781372,0.3088195323944092,0.265255331993103,0.3508910834789276,0.23276586830615997,0.2712159752845764,0.23916715383529663
single,0.23017926514148712,0.24458327889442444,0.16788402199745178,0.2179369032382965,0.2827304005622864,0.11966310441493988,0.17806550860404968,0.2151121199131012
dose,0.19871871173381805,0.2034512311220169,0.19124580919742584,0.22638535499572754,0.15501633286476135,0.30885568261146545,0.5886343121528625,0.18869492411613464
of,0.5696388483047485,0.33290785551071167,0.29600051045417786,0.39081433415412903,0.4178851246833801,0.20629651844501495,0.25834259390830994,0.1826142966747284
medicine,0.2281779944896698,0.20377366244792938,0.10076840221881866,0.15540048480033875,0.12959527969360352,0.381789892911911,0.5720009803771973,0.14826606214046478
.,0.5591574311256409,0.3567904531955719,0.28317511081695557,0.3452940285205841,0.35404038429260254,0.21275769174098969,0.23682083189487457,0.4130953550338745
