,since,when,was,the,rhine,part,of,the,areal,of,hallstatt,culture,?
the,0.4054957628250122,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.527681291103363,0.733189046382904,1.0,0.12895698845386505,0.733189046382904,0.30813807249069214,0.27157285809516907,0.22068053483963013
upper,0.18100842833518982,0.18254698812961578,0.16268539428710938,0.35289278626441956,0.27324220538139343,0.21153129637241364,0.25818127393722534,0.35289278626441956,0.14975158870220184,0.25818127393722534,0.28857505321502686,0.1474314033985138,0.051342256367206573
rhine,0.1959613710641861,0.13750529289245605,0.18681856989860535,0.30735138058662415,1.0,0.23044916987419128,0.2548927664756775,0.30735138058662415,0.14102803170681,0.2548927664756775,0.3849256634712219,0.11098742485046387,0.13754533231258392
had,0.4845401346683502,0.37526828050613403,0.5927209258079529,0.3875846862792969,0.17234164476394653,0.27259039878845215,0.37755560874938965,0.3875846862792969,0.01662767492234707,0.37755560874938965,0.17537783086299896,0.16977617144584656,0.20728366076946259
been,0.6581953763961792,0.3339833617210388,0.518218457698822,0.3563927710056305,0.17140072584152222,0.21233350038528442,0.31685134768486023,0.3563927710056305,0.1068570539355278,0.31685134768486023,0.15728260576725006,0.2515760064125061,0.24354910850524902
part,0.3226414918899536,0.35435768961906433,0.3407018780708313,0.527681291103363,0.23044916987419128,1.0,0.452393114566803,0.527681291103363,0.22099736332893372,0.452393114566803,0.26855868101119995,0.27171626687049866,0.08557961881160736
of,0.35513219237327576,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2548927664756775,0.452393114566803,1.0,0.733189046382904,0.1454302817583084,1.0,0.2430959939956665,0.27266472578048706,0.1826142966747284
the,0.4054957628250122,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.527681291103363,0.733189046382904,1.0,0.12895698845386505,0.733189046382904,0.30813807249069214,0.27157285809516907,0.22068053483963013
areal,0.11986922472715378,0.04880932718515396,0.03987563028931618,0.12895698845386505,0.14102803170681,0.22099736332893372,0.1454302817583084,0.12895698845386505,1.0,0.1454302817583084,0.30483442544937134,0.24238479137420654,0.18794073164463043
of,0.35513219237327576,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2548927664756775,0.452393114566803,1.0,0.733189046382904,0.1454302817583084,1.0,0.2430959939956665,0.27266472578048706,0.1826142966747284
the,0.4054957628250122,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.527681291103363,0.733189046382904,1.0,0.12895698845386505,0.733189046382904,0.30813807249069214,0.27157285809516907,0.22068053483963013
