,what,did,he,claim,the,weapon,would,end,?
tesla,0.23221199214458466,0.09757418930530548,0.12373391538858414,0.14329524338245392,0.1324402391910553,0.2157144993543625,0.14290116727352142,0.05453544855117798,0.10250775516033173
published,0.20457668602466583,0.17877818644046783,0.23200413584709167,0.20797443389892578,0.22017472982406616,0.08083224296569824,0.11605832725763321,0.10736575722694397,0.16280238330364227
the,0.42745697498321533,0.34736719727516174,0.4571082592010498,0.25873351097106934,1.0,0.23810851573944092,0.4133751392364502,0.39658910036087036,0.22068053483963013
document,0.2726209759712219,0.1806333363056183,0.1515611708164215,0.2574661374092102,0.2833879888057709,0.22654911875724792,0.18177641928195953,0.15480871498584747,0.23232926428318024
in,0.30808621644973755,0.2593238651752472,0.41690486669540405,0.16881313920021057,0.6662389636039734,0.15527591109275818,0.30461156368255615,0.28539085388183594,0.20430970191955566
an,0.2821882665157318,0.22598257660865784,0.281929612159729,0.1815912276506424,0.4207492768764496,0.14068880677223206,0.2650099992752075,0.1506708711385727,0.19793890416622162
attempt,0.2411041408777237,0.3181029260158539,0.22767478227615356,0.3352911174297333,0.2614527940750122,0.18149109184741974,0.3321290910243988,0.2257571667432785,0.16559520363807678
to,0.455847829580307,0.4452643394470215,0.385390967130661,0.324158638715744,0.535392165184021,0.21161888539791107,0.5965728163719177,0.3229445815086365,0.29463258385658264
expound,0.32115447521209717,0.18478217720985413,0.1950511932373047,0.2745233178138733,0.27591824531555176,0.2850903570652008,0.2785951793193817,0.16855734586715698,0.3041227459907532
on,0.34226128458976746,0.2670976221561432,0.32403138279914856,0.21378369629383087,0.5107308030128479,0.15836651623249054,0.35589995980262756,0.2773675322532654,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.4571082592010498,0.25873351097106934,1.0,0.23810851573944092,0.4133751392364502,0.39658910036087036,0.22068053483963013
technical,0.2745521366596222,0.19641751050949097,0.2278711348772049,0.15653817355632782,0.21600495278835297,0.21419528126716614,0.2006407231092453,0.12305362522602081,0.1962660700082779
description,0.33273714780807495,0.21384181082248688,0.14661355316638947,0.16922996938228607,0.27126896381378174,0.1480649709701538,0.2511489987373352,0.1405213326215744,0.23225292563438416
of,0.33290785551071167,0.2513895630836487,0.38706058263778687,0.2833690047264099,0.733189046382904,0.16065262258052826,0.3353942930698395,0.2215006798505783,0.1826142966747284
a,0.3320399522781372,0.2552328109741211,0.4393508732318878,0.19074557721614838,0.5829201340675354,0.282960444688797,0.398599237203598,0.28924596309661865,0.23916715383529663
``,0.008517155423760414,-0.029888948425650597,0.05585138872265816,0.050591085106134415,0.029072100296616554,0.03559838607907295,0.08063928782939911,0.09823527187108994,0.0685480609536171
superweapon,0.27925434708595276,0.2645450234413147,0.2588980495929718,0.22576956450939178,0.28927138447761536,0.7353717684745789,0.27622973918914795,0.2064463347196579,0.22620852291584015
that,0.6297725439071655,0.47518548369407654,0.36068853735923767,0.39801377058029175,0.5473989248275757,0.2704586088657379,0.5895259380340576,0.3221861720085144,0.32716336846351624
would,0.45766422152519226,0.6268245577812195,0.27278512716293335,0.304919570684433,0.4133751392364502,0.22835326194763184,1.0000001192092896,0.25934845209121704,0.37178951501846313
put,0.3330543637275696,0.32128840684890747,0.21457596123218536,0.2165413349866867,0.34150463342666626,0.21714669466018677,0.4592705965042114,0.26003679633140564,0.2993032932281494
an,0.2821882665157318,0.22598257660865784,0.281929612159729,0.1815912276506424,0.4207492768764496,0.14068880677223206,0.2650099992752075,0.1506708711385727,0.19793890416622162
end,0.29234179854393005,0.18808481097221375,0.25187915563583374,0.1461600810289383,0.39658910036087036,0.2302446812391281,0.25934845209121704,1.0,0.12543344497680664
to,0.455847829580307,0.4452643394470215,0.385390967130661,0.324158638715744,0.535392165184021,0.21161888539791107,0.5965728163719177,0.3229445815086365,0.29463258385658264
all,0.41981086134910583,0.33943864703178406,0.31727755069732666,0.2500428259372711,0.4860881567001343,0.21038340032100677,0.41205164790153503,0.31533852219581604,0.29575422406196594
war,0.22516006231307983,0.27422013878822327,0.34136271476745605,0.21206572651863098,0.366199791431427,0.318699449300766,0.2528572976589203,0.3102572560310364,0.15510529279708862
.,0.3567904531955719,0.35288307070732117,0.38061028718948364,0.24773532152175903,0.5934505462646484,0.1875409632921219,0.35067233443260193,0.26526886224746704,0.4130953550338745
'',0.08143015950918198,0.01978493109345436,0.039060186594724655,0.07775676995515823,0.041273195296525955,-0.03149373084306717,0.02574172429740429,-0.02458004280924797,0.018684765323996544
