,what,does,a,teacher,need,to,be,with,regards,to,their,subject,matter,?
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.2594960331916809,0.535392165184021,0.4248143136501312,0.4223487675189972,0.2506358325481415,0.535392165184021,0.516537070274353,0.2387523651123047,0.2957161068916321,0.22068053483963013
teacher,0.20492632687091827,0.1430262327194214,0.31202319264411926,0.9999998807907104,0.18438822031021118,0.1991342306137085,0.1891087293624878,0.13737362623214722,0.2193705439567566,0.1991342306137085,0.11377552151679993,0.2078711837530136,0.18490366637706757,0.1797819435596466
also,0.42747777700424194,0.4118025600910187,0.5149940252304077,0.23410376906394958,0.31963127851486206,0.5348826050758362,0.48342031240463257,0.44397303462028503,0.2212967574596405,0.5348826050758362,0.4181114733219147,0.2295254021883011,0.23129448294639587,0.21848613023757935
needs,0.3272848129272461,0.4619314670562744,0.34144335985183716,0.2460591197013855,0.7792167067527771,0.3999912142753601,0.5167654156684875,0.32937565445899963,0.4435805082321167,0.3999912142753601,0.24596482515335083,0.36956894397735596,0.36717721819877625,0.34586572647094727
to,0.455847829580307,0.4391997456550598,0.45503583550453186,0.1991342306137085,0.42094892263412476,1.0,0.4972836375236511,0.4239959120750427,0.31869420409202576,1.0,0.44619059562683105,0.3198980987071991,0.27089571952819824,0.29463258385658264
be,0.3929833769798279,0.28696945309638977,0.39883795380592346,0.1891087293624878,0.5365972518920898,0.4972836375236511,1.0,0.36101722717285156,0.37542226910591125,0.4972836375236511,0.3200586438179016,0.3231959342956543,0.41101786494255066,0.3324260413646698
enthusiastic,0.2375817894935608,0.19274970889091492,0.3215213119983673,0.2953716516494751,0.2717854082584381,0.22432135045528412,0.20584885776042938,0.24811232089996338,0.2971516251564026,0.22432135045528412,0.29557761549949646,0.23765861988067627,0.1672789305448532,0.18814921379089355
about,0.47976887226104736,0.26877498626708984,0.34171196818351746,0.17599841952323914,0.2940417528152466,0.391953706741333,0.26362910866737366,0.3347385823726654,0.25681260228157043,0.391953706741333,0.25792208313941956,0.35519614815711975,0.34768959879875183,0.302409827709198
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.2594960331916809,0.535392165184021,0.4248143136501312,0.4223487675189972,0.2506358325481415,0.535392165184021,0.516537070274353,0.2387523651123047,0.2957161068916321,0.22068053483963013
subject,0.3828662037849426,0.32884445786476135,0.31756800413131714,0.2078711837530136,0.3171393573284149,0.3198980987071991,0.3231959342956543,0.2275499850511551,0.3459780812263489,0.3198980987071991,0.19731652736663818,1.0,0.44346946477890015,0.33952999114990234
