,french,troops,put,down,the,camisard,uprisings,between,what,years,?
it,0.18351560831069946,0.19265639781951904,0.26234525442123413,0.2670116126537323,0.6251175999641418,0.19938121736049652,0.29195788502693176,0.311247855424881,0.45803478360176086,0.21688692271709442,0.25732165575027466
took,0.12597674131393433,0.2872973084449768,0.3192247450351715,0.16611215472221375,0.31657639145851135,0.3069247305393219,0.32576611638069153,0.24659404158592224,0.1316593885421753,0.32735753059387207,0.14109265804290771
french,1.0000001192092896,0.26327648758888245,0.14247559010982513,0.12311889231204987,0.2555147111415863,0.3376219570636749,0.26420077681541443,0.14514502882957458,0.17393042147159576,0.17051009833812714,0.1386883556842804
troops,0.26327648758888245,1.0000001192092896,0.1677534133195877,0.19175118207931519,0.3229958415031433,0.3735281229019165,0.47971323132514954,0.2374630868434906,0.18311697244644165,0.2350763976573944,0.14329779148101807
years,0.17051009833812714,0.2350763976573944,0.1493133157491684,0.1730455905199051,0.2912273406982422,0.17872487008571625,0.17658713459968567,0.2583497166633606,0.1981470286846161,1.0,0.1914375126361847
to,0.1713797152042389,0.23654340207576752,0.36244112253189087,0.33130598068237305,0.535392165184021,0.2108362317085266,0.24448281526565552,0.3639189600944519,0.455847829580307,0.23891852796077728,0.29463258385658264
hunt,0.06685802340507507,0.2073533684015274,0.1602581888437271,0.20737160742282867,0.2538548409938812,0.21944430470466614,0.13023224472999573,0.08287396281957626,0.1074647307395935,0.12806688249111176,0.13092587888240814
down,0.12311889231204987,0.19175118207931519,0.2938344478607178,1.0,0.3325848877429962,0.1892961710691452,0.1568833440542221,0.17107777297496796,0.26226112246513367,0.1730455905199051,0.13836295902729034
and,0.32751965522766113,0.23100681602954865,0.3297767639160156,0.2760816216468811,0.5171257257461548,0.28285080194473267,0.2535499930381775,0.40645647048950195,0.31309178471565247,0.300204873085022,0.20544172823429108
destroy,0.056951843202114105,0.3274657726287842,0.257717490196228,0.2733265161514282,0.29802682995796204,0.23014645278453827,0.2546113431453705,0.17735178768634796,0.24247540533542633,0.1532747447490692,0.1295877993106842
all,0.16461369395256042,0.2331034392118454,0.32007530331611633,0.2521192133426666,0.4860881567001343,0.16987943649291992,0.2390872985124588,0.22774523496627808,0.41981086134910583,0.26454147696495056,0.29575422406196594
the,0.2555147111415863,0.3229958415031433,0.34150463342666626,0.3325848877429962,1.0,0.3466935455799103,0.2902103662490845,0.39067012071609497,0.42745697498321533,0.2912273406982422,0.22068053483963013
bands,0.11306251585483551,0.2312406748533249,0.1250910460948944,0.11650394648313522,0.23915435373783112,0.2338068187236786,0.19526460766792297,0.17223192751407623,0.1525251418352127,0.16318859159946442,0.13013741374015808
of,0.19450366497039795,0.23602326214313507,0.3247257471084595,0.23279321193695068,0.733189046382904,0.2833130955696106,0.2896137535572052,0.3737983703613281,0.33290785551071167,0.2904134690761566,0.1826142966747284
camisards,0.31765803694725037,0.43279311060905457,0.2761232554912567,0.25592556595802307,0.3797358274459839,0.8995712995529175,0.3980778455734253,0.2444937825202942,0.278313010931015,0.22042658925056458,0.24442410469055176
",",0.28806620836257935,0.23846548795700073,0.28264448046684265,0.23362469673156738,0.4933079481124878,0.3518691956996918,0.2830788195133209,0.27714940905570984,0.3087472915649414,0.2589467465877533,0.31091248989105225
between,0.14514502882957458,0.2374630868434906,0.13922375440597534,0.17107777297496796,0.39067012071609497,0.18012450635433197,0.23660674691200256,0.9999999403953552,0.2462156116962433,0.2583497166633606,0.12887074053287506
1702,0.2895359992980957,0.24684599041938782,0.10198810696601868,0.08583305776119232,0.195236474275589,0.18665765225887299,0.2375078797340393,0.2077435553073883,0.17239458858966827,0.1325419843196869,0.1864093840122223
and,0.32751965522766113,0.23100681602954865,0.3297767639160156,0.2760816216468811,0.5171257257461548,0.28285080194473267,0.2535499930381775,0.40645647048950195,0.31309178471565247,0.300204873085022,0.20544172823429108
1709,0.24389295279979706,0.25936636328697205,-0.03863077238202095,-0.03420896828174591,0.04871987923979759,0.35573601722717285,0.17899002134799957,0.10644974559545517,-0.011308128945529461,0.04541957005858421,0.08219385892152786
.,0.2480926215648651,0.19217929244041443,0.32595527172088623,0.2362249493598938,0.5934505462646484,0.2750697433948517,0.21619956195354462,0.30295518040657043,0.3567904531955719,0.31919315457344055,0.4130953550338745
