,when,was,the,coldest,temperature,in,newcastle,recorded,?
temperature,0.25496208667755127,0.18288718163967133,0.27585095167160034,0.598423182964325,1.0000001192092896,0.269207626581192,0.16990825533866882,0.2721431851387024,0.2011885941028595
extremes,0.21157625317573547,0.17802345752716064,0.3166698217391968,0.4280241131782532,0.422513484954834,0.2899004817008972,0.11411858350038528,0.31026679277420044,0.12733374536037445
recorded,0.19460174441337585,0.328198105096817,0.2759207487106323,0.35479283332824707,0.2721431851387024,0.27585887908935547,0.17891427874565125,0.9999998807907104,0.19213420152664185
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.30427616834640503,0.20168545842170715,0.4374977946281433,0.18403437733650208,0.21097880601882935,0.21978627145290375
newcastle,0.14692102372646332,0.25710436701774597,0.2253497689962387,0.22422075271606445,0.16990825533866882,0.19270820915699005,1.0000001192092896,0.17891427874565125,0.0902252271771431
weather,0.26825660467147827,0.17774583399295807,0.28776681423187256,0.4032736122608185,0.43671563267707825,0.19644400477409363,0.199391171336174,0.20518408715724945,0.15533578395843506
centre,0.13267141580581665,0.24988211691379547,0.32783594727516174,0.17064304649829865,0.1853158324956894,0.2765078544616699,0.24609284102916718,0.07503293454647064,0.019365152344107628
include,0.14643341302871704,0.10680413991212845,0.2951717972755432,0.13084517419338226,0.12141033262014389,0.28694382309913635,0.0805373415350914,0.17451255023479462,0.14925788342952728
32.5,0.07791025191545486,0.16671860218048096,0.09894724190235138,0.07457230985164642,0.12012358754873276,0.10520493239164352,0.27990657091140747,0.006627409718930721,0.1412770003080368
°c,0.164425328373909,0.13748805224895477,0.1833128035068512,0.5744426846504211,0.7912421226501465,0.19822709262371063,0.17774567008018494,0.2672940194606781,0.2095707356929779
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.25067266821861267,0.20595431327819824,0.3087427020072937,0.13896974921226501,0.19191798567771912,0.40561532974243164
90.5,-0.15496864914894104,-0.07896752655506134,-0.15019799768924713,-0.0022347052581608295,0.017617331817746162,-0.05480397865176201,-0.08618147671222687,0.08435747027397156,0.11378487199544907
°f,0.19734060764312744,0.1452983021736145,0.22598426043987274,0.6051349639892578,0.7363657355308533,0.23065856099128723,0.18680845201015472,0.29484066367149353,0.19986218214035034
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.28225502371788025,0.2232651710510254,0.3326910734176636,0.15254424512386322,0.18814605474472046,0.42300865054130554
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.26145991683006287,0.24492236971855164,0.4627237319946289,0.13816462457180023,0.2836875021457672,0.1325719803571701
august,0.2603156566619873,0.42620858550071716,0.22689028084278107,0.20771992206573486,0.1259184032678604,0.24307909607887268,0.2247065305709839,0.173982173204422,0.3006744682788849
1990,0.0001421814813511446,0.0701504573225975,-0.0810435339808464,-0.07811549305915833,-0.11834104359149933,-0.012069408781826496,-0.09373249858617783,-0.09297329187393188,0.07789827883243561
down,0.3649565279483795,0.19277216494083405,0.3325848877429962,0.22813327610492706,0.144181489944458,0.2321847528219223,0.12665027379989624,0.22644507884979248,0.13836295902729034
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.23959694802761078,0.26598888635635376,0.45010748505592346,0.23559264838695526,0.22252942621707916,0.29463258385658264
−12.6,0.05398526042699814,0.12584665417671204,0.03736213594675064,0.11315692961215973,0.0252500232309103,0.09933187067508698,0.08489058166742325,0.13118784129619598,-0.09665829688310623
°c,0.164425328373909,0.13748805224895477,0.1833128035068512,0.5744426846504211,0.7912421226501465,0.19822709262371063,0.17774567008018494,0.2672940194606781,0.2095707356929779
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.25067266821861267,0.20595431327819824,0.3087427020072937,0.13896974921226501,0.19191798567771912,0.40561532974243164
9.3,-0.1587991714477539,-0.1941610425710678,0.002832400146871805,0.050328806042671204,0.024856697767972946,-0.0302601158618927,-0.040217429399490356,-0.07936842739582062,-0.12107326835393906
°f,0.19734060764312744,0.1452983021736145,0.22598426043987274,0.6051349639892578,0.7363657355308533,0.23065856099128723,0.18680845201015472,0.29484066367149353,0.19986218214035034
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.28225502371788025,0.2232651710510254,0.3326910734176636,0.15254424512386322,0.18814605474472046,0.42300865054130554
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.26145991683006287,0.24492236971855164,0.4627237319946289,0.13816462457180023,0.2836875021457672,0.1325719803571701
january,0.23963238298892975,0.3933098316192627,0.2467057853937149,0.24752341210842133,0.1657637655735016,0.28467586636543274,0.22414757311344147,0.17066171765327454,0.28608936071395874
1982,0.025003919377923012,0.2388887107372284,0.09180720150470734,0.05649562552571297,-0.035693902522325516,0.07702881097793579,0.21056783199310303,0.11907878518104553,-0.028324265033006668
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2890430688858032,0.2795942425727844,0.5591574311256409,0.2714749276638031,0.21476124227046967,0.4130953550338745
