,who,was,the,first,doctor,to,travel,with,a,married,couple,?
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.2820442318916321,0.535392165184021,0.2857808768749237,0.4223487675189972,0.5829201340675354,0.10720405727624893,0.18582691252231598,0.22068053483963013
primary,0.15416203439235687,0.16384649276733398,0.25688621401786804,0.22635842859745026,0.1228446364402771,0.27388349175453186,0.12646839022636414,0.16595536470413208,0.23038449883460999,0.11581320315599442,0.0389576181769371,0.16286636888980865
companions,0.35028961300849915,0.17933380603790283,0.25117260217666626,0.21917366981506348,0.4105963706970215,0.3149268925189972,0.3394117057323456,0.22898033261299133,0.20656074583530426,0.24347080290317535,0.19646885991096497,0.14333169162273407
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.3536086082458496,0.16895952820777893,0.41548454761505127,0.23167268931865692,0.41827285289764404,0.5052502155303955,0.1619977355003357,0.15835928916931152,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.2820442318916321,0.535392165184021,0.2857808768749237,0.4223487675189972,0.5829201340675354,0.10720405727624893,0.18582691252231598,0.22068053483963013
ninth,0.19596943259239197,0.34046924114227295,0.3694124221801758,0.45066216588020325,0.23350876569747925,0.2186671495437622,0.0921914279460907,0.09972745180130005,0.24712981283664703,0.08875047415494919,0.03330003470182419,0.05752093717455864
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.21673844754695892,0.48971283435821533,0.24324584007263184,0.5477725267410278,0.3739250600337982,0.23728172481060028,0.292665034532547,0.20544172823429108
tenth,0.17883233726024628,0.307111918926239,0.3562787175178528,0.4398987889289856,0.2886979281902313,0.2801809310913086,0.11625584214925766,0.13223600387573242,0.2407987415790558,0.07074369490146637,0.07977814227342606,0.07833222299814224
doctors,0.34335678815841675,0.1506645530462265,0.24499839544296265,0.16617467999458313,0.6945362687110901,0.2947743237018585,0.19062922894954681,0.21453820168972015,0.13876411318778992,0.17169751226902008,0.14884093403816223,0.19305896759033203
were,0.3188014328479767,0.590133786201477,0.3906462490558624,0.3285558819770813,0.11412792652845383,0.31913647055625916,0.15855152904987335,0.3179011940956116,0.17203083634376526,0.1966971904039383,0.27246615290641785,0.17890112102031708
