,how,much,gold,did,victoria,produce,in,the,years,of,1851-1860,?
victoria,0.09004101157188416,0.14623430371284485,0.34557661414146423,0.15437227487564087,1.0,0.09362562000751495,0.20823122560977936,0.2204313427209854,0.19198158383369446,0.2505437433719635,0.03387555107474327,0.12246892601251602
produced,0.17719948291778564,0.19405204057693481,0.08210697770118713,0.16971632838249207,0.0907607227563858,0.657219648361206,0.2542861998081207,0.22045251727104187,0.1589319407939911,0.18961067497730255,-0.021129360422492027,0.1623450517654419
in,0.2601168751716614,0.2725222110748291,0.21206732094287872,0.2593238651752472,0.20823122560977936,0.21160131692886353,1.0,0.6662389636039734,0.33554986119270325,0.5696388483047485,-0.05454062670469284,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.27136439085006714,0.34736719727516174,0.2204313427209854,0.23457570374011993,0.6662389636039734,1.0,0.2912273406982422,0.733189046382904,0.03599320724606514,0.22068053483963013
decade,0.16695289313793182,0.21505041420459747,0.13004456460475922,0.15830519795417786,0.10719279944896698,0.16756880283355713,0.2119923084974289,0.2552448511123657,0.3334464728832245,0.15614621341228485,0.03842957317829132,0.11237446963787079
1851–1860,0.04305766522884369,-0.016763174906373024,0.03587861731648445,0.10993970930576324,0.07960838079452515,-0.0976191908121109,-0.006474087480455637,0.03161647915840149,0.02396547608077526,0.04380695894360542,0.05744407698512077,-0.10616575926542282
20,-0.010775676928460598,-0.01254331599920988,0.060342807322740555,-0.11960799992084503,0.03906404227018356,-0.05904344841837883,-0.022708838805556297,-0.06418957561254501,-0.017153261229395866,-0.0318976491689682,-0.110689178109169,0.11360422521829605
million,0.21114659309387207,0.2792966067790985,0.1872168332338333,0.1815238744020462,0.09473524242639542,0.17261017858982086,0.2596224844455719,0.277012437582016,0.4808195233345032,0.21686489880084991,-0.022469336166977882,0.23092924058437347
ounces,0.2617919147014618,0.30875635147094727,0.2606561779975891,0.19063466787338257,0.09656838327646255,0.19586871564388275,0.19819378852844238,0.2502072751522064,0.2556406855583191,0.27887067198753357,0.0554157979786396,0.16278502345085144
of,0.2480744868516922,0.2671096920967102,0.2101457566022873,0.2513895630836487,0.2505437433719635,0.19541172683238983,0.5696388483047485,0.733189046382904,0.2904134690761566,1.0,0.07130829244852066,0.1826142966747284
gold,0.12317182868719101,0.13233064115047455,0.9999999403953552,0.1811094880104065,0.34557661414146423,0.11218662559986115,0.21206732094287872,0.27136439085006714,0.18058395385742188,0.2101457566022873,-0.0024426914751529694,0.11542754620313644
",",0.22659391164779663,0.36182254552841187,0.28787803649902344,0.3015086054801941,0.2279360294342041,0.19927625358104706,0.5201468467712402,0.4933079481124878,0.2589467465877533,0.4946078956127167,0.0716339498758316,0.31091248989105225
one,0.3213292360305786,0.3110751807689667,0.16427479684352875,0.27659472823143005,0.1790081411600113,0.20605838298797607,0.4129433035850525,0.5514441132545471,0.33127376437187195,0.4999135136604309,-0.0443364754319191,0.2673267424106598
third,0.14508451521396637,0.18641111254692078,0.12809951603412628,0.19128914177417755,0.1536635309457779,0.11783801764249802,0.3309578001499176,0.4229298532009125,0.17948690056800842,0.30602210760116577,0.05728636682033539,0.15394791960716248
of,0.2480744868516922,0.2671096920967102,0.2101457566022873,0.2513895630836487,0.2505437433719635,0.19541172683238983,0.5696388483047485,0.733189046382904,0.2904134690761566,1.0,0.07130829244852066,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.27136439085006714,0.34736719727516174,0.2204313427209854,0.23457570374011993,0.6662389636039734,1.0,0.2912273406982422,0.733189046382904,0.03599320724606514,0.22068053483963013
world,0.25969967246055603,0.19682428240776062,0.23308293521404266,0.1944720596075058,0.17221683263778687,0.1334894299507141,0.3038199245929718,0.33604270219802856,0.27430468797683716,0.2828933000564575,0.07762382924556732,0.17579582333564758
's,-0.026164190843701363,0.06731651723384857,0.095478355884552,0.05069678649306297,0.06206126511096954,-0.01003879401832819,-0.037580832839012146,-0.01540423184633255,0.05563735216856003,-0.03817026689648628,0.03721751272678375,-0.023395681753754616
output,0.28654277324676514,0.29985684156417847,0.1840670108795166,0.14500907063484192,0.11469028145074844,0.4035632610321045,0.15088461339473724,0.22049929201602936,0.07319862395524979,0.15243679285049438,-0.01698182336986065,0.16760045289993286
[,0.03530287742614746,0.06103409454226494,0.08523845672607422,0.030549485236406326,0.15538357198238373,0.10501161962747574,0.12324675917625427,0.07130392640829086,0.11653686314821243,0.010817250236868858,-0.027474649250507355,0.011015460826456547
citation,0.1860959678888321,0.1328372210264206,0.19834254682064056,0.18243058025836945,0.20188331604003906,0.20384865999221802,0.22942641377449036,0.2536581754684448,0.11926082521677017,0.22959956526756287,0.020429497584700584,0.3382055461406708
needed,0.4245111644268036,0.4278118908405304,0.13853970170021057,0.40049824118614197,0.10524148494005203,0.3664425313472748,0.21117523312568665,0.3064746856689453,0.1600845754146576,0.27215874195098877,-0.029562368988990784,0.2863257825374603
],0.06738625466823578,-0.020653191953897476,-0.03670573979616165,0.024806415662169456,-0.00659584067761898,0.04639335349202156,-0.1088862195611,-0.04779602214694023,0.04242503270506859,-0.035044461488723755,-0.01981216110289097,-0.0022520492784678936
.,0.3287222981452942,0.3374604284763336,0.22364865243434906,0.35288307070732117,0.23069117963314056,0.2587496340274811,0.5591574311256409,0.5934505462646484,0.31919315457344055,0.5352458953857422,0.03464336320757866,0.4130953550338745
