,the,region,spans,starting,at,islands,found,in,which,body,of,water,?
the,1.0,0.35020557045936584,0.3057820200920105,0.37272053956985474,0.457212895154953,0.27959951758384705,0.3452354073524475,0.6662389636039734,0.6521818041801453,0.31682634353637695,0.733189046382904,0.297396719455719,0.22068053483963013
region,0.35020557045936584,1.0,0.17070330679416656,0.1313210427761078,0.15165263414382935,0.2720184624195099,0.4615315794944763,0.3524819314479828,0.2328231930732727,0.14052534103393555,0.2852717339992523,0.14984430372714996,0.13441751897335052
spans,0.3057820200920105,0.17070330679416656,1.0,0.16519907116889954,0.1364361047744751,0.1998257339000702,0.13405998051166534,0.23299312591552734,0.2960893511772156,0.1181252971291542,0.24773009121418,0.26248863339424133,0.13849228620529175
from,0.40150508284568787,0.2132602334022522,0.14099785685539246,0.28981271386146545,0.3447161316871643,0.18465809524059296,0.15488772094249725,0.4274188280105591,0.38755592703819275,0.16964858770370483,0.4249346852302551,0.197988361120224,0.19969791173934937
pacific,0.28543707728385925,0.22141359746456146,0.19816651940345764,0.16942903399467468,0.13658063113689423,0.40319913625717163,0.18434381484985352,0.19652380049228668,0.2135714292526245,0.15224024653434753,0.21646003425121307,0.21893467009067535,0.13060949742794037
ocean,0.3185477554798126,0.22629642486572266,0.22344090044498444,0.09286293387413025,0.13659261167049408,0.398273229598999,0.23789510130882263,0.22995012998580933,0.2893344461917877,0.22648084163665771,0.25798606872558594,0.36602893471717834,0.15205028653144836
islands,0.27959951758384705,0.2720184624195099,0.1998257339000702,0.14815469086170197,0.16797123849391937,0.9999999403953552,0.16315273940563202,0.2010209858417511,0.2172965556383133,0.12560394406318665,0.277767539024353,0.2132791429758072,0.11824353039264679
",",0.4933079481124878,0.2119160145521164,0.22136400640010834,0.2485944926738739,0.38314947485923767,0.2641065716743469,0.27385151386260986,0.5201468467712402,0.3658004403114319,0.22437527775764465,0.4946078956127167,0.26706066727638245,0.31091248989105225
shorelines,0.34449177980422974,0.34035781025886536,0.3795146048069,0.15183740854263306,0.2673083543777466,0.38003504276275635,0.2945239543914795,0.3326258063316345,0.34903377294540405,0.30143436789512634,0.3322344422340393,0.4259718358516693,0.13851986825466156
",",0.4933079481124878,0.2119160145521164,0.22136400640010834,0.2485944926738739,0.38314947485923767,0.2641065716743469,0.27385151386260986,0.5201468467712402,0.3658004403114319,0.22437527775764465,0.4946078956127167,0.26706066727638245,0.31091248989105225
beaches,0.253246545791626,0.27505916357040405,0.25173795223236084,0.1493249088525772,0.20433281362056732,0.39662450551986694,0.2660321295261383,0.2784445285797119,0.2306220531463623,0.16922076046466827,0.24178698658943176,0.3922657370567322,0.13028982281684875
",",0.4933079481124878,0.2119160145521164,0.22136400640010834,0.2485944926738739,0.38314947485923767,0.2641065716743469,0.27385151386260986,0.5201468467712402,0.3658004403114319,0.22437527775764465,0.4946078956127167,0.26706066727638245,0.31091248989105225
