,what,are,some,examples,of,territories,where,a,member,state,is,responsible,for,external,relations,?
european,0.15324164927005768,0.15548661351203918,0.23190714418888092,0.16435566544532776,0.2507138252258301,0.22304438054561615,0.17414534091949463,0.2254103124141693,0.24138560891151428,0.17396335303783417,0.16083641350269318,0.1415894776582718,0.2838500738143921,0.12893468141555786,0.18307632207870483,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.18898412585258484,0.09542730450630188,0.2642118036746979,0.29140767455101013,0.14066480100154877,0.18140026926994324,0.23030449450016022,0.2435850352048874,0.16997112333774567,0.13936881721019745,0.20406247675418854,0.16552507877349854,0.27456599473953247,0.07797172665596008
law,0.2145031988620758,0.13009320199489594,0.19280415773391724,0.18239840865135193,0.2816956341266632,0.24500150978565216,0.21956811845302582,0.2212858349084854,0.17515966296195984,0.2642555832862854,0.18597714602947235,0.21093475818634033,0.1650637686252594,0.20767050981521606,0.383909672498703,0.1528988480567932
also,0.42747777700424194,0.4565894305706024,0.6210381388664246,0.3816637396812439,0.4924938678741455,0.21955890953540802,0.5413004159927368,0.5149940252304077,0.2834150791168213,0.30592310428619385,0.5012649297714233,0.2941048741340637,0.5373267531394958,0.25900980830192566,0.3124222159385681,0.21848613023757935
applies,0.31565672159194946,0.3666144013404846,0.30885589122772217,0.3494270443916321,0.31259071826934814,0.18157239258289337,0.2858123183250427,0.30046921968460083,0.16308535635471344,0.24068069458007812,0.3432334363460541,0.24723410606384277,0.3683663010597229,0.31521815061569214,0.2386491745710373,0.3131009638309479
in,0.30808621644973755,0.3841303884983063,0.4010399878025055,0.25567561388015747,0.5696388483047485,0.27001065015792847,0.5344807505607605,0.539380669593811,0.20856694877147675,0.33316072821617126,0.5394441485404968,0.24309778213500977,0.4322226941585541,0.1451910436153412,0.22494478523731232,0.20430970191955566
territories,0.2053624987602234,0.23005296289920807,0.22677822411060333,0.22124910354614258,0.2877243757247925,1.0000001192092896,0.2165503203868866,0.15218117833137512,0.16273805499076843,0.33432114124298096,0.12577515840530396,0.19866180419921875,0.18598879873752594,0.16603083908557892,0.29010164737701416,0.11298645287752151
where,0.4457937180995941,0.32389864325523376,0.39480453729629517,0.2948688268661499,0.38066378235816956,0.2165503203868866,0.9999999403953552,0.40997210144996643,0.1601654589176178,0.2583591639995575,0.3586711287498474,0.17880591750144958,0.38599511981010437,0.27839329838752747,0.1637124866247177,0.24793872237205505
a,0.3320399522781372,0.265255331993103,0.34539633989334106,0.2633219361305237,0.5052502155303955,0.15218117833137512,0.40997210144996643,1.0,0.24081070721149445,0.25097307562828064,0.658733606338501,0.22119273245334625,0.44038116931915283,0.2258543223142624,0.19898086786270142,0.23916715383529663
member,0.09932345896959305,0.16299262642860413,0.15349145233631134,0.049407172948122025,0.2701796889305115,0.16273805499076843,0.1601654589176178,0.24081070721149445,0.9999998807907104,0.15961596369743347,0.2522773742675781,0.2347816526889801,0.2718653976917267,0.11369219422340393,0.24925947189331055,0.06826172769069672
state,0.24273863434791565,0.19951030611991882,0.23220913112163544,0.1801990419626236,0.34253445267677307,0.33432114124298096,0.2583591639995575,0.25097307562828064,0.15961596369743347,1.0,0.2627358138561249,0.25438734889030457,0.19460363686084747,0.1916329711675644,0.19964557886123657,0.1160883978009224
is,0.28837618231773376,0.5330929756164551,0.3038453459739685,0.29282552003860474,0.4854315221309662,0.12577515840530396,0.3586711287498474,0.658733606338501,0.2522773742675781,0.2627358138561249,1.0,0.24123810231685638,0.43268078565597534,0.11640631407499313,0.1847245991230011,0.22961433231830597
responsible,0.26869386434555054,0.2889936864376068,0.23173010349273682,0.22973565757274628,0.37070101499557495,0.19866180419921875,0.17880591750144958,0.22119273245334625,0.2347816526889801,0.25438734889030457,0.24123810231685638,1.0,0.35061514377593994,0.254395455121994,0.21544243395328522,0.11367333680391312
