,what,does,mark,u.,edwards,claim,as,a,possible,cause,of,luther,'s,antisemitism,?
some,0.4491020441055298,0.39611563086509705,0.11757197976112366,-0.07107657194137573,0.2103504091501236,0.30583998560905457,0.4293700158596039,0.34539633989334106,0.38970518112182617,0.36354589462280273,0.4300730526447296,0.2097044140100479,0.056411296129226685,0.25356078147888184,0.2562315762042999
scholars,0.2640625238418579,0.16894316673278809,0.1739886999130249,-0.1046939343214035,0.17492051422595978,0.3226107060909271,0.2219924032688141,0.1878340095281601,0.17103926837444305,0.15047003328800201,0.2583930194377899,0.24086572229862213,0.06039043515920639,0.2607975900173187,0.11279910802841187
",",0.3087472915649414,0.28617382049560547,0.2642361521720886,0.13313612341880798,0.30003780126571655,0.2664267122745514,0.48816442489624023,0.427140474319458,0.3032452464103699,0.2546827793121338,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.2100604623556137,0.31091248989105225
such,0.23989605903625488,0.2787191867828369,0.14515580236911774,-0.08271478116512299,0.17564895749092102,0.21325577795505524,0.6207084655761719,0.2706976532936096,0.35911867022514343,0.27554231882095337,0.3209529519081116,0.09043191373348236,0.05073437839746475,0.1556275337934494,0.17851735651493073
as,0.31749409437179565,0.31202155351638794,0.248020738363266,0.006702067330479622,0.2509889304637909,0.24246928095817566,1.0,0.39550232887268066,0.3206198215484619,0.22159208357334137,0.3886612355709076,0.20242992043495178,-0.05775856226682663,0.19674153625965118,0.27043893933296204
mark,0.16941310465335846,0.08891664445400238,0.9999999403953552,0.00894662830978632,0.2084113359451294,0.12892840802669525,0.248020738363266,0.2278195023536682,0.059205517172813416,0.07107382267713547,0.16461719572544098,0.23420047760009766,-0.0162014439702034,0.10346055030822754,0.11634156107902527
u.,-0.045045603066682816,-0.034569717943668365,0.00894662830978632,0.9999998807907104,0.07164611667394638,-0.03735695034265518,0.006702067330479622,0.05030097812414169,-0.05814528092741966,-0.10380715131759644,0.12047496438026428,-0.030764391645789146,-0.010568694211542606,-0.10934273898601532,-0.06354963779449463
edwards,0.15566903352737427,0.18574006855487823,0.2084113359451294,0.07164611667394638,1.0,0.20914065837860107,0.2509889304637909,0.21698184311389923,0.17314520478248596,0.2429342120885849,0.18850749731063843,0.20500709116458893,-0.04786781221628189,0.1721513569355011,0.16941575706005096
in,0.30808621644973755,0.214483380317688,0.2269105464220047,0.17081455886363983,0.22228585183620453,0.16881313920021057,0.3887844979763031,0.539380669593811,0.2287878543138504,0.24822883307933807,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.21951206028461456,0.20430970191955566
his,0.26976513862609863,0.20403875410556793,0.18292218446731567,-0.03264967352151871,0.24741820991039276,0.24642159044742584,0.3146366477012634,0.3497250974178314,0.2212880551815033,0.20626290142536163,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.3070656359195709,0.18075084686279297
