,what,'s,the,average,decibel,level,of,noise,in,newcastle,?
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.23465414345264435,0.21249251067638397,0.279204785823822,0.5696388483047485,0.10794119536876678,1.0,0.19270820915699005,0.20430970191955566
a,0.3320399522781372,0.04866964742541313,0.5829201340675354,0.23812800645828247,0.263986200094223,0.21346178650856018,0.5052502155303955,0.2388482391834259,0.539380669593811,0.21405641734600067,0.23916715383529663
report,0.2868559956550598,-0.0383719876408577,0.2556745111942291,0.20708073675632477,0.23782454431056976,0.1898125410079956,0.22992923855781555,0.1739462912082672,0.204250767827034,0.1847516894340515,0.3138936758041382
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.23098047077655792,0.2671133577823639,0.23317520320415497,0.4946078956127167,0.20197774469852448,0.5201468467712402,0.251589834690094,0.31091248989105225
published,0.20457668602466583,0.01244857907295227,0.22017472982406616,0.1764763742685318,0.18579553067684174,0.09108638018369675,0.23023100197315216,0.010889774188399315,0.26697060465812683,0.13851383328437805,0.16280238330364227
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.23465414345264435,0.21249251067638397,0.279204785823822,0.5696388483047485,0.10794119536876678,1.0,0.19270820915699005,0.20430970191955566
early,0.2454567849636078,0.03384959325194359,0.34442198276519775,0.2050858587026596,0.11082515120506287,0.1269618272781372,0.30937549471855164,0.0836658701300621,0.34672921895980835,0.17478711903095245,0.15272949635982513
february,0.1913013905286789,-0.056284528225660324,0.26483774185180664,0.17123667895793915,0.13314756751060486,0.12639202177524567,0.20366249978542328,0.07330255210399628,0.2990526556968689,0.2465735673904419,0.29594847559928894
2007,-0.15549811720848083,-0.07339024543762207,-0.23657195270061493,-0.09957723319530487,-0.06750713288784027,-0.04881220683455467,-0.21244128048419952,0.057229626923799515,-0.2201838344335556,-0.20566880702972412,-0.1664225310087204
by,0.2455483376979828,-0.010884488001465797,0.4408751428127289,0.15240925550460815,0.2269982546567917,0.17142534255981445,0.3646814823150635,0.18708649277687073,0.370934396982193,0.1767825335264206,0.17966607213020325
the,0.42745697498321533,-0.01540423184633255,1.0,0.27058175206184387,0.2619472146034241,0.31442487239837646,0.733189046382904,0.2197163999080658,0.6662389636039734,0.2253497689962387,0.22068053483963013
ear,0.1741301566362381,-0.04132567718625069,0.21599555015563965,0.10906557738780975,0.2327345758676529,0.09573501348495483,0.1519506573677063,0.3276837468147278,0.18923775851726532,0.14556370675563812,0.1579822301864624
institute,0.17608846724033356,-0.05064508691430092,0.24399729073047638,0.13448652625083923,0.13986793160438538,0.17287085950374603,0.2977932393550873,0.0595732145011425,0.2517135441303253,0.11156526952981949,0.115291528403759
at,0.2838611304759979,-0.08481216430664062,0.457212895154953,0.26809391379356384,0.21760518848896027,0.24496568739414215,0.42558613419532776,0.14906352758407593,0.4374977946281433,0.18403437733650208,0.21978627145290375
the,0.42745697498321533,-0.01540423184633255,1.0,0.27058175206184387,0.2619472146034241,0.31442487239837646,0.733189046382904,0.2197163999080658,0.6662389636039734,0.2253497689962387,0.22068053483963013
university,0.20256435871124268,-0.007441582623869181,0.263973206281662,0.12476029992103577,0.13190564513206482,0.17669419944286346,0.30646374821662903,0.08596082031726837,0.3201795518398285,0.2205878645181656,0.11887256056070328
college,0.20568516850471497,0.012106797657907009,0.19751401245594025,0.08893012255430222,0.09940491616725922,0.11234542727470398,0.2384195327758789,0.05981970950961113,0.2160365730524063,0.22403597831726074,0.11076676845550537
london,0.15188734233379364,0.03185916692018509,0.27034124732017517,0.06843651831150055,0.1855093091726303,0.1214255541563034,0.2159106284379959,0.1299765408039093,0.2785358726978302,0.3328736424446106,0.11278104782104492
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.23098047077655792,0.2671133577823639,0.23317520320415497,0.4946078956127167,0.20197774469852448,0.5201468467712402,0.251589834690094,0.31091248989105225
and,0.31309178471565247,0.06895173341035843,0.5171257257461548,0.2138829380273819,0.19374163448810577,0.29463574290275574,0.5116966962814331,0.19606049358844757,0.4954058527946472,0.20204751193523407,0.20544172823429108
widex,0.22939370572566986,-0.028433294966816902,0.31486600637435913,0.23449277877807617,0.2539348006248474,0.22687427699565887,0.2516777217388153,0.20451024174690247,0.23594772815704346,0.2000333070755005,0.21149542927742004
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.23098047077655792,0.2671133577823639,0.23317520320415497,0.4946078956127167,0.20197774469852448,0.5201468467712402,0.251589834690094,0.31091248989105225
a,0.3320399522781372,0.04866964742541313,0.5829201340675354,0.23812800645828247,0.263986200094223,0.21346178650856018,0.5052502155303955,0.2388482391834259,0.539380669593811,0.21405641734600067,0.23916715383529663
danish,0.09652101993560791,0.1019420176744461,0.15316766500473022,0.04259459674358368,0.15797603130340576,0.10836777836084366,0.11180341243743896,0.0153786800801754,0.14959366619586945,0.16799454391002655,0.09872670471668243
hearing,0.34058091044425964,0.044985927641391754,0.22072359919548035,0.12623056769371033,0.38895684480667114,0.15213729441165924,0.23290106654167175,0.47339731454849243,0.20339344441890717,0.2017260193824768,0.19994913041591644
aid,0.1778782606124878,0.07831104844808578,0.21952909231185913,0.08197145164012909,0.08850091695785522,0.1807728409767151,0.20153990387916565,0.17794068157672882,0.1754455417394638,0.18508203327655792,0.08358026295900345
manufacturer,0.13465645909309387,0.012572141364216805,0.18454907834529877,0.1077127531170845,0.22446271777153015,0.10527080297470093,0.1593974381685257,0.21831926703453064,0.15855246782302856,0.16911673545837402,0.11731472611427307
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.23098047077655792,0.2671133577823639,0.23317520320415497,0.4946078956127167,0.20197774469852448,0.5201468467712402,0.251589834690094,0.31091248989105225
newcastle,0.16276082396507263,-0.017262522131204605,0.2253497689962387,0.22202055156230927,0.13202327489852905,0.19523683190345764,0.18781472742557526,0.1714157909154892,0.19270820915699005,1.0000001192092896,0.0902252271771431
was,0.22111038863658905,0.008974763564765453,0.48711544275283813,0.18843130767345428,0.168448805809021,0.12130098044872284,0.4069072902202606,0.11629702895879745,0.45514053106307983,0.25710436701774597,0.18412111699581146
named,0.1525408923625946,-0.06022389233112335,0.3521348536014557,0.14506758749485016,0.12520845234394073,0.06769127398729324,0.2820465862751007,0.045542895793914795,0.28130269050598145,0.13427768647670746,0.1297498345375061
as,0.31749409437179565,-0.05775856226682663,0.48381632566452026,0.1320570707321167,0.15813975036144257,0.24387936294078827,0.3886612355709076,0.1172873005270958,0.3887844979763031,0.21526619791984558,0.27043893933296204
the,0.42745697498321533,-0.01540423184633255,1.0,0.27058175206184387,0.2619472146034241,0.31442487239837646,0.733189046382904,0.2197163999080658,0.6662389636039734,0.2253497689962387,0.22068053483963013
noisiest,0.28168216347694397,0.03266938775777817,0.3690533936023712,0.30579811334609985,0.3693943917751312,0.23022346198558807,0.31027519702911377,0.5085964202880859,0.32987865805625916,0.24012364447116852,0.23616230487823486
city,0.17493832111358643,0.004406440537422895,0.35769423842430115,0.20403116941452026,0.15944668650627136,0.16629761457443237,0.32503411173820496,0.10695536434650421,0.3911624252796173,0.32860881090164185,0.13423943519592285
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.23465414345264435,0.21249251067638397,0.279204785823822,0.5696388483047485,0.10794119536876678,1.0,0.19270820915699005,0.20430970191955566
the,0.42745697498321533,-0.01540423184633255,1.0,0.27058175206184387,0.2619472146034241,0.31442487239837646,0.733189046382904,0.2197163999080658,0.6662389636039734,0.2253497689962387,0.22068053483963013
whole,0.38441845774650574,0.08568435162305832,0.4517841339111328,0.28904661536216736,0.20432165265083313,0.14355002343654633,0.4001069962978363,0.17613652348518372,0.30267009139060974,0.15572836995124817,0.21052291989326477
of,0.33290785551071167,-0.03817026689648628,0.733189046382904,0.23717734217643738,0.1879928857088089,0.23504668474197388,1.0,0.1370127946138382,0.5696388483047485,0.18781472742557526,0.1826142966747284
the,0.42745697498321533,-0.01540423184633255,1.0,0.27058175206184387,0.2619472146034241,0.31442487239837646,0.733189046382904,0.2197163999080658,0.6662389636039734,0.2253497689962387,0.22068053483963013
uk,0.17163191735744476,-0.0013451746199280024,0.2143084555864334,0.09694089740514755,0.2475513070821762,0.10299212485551834,0.21513383090496063,0.14547762274742126,0.2261405885219574,0.23818176984786987,0.20222434401512146
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.23098047077655792,0.2671133577823639,0.23317520320415497,0.4946078956127167,0.20197774469852448,0.5201468467712402,0.251589834690094,0.31091248989105225
with,0.2464839518070221,-0.04624466598033905,0.4223487675189972,0.23698946833610535,0.19347725808620453,0.23348768055438995,0.41827285289764404,0.21138860285282135,0.4080928862094879,0.1710812896490097,0.2433311939239502
an,0.2821882665157318,0.025255560874938965,0.4207492768764496,0.27438971400260925,0.1897566318511963,0.20686616003513336,0.32280945777893066,0.18890610337257385,0.2605783939361572,0.162101611495018,0.19793890416622162
average,0.24068789184093475,0.08544468134641647,0.27058175206184387,1.0,0.3209006190299988,0.27384838461875916,0.23717734217643738,0.19966594874858856,0.23465414345264435,0.22202055156230927,0.21764592826366425
level,0.27376922965049744,-0.0019135585753247142,0.31442487239837646,0.27384838461875916,0.28848138451576233,0.9999998807907104,0.23504668474197388,0.15107543766498566,0.279204785823822,0.19523683190345764,0.20528386533260345
of,0.33290785551071167,-0.03817026689648628,0.733189046382904,0.23717734217643738,0.1879928857088089,0.23504668474197388,1.0,0.1370127946138382,0.5696388483047485,0.18781472742557526,0.1826142966747284
80.4,-0.040164221078157425,0.04795537143945694,-0.08379905670881271,-0.15503616631031036,-0.07023528963327408,-0.2157193273305893,-0.12745219469070435,0.0569782480597496,-0.09155842661857605,-0.06546568125486374,0.05027459189295769
decibels,0.2504761219024658,0.06979608535766602,0.25722044706344604,0.316364586353302,0.885863184928894,0.322276771068573,0.20114852488040924,0.46001559495925903,0.2030176818370819,0.1593121886253357,0.1961279660463333
.,0.3567904531955719,-0.003708066651597619,0.5934505462646484,0.2717139422893524,0.20824402570724487,0.26056769490242004,0.5352458953857422,0.17103740572929382,0.5591574311256409,0.2714749276638031,0.4130953550338745
