,imperialism,extends,a,country,'s,power,and,what,?
imperialism,1.0,0.13209094107151031,0.17335295677185059,0.2708059251308441,0.00493214325979352,0.25230416655540466,0.19073538482189178,0.24614648520946503,0.14998586475849152
is,0.13894762098789215,0.36938562989234924,0.658733606338501,0.24409033358097076,0.02396530658006668,0.15234114229679108,0.3859752118587494,0.28837618231773376,0.22961433231830597
defined,0.26578861474990845,0.2884781062602997,0.25929558277130127,0.1604054570198059,-0.09917864948511124,0.10934171825647354,0.2678177058696747,0.25343453884124756,0.22494901716709137
as,0.2192956656217575,0.18942230939865112,0.39550232887268066,0.2241005152463913,-0.05775856226682663,0.20748355984687805,0.49487000703811646,0.31749409437179565,0.27043893933296204
``,0.050459738820791245,0.13485963642597198,0.07272057235240936,0.0564170703291893,-0.03416389226913452,0.02305009216070175,0.036644238978624344,0.008517155423760414,0.0685480609536171
a,0.17335295677185059,0.31541815400123596,1.0,0.20991116762161255,0.04866964742541313,0.21580491960048676,0.3739250600337982,0.3320399522781372,0.23916715383529663
policy,0.37139713764190674,0.20317110419273376,0.17720282077789307,0.24342869222164154,-0.07627277821302414,0.1965571939945221,0.2148873209953308,0.3869883120059967,0.30462446808815
of,0.29240643978118896,0.3704025447368622,0.5052502155303955,0.28866857290267944,-0.03817026689648628,0.25273123383522034,0.5116966962814331,0.33290785551071167,0.1826142966747284
extending,0.12444278597831726,0.8251897096633911,0.29785630106925964,0.12516598403453827,0.004520689137279987,0.15183037519454956,0.3117924928665161,0.28489816188812256,0.16590118408203125
a,0.17335295677185059,0.31541815400123596,1.0,0.20991116762161255,0.04866964742541313,0.21580491960048676,0.3739250600337982,0.3320399522781372,0.23916715383529663
country,0.2708059251308441,0.11365563422441483,0.20991116762161255,1.0000001192092896,0.0747150406241417,0.24338772892951965,0.30884742736816406,0.22705033421516418,0.12647280097007751
’,-0.08137310296297073,-0.019593728706240654,-0.04976731166243553,-0.012356993742287159,-0.1203070729970932,-0.0021082726307213306,-0.0002844194823410362,-0.01733604073524475,0.045561522245407104
s,0.25646671652793884,0.23386791348457336,0.37089070677757263,0.22950361669063568,0.05719660595059395,0.19807936251163483,0.36742347478866577,0.3634900748729706,0.25130221247673035
power,0.25230416655540466,0.15260908007621765,0.21580491960048676,0.24338772892951965,0.05344679579138756,1.0000001192092896,0.27496716380119324,0.22216427326202393,0.15304024517536163
and,0.19073538482189178,0.25930309295654297,0.3739250600337982,0.30884742736816406,0.06895173341035843,0.27496716380119324,1.0,0.31309178471565247,0.20544172823429108
influence,0.38372498750686646,0.2682643532752991,0.23828014731407166,0.28604161739349365,0.0246872678399086,0.2899918556213379,0.34756016731262207,0.2790174186229706,0.14200882613658905
through,0.13557466864585876,0.3634667694568634,0.3399752974510193,0.17511385679244995,-0.020649312064051628,0.20083147287368774,0.3666759729385376,0.23167094588279724,0.16913433372974396
diplomacy,0.3954803943634033,0.13995419442653656,0.20610961318016052,0.3084465563297272,-0.016241461038589478,0.2434653788805008,0.17923179268836975,0.21951982378959656,0.18975475430488586
or,0.16436384618282318,0.26056474447250366,0.48853766918182373,0.2667475640773773,0.06871571391820908,0.23362433910369873,0.4713204801082611,0.33867141604423523,0.32389625906944275
military,0.34286001324653625,0.12200205028057098,0.22087278962135315,0.29486605525016785,0.0309983491897583,0.3317231833934784,0.2530125379562378,0.18809624016284943,0.1890317052602768
force,0.27255183458328247,0.17266350984573364,0.2451154738664627,0.1692022979259491,0.020782919600605965,0.32106587290763855,0.24372100830078125,0.16915984451770782,0.1650998443365097
.,0.22279119491577148,0.21232323348522186,0.50484299659729,0.26130348443984985,-0.003708066651597619,0.2141435295343399,0.588965117931366,0.3567904531955719,0.4130953550338745
'',-0.013202380388975143,-0.0053693498484790325,0.04890415817499161,-0.026720518246293068,-0.04859459400177002,0.03610771894454956,0.021612688899040222,0.08143015950918198,0.018684765323996544
