,what,type,of,engines,became,widespread,around,the,end,of,the,19th,century,?
near,0.19414293766021729,0.09284024685621262,0.2651676535606384,0.1327822059392929,0.15950028598308563,0.19480273127555847,0.37184345722198486,0.2879819869995117,0.2419871836900711,0.2651676535606384,0.2879819869995117,0.0956072136759758,0.17777784168720245,0.10734958201646805
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.36325156688690186,0.30728161334991455,0.40085816383361816,1.0,0.39658910036087036,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
end,0.29234179854393005,0.16096603870391846,0.2215006798505783,0.13205844163894653,0.1404138207435608,0.14784975349903107,0.31212130188941956,0.39658910036087036,1.0,0.2215006798505783,0.39658910036087036,0.19122819602489471,0.21640616655349731,0.12543344497680664
of,0.33290785551071167,0.18112817406654358,1.0,0.17593856155872345,0.3638904094696045,0.2750900983810425,0.3296394646167755,0.733189046382904,0.2215006798505783,1.0,0.733189046382904,0.16605104506015778,0.2826060354709625,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.36325156688690186,0.30728161334991455,0.40085816383361816,1.0,0.39658910036087036,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
19th,0.11525199562311172,0.08041264116764069,0.16605104506015778,0.14128632843494415,0.2335064560174942,0.08685071021318436,0.12147945165634155,0.24964287877082825,0.19122819602489471,0.16605104506015778,0.24964287877082825,1.0,0.25699272751808167,0.004712673369795084
century,0.20422613620758057,0.12631413340568542,0.2826060354709625,0.15469561517238617,0.3329561948776245,0.285706102848053,0.3026770353317261,0.3617299497127533,0.21640616655349731,0.2826060354709625,0.3617299497127533,0.25699272751808167,1.0,0.1026201918721199
compound,0.182308629155159,0.1771230697631836,0.23397859930992126,0.2556358277797699,0.10816822201013565,0.15840362012386322,0.15937957167625427,0.18848907947540283,0.14900101721286774,0.23397859930992126,0.18848907947540283,0.07815716415643692,0.129878431558609,0.19502747058868408
engines,0.1634974628686905,0.14994610846042633,0.17593856155872345,1.0000001192092896,0.16198648512363434,0.1220661997795105,0.17241020500659943,0.2245008647441864,0.13205844163894653,0.17593856155872345,0.2245008647441864,0.14128632843494415,0.15469561517238617,0.18940703570842743
came,0.2728535234928131,0.11090685427188873,0.3201526999473572,0.17901121079921722,0.4926590919494629,0.26740512251853943,0.26019760966300964,0.39390382170677185,0.17960770428180695,0.3201526999473572,0.39390382170677185,0.18693307042121887,0.3409724235534668,0.1739392727613449
into,0.2180619090795517,0.14269600808620453,0.32255905866622925,0.2055368274450302,0.19829480350017548,0.17547458410263062,0.31611397862434387,0.39493247866630554,0.25488799810409546,0.32255905866622925,0.39493247866630554,0.0903710424900055,0.16783501207828522,0.15662476420402527
widespread,0.236628457903862,0.21082043647766113,0.2750900983810425,0.1220661997795105,0.16429930925369263,1.0,0.2857833802700043,0.30728161334991455,0.14784975349903107,0.2750900983810425,0.30728161334991455,0.08685071021318436,0.285706102848053,0.16958627104759216
use,0.3453877568244934,0.32010024785995483,0.2750902473926544,0.27862992882728577,0.13620254397392273,0.33241158723831177,0.29157665371894836,0.34342584013938904,0.2408260554075241,0.2750902473926544,0.34342584013938904,0.1853867769241333,0.21389883756637573,0.32795652747154236
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24894580245018005,0.2806840240955353,0.2370782196521759,0.3712388277053833,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.5934505462646484,0.18941882252693176,0.27413639426231384,0.4130953550338745
