,which,logo,had,the,dw,tardis,insignia,removed,?
the,0.6521818041801453,0.2806010842323303,0.3875846862792969,1.0,0.1774909347295761,0.29145124554634094,0.31639766693115234,0.33493471145629883,0.22068053483963013
logo,0.25611594319343567,1.0000001192092896,0.10860937088727951,0.2806010842323303,0.2527984082698822,0.18699978291988373,0.40299177169799805,0.19294589757919312,0.23347119987010956
used,0.414506196975708,0.20441769063472748,0.2477826625108719,0.3718377649784088,0.26379409432411194,0.2181517481803894,0.2640431523323059,0.3577429950237274,0.22430120408535004
for,0.44095608592033386,0.2166183590888977,0.3270139992237091,0.4739971458911896,0.21849773824214935,0.16425904631614685,0.23460422456264496,0.22162418067455292,0.264628142118454
the,0.6521818041801453,0.2806010842323303,0.3875846862792969,1.0,0.1774909347295761,0.29145124554634094,0.31639766693115234,0.33493471145629883,0.22068053483963013
eleventh,0.23803870379924774,0.05967637524008751,0.21445293724536896,0.3663412928581238,0.1462605595588684,0.3024926781654358,0.15957224369049072,0.2036316692829132,0.0976005420088768
doctor,0.19030126929283142,0.12991586327552795,0.19423192739486694,0.2820442318916321,0.03310791030526161,0.5026617050170898,0.15941625833511353,0.13943202793598175,0.1462511420249939
had,0.3188965916633606,0.10860937088727951,0.9999999403953552,0.3875846862792969,0.12431732565164566,0.22006388008594513,0.17119410634040833,0.34145477414131165,0.20728366076946259
the,0.6521818041801453,0.2806010842323303,0.3875846862792969,1.0,0.1774909347295761,0.29145124554634094,0.31639766693115234,0.33493471145629883,0.22068053483963013
``,0.05178012326359749,-0.06913861632347107,0.0518546998500824,0.029072100296616554,-0.014355922117829323,-0.048330437391996384,0.10231546312570572,0.015111736953258514,0.0685480609536171
dw,0.22644130885601044,0.2527984082698822,0.12431732565164566,0.1774909347295761,1.0,0.1313895434141159,0.2321910709142685,0.1784900724887848,0.18872064352035522
'',-0.03332270681858063,0.029102830216288567,0.024004416540265083,0.041273195296525955,0.010939696803689003,0.015524344518780708,0.02983342669904232,0.03642342612147331,0.018684765323996544
tardis,0.2889474630355835,0.18699978291988373,0.22006388008594513,0.29145124554634094,0.1313895434141159,1.0000001192092896,0.09896142035722733,0.15477021038532257,0.14893783628940582
insignia,0.2766488790512085,0.40299177169799805,0.17119410634040833,0.31639766693115234,0.2321910709142685,0.09896142035722733,0.9999998807907104,0.2445366084575653,0.2418408840894699
placed,0.31395262479782104,0.13403736054897308,0.24829529225826263,0.38702741265296936,0.1762014627456665,0.2520923316478729,0.2744584381580353,0.4838646352291107,0.18964257836341858
to,0.5345056653022766,0.2215760052204132,0.37984350323677063,0.535392165184021,0.20409812033176422,0.2524881064891815,0.19896836578845978,0.31205955147743225,0.29463258385658264
the,0.6521818041801453,0.2806010842323303,0.3875846862792969,1.0,0.1774909347295761,0.29145124554634094,0.31639766693115234,0.33493471145629883,0.22068053483963013
right,0.29368749260902405,0.20562927424907684,0.20452749729156494,0.33901116251945496,0.1125389039516449,0.17043931782245636,0.21416208148002625,0.27796992659568787,0.27135515213012695
in,0.4840516746044159,0.1848117560148239,0.385026752948761,0.6662389636039734,0.15758267045021057,0.1960487961769104,0.2257619947195053,0.20650114119052887,0.20430970191955566
2012,0.37707939743995667,0.10975863039493561,0.2411087453365326,0.46885523200035095,0.23139378428459167,0.22717390954494476,0.2526739537715912,0.18582692742347717,0.18042556941509247
",",0.3658004403114319,0.20034073293209076,0.35487717390060425,0.4933079481124878,0.24954408407211304,0.17403040826320648,0.2051050066947937,0.28478309512138367,0.31091248989105225
but,0.55336993932724,0.2248670905828476,0.4414518475532532,0.4859698414802551,0.20030386745929718,0.31835460662841797,0.21832787990570068,0.3273165225982666,0.27921953797340393
the,0.6521818041801453,0.2806010842323303,0.3875846862792969,1.0,0.1774909347295761,0.29145124554634094,0.31639766693115234,0.33493471145629883,0.22068053483963013
same,0.4653036296367645,0.24027784168720245,0.2788434326648712,0.4583131968975067,0.16432884335517883,0.2220536321401596,0.1993272751569748,0.248594269156456,0.22649677097797394
