,what,will,concentrated,oxygen,greatly,speed,up,?
concentrated,0.20476274192333221,0.17168664932250977,1.0,0.2913258969783783,0.36566632986068726,0.2267010509967804,0.1893349438905716,0.11501483619213104
o,0.1489914506673813,0.18392929434776306,0.2131664901971817,0.2476140707731247,0.05781775712966919,0.11106990277767181,0.12259213626384735,0.23868927359580994
2,-0.049862053245306015,-0.016808977350592613,-0.03676225617527962,0.04063820466399193,-0.07115678489208221,-0.054851289838552475,-0.08510470390319824,0.001977203879505396
will,0.3510494530200958,1.0,0.17168664932250977,0.2768942415714264,0.22023352980613708,0.24313417077064514,0.3349364995956421,0.35046905279159546
allow,0.2883041203022003,0.48204848170280457,0.19276560842990875,0.2082347720861435,0.24414072930812836,0.2618875503540039,0.2753014862537384,0.2042745053768158
combustion,0.2678600549697876,0.25834333896636963,0.25924617052078247,0.4784593880176544,0.22134636342525482,0.3587101697921753,0.21342554688453674,0.2177530825138092
to,0.455847829580307,0.5091033577919006,0.2865214943885803,0.24193501472473145,0.2754734754562378,0.2900872230529785,0.40375280380249023,0.29463258385658264
proceed,0.3778398036956787,0.3821910321712494,0.1544225811958313,0.21536298096179962,0.1605498492717743,0.2129768431186676,0.266539603471756,0.22601620852947235
rapidly,0.20276354253292084,0.2592693269252777,0.343302458524704,0.23475238680839539,0.33487963676452637,0.30595511198043823,0.21212533116340637,0.11245343834161758
and,0.31309178471565247,0.35983073711395264,0.337016761302948,0.22261030972003937,0.32318440079689026,0.23429381847381592,0.4032393991947174,0.20544172823429108
energetically,0.23506644368171692,0.3419898450374603,0.29735738039016724,0.2902843654155731,0.30891162157058716,0.29931727051734924,0.24288928508758545,0.13913337886333466
.,0.3567904531955719,0.33682769536972046,0.2786614000797272,0.2554275095462799,0.26656630635261536,0.20181311666965485,0.351434588432312,0.4130953550338745
