,what,is,a,a,developing,economy,'s,level,of,inequality,bulging,out,called,?
plotting,0.2613373100757599,0.14748123288154602,0.27193859219551086,0.27193859219551086,0.265115350484848,0.15993207693099976,-0.05784570053219795,0.11428667604923248,0.2975943088531494,0.2856168746948242,0.4043683111667633,0.23846612870693207,0.2644120752811432,0.1968889683485031
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.5829201340675354,0.3203009068965912,0.24644890427589417,-0.01540423184633255,0.31442487239837646,0.733189046382904,0.23508106172084808,0.3265340328216553,0.39404502511024475,0.489897221326828,0.22068053483963013
relationship,0.24358563125133514,0.22806847095489502,0.25691166520118713,0.25691166520118713,0.2042882740497589,0.198137104511261,-0.04484357684850693,0.18009760975837708,0.22000651061534882,0.37350666522979736,0.199264258146286,0.13009437918663025,0.19309931993484497,0.11361731588840485
between,0.2462156116962433,0.26809602975845337,0.29385313391685486,0.29385313391685486,0.22640743851661682,0.17449726164340973,0.006096371449530125,0.2342780977487564,0.3737983703613281,0.29772037267684937,0.2160441130399704,0.2655375897884369,0.33096179366111755,0.12887074053287506
level,0.27376922965049744,0.24803997576236725,0.21346178650856018,0.21346178650856018,0.23788943886756897,0.18809612095355988,-0.0019135585753247142,0.9999998807907104,0.23504668474197388,0.24342113733291626,0.21283960342407227,0.17280593514442444,0.17928017675876617,0.20528386533260345
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.5052502155303955,0.27299609780311584,0.2583308815956116,-0.03817026689648628,0.23504668474197388,1.0,0.27910974621772766,0.30167677998542786,0.34176841378211975,0.4222904443740845,0.1826142966747284
income,0.21837803721427917,0.14559021592140198,0.2084353119134903,0.2084353119134903,0.2856930196285248,0.4612882733345032,-0.006451981142163277,0.24777935445308685,0.2581324577331543,0.46967795491218567,0.19341789186000824,0.1600833386182785,0.17006897926330566,0.14935168623924255
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.3739250600337982,0.294929563999176,0.26484790444374084,0.06895173341035843,0.29463574290275574,0.5116966962814331,0.2590520679950714,0.3383438289165497,0.3881998062133789,0.3251761794090271,0.20544172823429108
inequality,0.30072227120399475,0.1953488290309906,0.1783585250377655,0.1783585250377655,0.2728531062602997,0.41350439190864563,-0.0032307563815265894,0.24342113733291626,0.27910974621772766,1.0000001192092896,0.23397456109523773,0.20822980999946594,0.20080813765525818,0.23619021475315094
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.427140474319458,0.23282839357852936,0.2521176040172577,-0.0016132977325469255,0.23317520320415497,0.4946078956127167,0.21822890639305115,0.2813993990421295,0.3161109685897827,0.26549121737480164,0.31091248989105225
kuznets,0.1295931190252304,0.17936952412128448,0.17854219675064087,0.17854219675064087,0.15472561120986938,0.23239541053771973,0.017264913767576218,0.13655886054039001,0.15314316749572754,0.14391092956066132,0.3195333778858185,0.17430809140205383,0.2187703549861908,0.19523082673549652
saw,0.24788837134838104,0.20157958567142487,0.2244260609149933,0.2244260609149933,0.16318020224571228,0.2596744894981384,0.04767860472202301,0.10813374072313309,0.28204935789108276,0.18336309492588043,0.16475853323936462,0.3085657060146332,0.24220062792301178,0.14690998196601868
middle-income,0.2398371696472168,0.24107514321804047,0.2784223258495331,0.2784223258495331,0.3021736145019531,0.4141116142272949,-0.029973356053233147,0.2882934808731079,0.3110443353652954,0.4300230145454407,0.23486195504665375,0.19404548406600952,0.22388289868831635,0.2207205444574356
developing,0.22094523906707764,0.22658659517765045,0.29613688588142395,0.29613688588142395,1.0,0.29819849133491516,-0.02905133366584778,0.23788943886756897,0.27299609780311584,0.2728531062602997,0.37286096811294556,0.20908987522125244,0.26247912645339966,0.1301516592502594
economies,0.20860779285430908,0.20516782999038696,0.19266118109226227,0.19266118109226227,0.42254140973091125,0.7685644626617432,0.06010354682803154,0.21876594424247742,0.22326010465621948,0.42763370275497437,0.2121940404176712,0.16874800622463226,0.20381608605384827,0.16836115717887878
level,0.27376922965049744,0.24803997576236725,0.21346178650856018,0.21346178650856018,0.23788943886756897,0.18809612095355988,-0.0019135585753247142,0.9999998807907104,0.23504668474197388,0.24342113733291626,0.21283960342407227,0.17280593514442444,0.17928017675876617,0.20528386533260345
