,for,what,invention,was,u.s.,patent,"1,655,114",granted,?
in,0.4322226941585541,0.30808621644973755,0.21856682002544403,0.45514053106307983,-0.003064807504415512,0.18244080245494843,0.14302553236484528,0.21880222856998444,0.20430970191955566
1928,-0.028218159452080727,0.09920497238636017,0.06453503668308258,0.10012757778167725,-0.051920533180236816,0.07650505006313324,0.04574970528483391,0.11700216680765152,0.06493618339300156
",",0.4464869201183319,0.3087472915649414,0.20097169280052185,0.45456063747406006,0.030410487204790115,0.20812061429023743,0.18753455579280853,0.2980138957500458,0.31091248989105225
tesla,0.13983871042728424,0.23221199214458466,0.31912633776664734,0.16455206274986267,0.018370212987065315,0.3651154637336731,0.08083534985780716,0.23514078557491302,0.10250775516033173
received,0.30396392941474915,0.1010502278804779,0.11326392740011215,0.3745744526386261,0.02949313074350357,0.20042450726032257,0.08279740065336227,0.4130079448223114,0.11905962228775024
his,0.39312878251075745,0.26976513862609863,0.2445983588695526,0.4405253231525421,0.16653037071228027,0.1482684165239334,0.0956290066242218,0.2550535202026367,0.18075084686279297
last,0.3043119013309479,0.23175878822803497,0.11657845973968506,0.32424551248550415,0.07551223039627075,0.06450185924768448,0.035528410226106644,0.1553267538547516,0.22371746599674225
patent,0.23913012444972992,0.17095203697681427,0.505535364151001,0.13812966644763947,0.03179539367556572,0.9999999403953552,0.18013720214366913,0.40747252106666565,0.13298413157463074
",",0.4464869201183319,0.3087472915649414,0.20097169280052185,0.45456063747406006,0.030410487204790115,0.20812061429023743,0.18753455579280853,0.2980138957500458,0.31091248989105225
u.s.,0.11615988612174988,0.11178889125585556,-0.012628910131752491,0.06837434321641922,0.9999999403953552,0.03179539367556572,0.04723454266786575,0.051948048174381256,0.07886100560426712
patent,0.23913012444972992,0.17095203697681427,0.505535364151001,0.13812966644763947,0.03179539367556572,0.9999999403953552,0.18013720214366913,0.40747252106666565,0.13298413157463074
"1,655,114",0.12213239818811417,-0.05964583158493042,0.060262009501457214,0.08786357939243317,0.04723454266786575,0.18013720214366913,1.0,0.08358229696750641,0.06531624495983124
",",0.4464869201183319,0.3087472915649414,0.20097169280052185,0.45456063747406006,0.030410487204790115,0.20812061429023743,0.18753455579280853,0.2980138957500458,0.31091248989105225
for,0.9999999403953552,0.3017193675041199,0.25983884930610657,0.3863949179649353,0.11615988612174988,0.23913012444972992,0.12213239818811417,0.2961326837539673,0.264628142118454
a,0.44038116931915283,0.3320399522781372,0.2853478789329529,0.4508470594882965,0.0347411222755909,0.23810072243213654,0.028412170708179474,0.22482141852378845,0.23916715383529663
biplane,0.16485415399074554,0.13174766302108765,0.20963458716869354,0.26119139790534973,0.050318822264671326,0.13374920189380646,0.09407059103250504,0.03628472238779068,0.1394006460905075
capable,0.31242474913597107,0.24030843377113342,0.19604603946208954,0.1653473675251007,0.0534660741686821,0.16334185004234314,0.002722961362451315,0.21964101493358612,0.18388573825359344
of,0.4185989499092102,0.33290785551071167,0.20554374158382416,0.4069072902202606,0.011562774889171124,0.1616990715265274,0.12544545531272888,0.32803481817245483,0.1826142966747284
taking,0.3636261522769928,0.24635453522205353,0.2363194078207016,0.20663641393184662,0.06266406923532486,0.0858449712395668,0.17037810385227203,0.19919216632843018,0.19960761070251465
off,0.20644043385982513,0.2350364625453949,0.20349203050136566,0.15734454989433289,0.08354081958532333,0.1279377043247223,0.0743328109383583,0.08557698875665665,0.12937544286251068
vertically,0.18393895030021667,0.16305013000965118,0.13579167425632477,0.1497962474822998,0.0026405772659927607,0.1438044011592865,0.10929927974939346,0.16273753345012665,0.1462194323539734
(,0.3357032239437103,0.2411840260028839,0.05510851740837097,0.2980341613292694,0.013905826024711132,0.11135368049144745,0.13601770997047424,0.1822669804096222,0.40561532974243164
