,the,legislation,allowed,california,to,be,admitted,to,the,union,as,what,kind,of,state,?
instead,0.3940567970275879,0.17776678502559662,0.37021684646606445,0.14658838510513306,0.457004189491272,0.4021901488304138,0.11161243170499802,0.457004189491272,0.3940567970275879,0.16447477042675018,0.3822622001171112,0.4104403555393219,0.3237375020980835,0.31208282709121704,0.18979409337043762,0.2942638397216797
",",0.4933079481124878,0.221862331032753,0.2785535454750061,0.2704589068889618,0.44245919585227966,0.39254459738731384,0.26132240891456604,0.44245919585227966,0.4933079481124878,0.2362271547317505,0.48816442489624023,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.29481780529022217,0.31091248989105225
the,1.0,0.2839483618736267,0.2985120713710785,0.2750805914402008,0.535392165184021,0.4248143136501312,0.214336097240448,0.535392165184021,1.0,0.24421639740467072,0.48381632566452026,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3097178041934967,0.22068053483963013
passing,0.3088957965373993,0.2001134157180786,0.18359282612800598,0.07932339608669281,0.30583032965660095,0.22949162125587463,0.12246844917535782,0.30583032965660095,0.3088957965373993,0.10665284097194672,0.250184565782547,0.2581939399242401,0.14241032302379608,0.24086934328079224,0.1659563183784485,0.10353918373584747
of,0.733189046382904,0.3114430606365204,0.2699741721153259,0.24929828941822052,0.41548454761505127,0.33904364705085754,0.2389194816350937,0.41548454761505127,0.733189046382904,0.2642118036746979,0.3886612355709076,0.33290785551071167,0.2285657674074173,1.0,0.34253445267677307,0.1826142966747284
the,1.0,0.2839483618736267,0.2985120713710785,0.2750805914402008,0.535392165184021,0.4248143136501312,0.214336097240448,0.535392165184021,1.0,0.24421639740467072,0.48381632566452026,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3097178041934967,0.22068053483963013
compromise,0.25162890553474426,0.46401718258857727,0.321990966796875,0.14144299924373627,0.30321523547172546,0.33225107192993164,0.366969496011734,0.30321523547172546,0.25162890553474426,0.2821800708770752,0.24332116544246674,0.31433627009391785,0.242244154214859,0.2493201643228531,0.3294735252857208,0.3125070035457611
of,0.733189046382904,0.3114430606365204,0.2699741721153259,0.24929828941822052,0.41548454761505127,0.33904364705085754,0.2389194816350937,0.41548454761505127,0.733189046382904,0.2642118036746979,0.3886612355709076,0.33290785551071167,0.2285657674074173,1.0,0.34253445267677307,0.1826142966747284
1850,0.15979310870170593,0.17131434381008148,0.17152060568332672,0.04398835822939873,0.24923360347747803,0.36368077993392944,0.0887269526720047,0.24923360347747803,0.15979310870170593,0.10526721179485321,0.19911369681358337,0.32714441418647766,0.3212504982948303,0.11029938608407974,0.08430678397417068,0.369617223739624
enabled,0.2653752565383911,0.14407849311828613,0.3522990345954895,0.0851527601480484,0.30371272563934326,0.2909768521785736,0.2409229874610901,0.30371272563934326,0.2653752565383911,0.17907629907131195,0.18516165018081665,0.22509589791297913,0.14470289647579193,0.18788689374923706,0.07207416743040085,0.25340956449508667
california,0.2750805914402008,0.16432181000709534,0.06588228791952133,1.0,0.20697450637817383,0.17179958522319794,0.1591520607471466,0.20697450637817383,0.2750805914402008,0.11825759708881378,0.1933012157678604,0.1811584085226059,0.14210517704486847,0.24929828941822052,0.3314559757709503,0.1409905105829239
to,0.535392165184021,0.25758448243141174,0.42967355251312256,0.20697450637817383,1.0,0.4972836375236511,0.2077447772026062,1.0,0.535392165184021,0.16926777362823486,0.42092081904411316,0.455847829580307,0.28460726141929626,0.41548454761505127,0.25557461380958557,0.29463258385658264
be,0.4248143136501312,0.2503572702407837,0.33143940567970276,0.17179958522319794,0.4972836375236511,1.0,0.23599103093147278,0.4972836375236511,0.4248143136501312,0.16980519890785217,0.5230465531349182,0.3929833769798279,0.33508673310279846,0.33904364705085754,0.22221757471561432,0.3324260413646698
