,what,night,did,abc,move,ugly,betty,to,in,an,attempt,to,boost,the,series,ratings,?
ratings,0.19882218539714813,0.25522953271865845,0.22082966566085815,0.2876999080181122,0.18047307431697845,0.22679908573627472,0.16220830380916595,0.23899689316749573,0.17289267480373383,0.13667047023773193,0.23378047347068787,0.23899689316749573,0.26836636662483215,0.23356813192367554,0.34094566106796265,0.9999999403953552,0.19248855113983154
for,0.3017193675041199,0.16021959483623505,0.318512886762619,0.22510288655757904,0.21230614185333252,0.15557648241519928,0.10197970271110535,0.4451248347759247,0.4322226941585541,0.3236706852912903,0.1486808806657791,0.4451248347759247,0.28732290863990784,0.4739971458911896,0.2715710699558258,0.2655225098133087,0.264628142118454
the,0.42745697498321533,0.2817382514476776,0.34736719727516174,0.2068762183189392,0.29817628860473633,0.19560444355010986,0.15101419389247894,0.535392165184021,0.6662389636039734,0.4207492768764496,0.2614527940750122,0.535392165184021,0.2371932715177536,1.0,0.31376904249191284,0.23356813192367554,0.22068053483963013
once-instant,0.34953245520591736,0.18238762021064758,0.2422022968530655,0.20220057666301727,0.23409537971019745,0.1906900405883789,0.1518918126821518,0.3134825527667999,0.2090160846710205,0.2484273612499237,0.2413891702890396,0.3134825527667999,0.26962894201278687,0.2649255096912384,0.1902131885290146,0.2620072364807129,0.23479333519935608
hit,0.22790727019309998,0.2154874950647354,0.2622179090976715,0.137809619307518,0.28389880061149597,0.16568121314048767,0.1694321483373642,0.20389078557491302,0.24006043374538422,0.18100571632385254,0.2696496248245239,0.20389078557491302,0.26568248867988586,0.2674407958984375,0.16686764359474182,0.25910884141921997,0.14460130035877228
ugly,0.21671801805496216,0.18183784186840057,0.21974238753318787,0.21536575257778168,0.12670937180519104,1.0000001192092896,0.4020898938179016,0.1812916100025177,0.1236422136425972,0.1669025719165802,0.13916243612766266,0.1812916100025177,0.07257121056318283,0.19560444355010986,0.25631773471832275,0.22679908573627472,0.2584706246852875
betty,0.1754712015390396,0.1957094967365265,0.1766495704650879,0.24325959384441376,0.11184154450893402,0.4020898938179016,1.0000001192092896,0.1721314936876297,0.17819830775260925,0.19676730036735535,0.08982263505458832,0.1721314936876297,0.05774662271142006,0.15101419389247894,0.25928133726119995,0.16220830380916595,0.13832208514213562
collapsed,0.21314547955989838,0.1261955350637436,0.25112998485565186,0.08174580335617065,0.12628962099552155,0.13173310458660126,0.07878708839416504,0.16424112021923065,0.2266564816236496,0.10754849016666412,0.22721198201179504,0.16424112021923065,0.16158616542816162,0.27221426367759705,0.03521183878183365,0.1551116406917572,0.12967832386493683
dramatically,0.2253328114748001,0.19196991622447968,0.1546775847673416,0.12948022782802582,0.20058368146419525,0.2477698028087616,0.19698309898376465,0.3553515374660492,0.21644477546215057,0.22681942582130432,0.19074131548404694,0.3553515374660492,0.24027509987354279,0.3348296880722046,0.25204092264175415,0.22290997207164764,0.14534473419189453
after,0.21973377466201782,0.20353135466575623,0.30330467224121094,0.20314010977745056,0.14520657062530518,0.15133287012577057,0.18845012784004211,0.37890323996543884,0.44050168991088867,0.20180045068264008,0.2802733778953552,0.37890323996543884,0.13924743235111237,0.4565047025680542,0.22890618443489075,0.21166418492794037,0.16608688235282898
