,humor,is,a,part,of,the,classroom,for,what,type,of,teacher,?
teachers,0.1973130851984024,0.15701442956924438,0.2509842813014984,0.1705612689256668,0.27737662196159363,0.22025763988494873,0.49553152918815613,0.274332195520401,0.2526462972164154,0.09933348745107651,0.27737662196159363,0.7334206104278564,0.19522249698638916
that,0.25518175959587097,0.3995479643344879,0.47537946701049805,0.37747326493263245,0.41498205065727234,0.5473989248275757,0.2551419138908386,0.4137635827064514,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.1985531747341156,0.32716336846351624
spend,0.13862212002277374,0.21962042152881622,0.19257986545562744,0.1877513974905014,0.2479970008134842,0.21215185523033142,0.2465762346982956,0.3409658372402191,0.28335806727409363,0.10883978754281998,0.2479970008134842,0.23579411208629608,0.2106763869524002
more,0.24933205544948578,0.2946030795574188,0.3452818691730499,0.2521849572658539,0.30478984117507935,0.39758381247520447,0.2739589512348175,0.3891189992427826,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.14009490609169006,0.27894994616508484
time,0.1471889466047287,0.25187405943870544,0.3292340338230133,0.2560320794582367,0.35127586126327515,0.43061500787734985,0.1708240509033203,0.3992156386375427,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.2239663004875183,0.27391523122787476
interacting,0.2533104717731476,0.19058725237846375,0.27886006236076355,0.22418008744716644,0.25703004002571106,0.26838919520378113,0.2652219831943512,0.2553603947162628,0.3122921288013458,0.21578963100910187,0.25703004002571106,0.09898026287555695,0.21425561606884003
and,0.24195334315299988,0.3859752118587494,0.3739250600337982,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.24249733984470367,0.5064792633056641,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.27571162581443787,0.20544172823429108
working,0.16579794883728027,0.20290212333202362,0.2998538911342621,0.21673916280269623,0.19986772537231445,0.25857484340667725,0.24479548633098602,0.3632623255252838,0.2846863269805908,0.15181533992290497,0.19986772537231445,0.30666404962539673,0.17154020071029663
directly,0.03703847527503967,0.2819631099700928,0.27976194024086,0.304240345954895,0.2998887896537781,0.4502958655357361,0.13960562646389008,0.28193199634552,0.3618607521057129,0.16596588492393494,0.2998887896537781,0.06000908836722374,0.2187996357679367
with,0.224485844373703,0.3250955045223236,0.3783375024795532,0.294111043214798,0.41827285289764404,0.4223487675189972,0.21731817722320557,0.39140474796295166,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.13737362623214722,0.2433311939239502
students,0.18753333389759064,0.2124544233083725,0.2676560878753662,0.2078409045934677,0.25513339042663574,0.25268980860710144,0.5304811596870422,0.2460945099592209,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.5254908204078674,0.18017297983169556
are,0.1749994158744812,0.5330929756164551,0.265255331993103,0.3086032569408417,0.39081433415412903,0.40399202704429626,0.2517373561859131,0.3895993232727051,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.09182974696159363,0.24591213464736938
perceived,0.3846094012260437,0.2060907632112503,0.1737430989742279,0.21601895987987518,0.27688950300216675,0.2552545368671417,0.22695814073085785,0.19987857341766357,0.35275155305862427,0.21460981667041779,0.27688950300216675,0.14485085010528564,0.20685844123363495
as,0.16737984120845795,0.43216490745544434,0.39550232887268066,0.2563304007053375,0.3886612355709076,0.48381632566452026,0.24688193202018738,0.44774648547172546,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.27420735359191895,0.27043893933296204
supportive,0.215246319770813,0.26551273465156555,0.3258974552154541,0.2490936666727066,0.25233203172683716,0.27438807487487793,0.27109605073928833,0.4186662435531616,0.2531377375125885,0.1444595456123352,0.25233203172683716,0.11832105368375778,0.1928483247756958
and,0.24195334315299988,0.3859752118587494,0.3739250600337982,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.24249733984470367,0.5064792633056641,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.27571162581443787,0.20544172823429108
effective,0.22210381925106049,0.19124136865139008,0.2041732668876648,0.19428598880767822,0.27888283133506775,0.23741452395915985,0.18354767560958862,0.2914128005504608,0.23494793474674225,0.21243737637996674,0.27888283133506775,0.07037802040576935,0.21825028955936432
teachers,0.1973130851984024,0.15701442956924438,0.2509842813014984,0.1705612689256668,0.27737662196159363,0.22025763988494873,0.49553152918815613,0.274332195520401,0.2526462972164154,0.09933348745107651,0.27737662196159363,0.7334206104278564,0.19522249698638916
.,0.1923888623714447,0.4569662809371948,0.50484299659729,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.20956985652446747,0.4726039469242096,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.225234717130661,0.4130953550338745
