,outside,of,its,use,of,automobiles,",",what,else,is,southern,california,famous,for,using,?
much,0.2733171582221985,0.2671096920967102,0.31350770592689514,0.38976505398750305,0.2671096920967102,0.19043800234794617,0.36182254552841187,0.45316147804260254,0.3717394173145294,0.3156087100505829,0.13215209543704987,0.15046925842761993,0.16650763154029846,0.2994346022605896,0.26903200149536133,0.23442231118679047
of,0.2973117530345917,1.0,0.48690423369407654,0.2750902473926544,1.0,0.1845320612192154,0.4946078956127167,0.33290785551071167,0.1318979412317276,0.4854315221309662,0.31933003664016724,0.24929828941822052,0.3074295222759247,0.4185989499092102,0.24298200011253357,0.1826142966747284
southern,0.25898024439811707,0.31933003664016724,0.27002355456352234,0.10204636305570602,0.31933003664016724,0.1479259729385376,0.2795628309249878,0.18679563701152802,0.13437920808792114,0.2419366091489792,1.0,0.2983402609825134,0.16474774479866028,0.14496514201164246,0.10817001014947891,0.11225555837154388
california,0.1528339982032776,0.24929828941822052,0.16180482506752014,0.16264355182647705,0.24929828941822052,0.27557048201560974,0.2704589068889618,0.1811584085226059,0.0663122609257698,0.20727038383483887,0.2983402609825134,1.0,0.17896324396133423,0.23038740456104279,0.14664766192436218,0.1409905105829239
is,0.2823421061038971,0.4854315221309662,0.4447362422943115,0.3357410430908203,0.4854315221309662,0.17314104735851288,0.4691906273365021,0.28837618231773376,0.22724738717079163,1.0,0.2419366091489792,0.20727038383483887,0.26248517632484436,0.43268078565597534,0.26543745398521423,0.22961433231830597
famous,0.19634698331356049,0.3074295222759247,0.23443712294101715,0.1478712409734726,0.3074295222759247,0.20049217343330383,0.2816491723060608,0.1616666167974472,0.05304594710469246,0.26248517632484436,0.16474774479866028,0.17896324396133423,1.0,0.2801532745361328,0.119078628718853,0.10379006713628769
for,0.2657284140586853,0.4185989499092102,0.2992613911628723,0.47655582427978516,0.4185989499092102,0.20446400344371796,0.4464869201183319,0.3017193675041199,0.27475202083587646,0.43268078565597534,0.14496514201164246,0.23038740456104279,0.2801532745361328,0.9999999403953552,0.3806014060974121,0.264628142118454
its,0.27479639649391174,0.48690423369407654,1.0,0.27883994579315186,0.48690423369407654,0.165580153465271,0.33157986402511597,0.30393704771995544,0.15219201147556305,0.4447362422943115,0.27002355456352234,0.16180482506752014,0.23443712294101715,0.2992613911628723,0.2085333913564682,0.15103481709957123
large,0.3054707646369934,0.3569655418395996,0.32899510860443115,0.2578502595424652,0.3569655418395996,0.2251080423593521,0.2263888567686081,0.2017821967601776,0.17332038283348083,0.2971126437187195,0.2457246035337448,0.1447892040014267,0.2603476643562317,0.22967137396335602,0.25822386145591736,0.1355665624141693
",",0.2726076543331146,0.4946078956127167,0.33157986402511597,0.3276674151420593,0.4946078956127167,0.19123633205890656,1.0000001192092896,0.3087472915649414,0.2643522322177887,0.4691906273365021,0.2795628309249878,0.2704589068889618,0.2816491723060608,0.4464869201183319,0.27050045132637024,0.31091248989105225
spread-out,0.3134829103946686,0.3129904866218567,0.26576268672943115,0.29991623759269714,0.3129904866218567,0.15626482665538788,0.2819232940673828,0.258252888917923,0.21718114614486694,0.22045738995075226,0.18173755705356598,0.1375298798084259,0.1332051157951355,0.19625502824783325,0.2994399070739746,0.19367332756519318
",",0.2726076543331146,0.4946078956127167,0.33157986402511597,0.3276674151420593,0.4946078956127167,0.19123633205890656,1.0000001192092896,0.3087472915649414,0.2643522322177887,0.4691906273365021,0.2795628309249878,0.2704589068889618,0.2816491723060608,0.4464869201183319,0.27050045132637024,0.31091248989105225
suburban,0.26176881790161133,0.21280841529369354,0.17706315219402313,0.14112617075443268,0.21280841529369354,0.25403892993927,0.22812874615192413,0.14185433089733124,0.08275528252124786,0.19196142256259918,0.3182743489742279,0.23771731555461884,0.20817354321479797,0.20902778208255768,0.13020695745944977,0.06536495685577393
communities,0.24665609002113342,0.21719247102737427,0.21333065629005432,0.21595442295074463,0.21719247102737427,0.19442565739154816,0.2743113040924072,0.22858412563800812,0.15047772228717804,0.23371800780296326,0.23386338353157043,0.19918294250965118,0.11667299270629883,0.23633545637130737,0.16283467411994934,0.20171424746513367
and,0.31803378462791443,0.5116966962814331,0.3841775357723236,0.34145063161849976,0.5116966962814331,0.17546579241752625,0.6633074283599854,0.31309178471565247,0.2664144039154053,0.3859752118587494,0.24232792854309082,0.2441616654396057,0.2970265746116638,0.5064792633056641,0.33157408237457275,0.20544172823429108
use,0.3032386898994446,0.2750902473926544,0.27883994579315186,1.0,0.2750902473926544,0.25762128829956055,0.3276674151420593,0.3453877568244934,0.32033613324165344,0.3357410430908203,0.10204636305570602,0.16264355182647705,0.1478712409734726,0.47655582427978516,0.7256444692611694,0.32795652747154236
of,0.2973117530345917,1.0,0.48690423369407654,0.2750902473926544,1.0,0.1845320612192154,0.4946078956127167,0.33290785551071167,0.1318979412317276,0.4854315221309662,0.31933003664016724,0.24929828941822052,0.3074295222759247,0.4185989499092102,0.24298200011253357,0.1826142966747284
