,in,which,year,did,the,gallery,of,japanese,art,open,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.19251246750354767,0.733189046382904,0.21599429845809937,0.20297785103321075,0.2764171361923218,0.22068053483963013
toshiba,0.13476477563381195,0.22474350035190582,0.18188613653182983,0.13707983493804932,0.15473507344722748,0.1479983627796173,0.16578766703605652,0.5472311973571777,0.15028353035449982,0.14531631767749786,0.14694181084632874
gallery,0.21665531396865845,0.19994710385799408,0.11597850918769836,0.10746263712644577,0.19251246750354767,1.0,0.1971534639596939,0.0947992280125618,0.5883238911628723,0.18392328917980194,0.18202216923236847
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.733189046382904,0.1971534639596939,1.0,0.2048201858997345,0.22648051381111145,0.17970167100429535,0.1826142966747284
japanese,0.1623581349849701,0.19711120426654816,0.19384442269802094,0.14879822731018066,0.21599429845809937,0.0947992280125618,0.2048201858997345,1.0,0.19100549817085266,0.08518523722887039,0.12021756172180176
art,0.2282189577817917,0.19862167537212372,0.15209953486919403,0.1711656004190445,0.20297785103321075,0.5883238911628723,0.22648051381111145,0.19100549817085266,1.0,0.10640907287597656,0.138971745967865
opened,0.2972770035266876,0.24361629784107208,0.17148488759994507,0.2014526128768921,0.28544309735298157,0.249263733625412,0.16720551252365112,0.07334429025650024,0.15857157111167908,0.39371490478515625,0.1934700310230255
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.21665531396865845,0.5696388483047485,0.1623581349849701,0.2282189577817917,0.27347445487976074,0.20430970191955566
december,0.25854936242103577,0.15643881261348724,0.32619014382362366,0.2542226016521454,0.23266014456748962,0.15745867788791656,0.1503814309835434,0.19316422939300537,0.11356078833341599,0.1372566819190979,0.2480352818965912
1986,0.05458921566605568,0.13014493882656097,0.07740563154220581,0.03768205642700195,0.11024544388055801,0.07166395336389542,0.11842719465494156,0.10952447354793549,-0.01821969263255596,0.0768338143825531,0.14247135818004608
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.21326512098312378,0.5352458953857422,0.22132645547389984,0.21795564889907837,0.28460413217544556,0.4130953550338745
