,what,usually,takes,reenergized,electrons,?
normally,0.30112072825431824,0.7246292233467102,0.2563653886318207,0.32001322507858276,0.3448377847671509,0.20675471425056458
",",0.3087472915649414,0.21946179866790771,0.2755669057369232,0.2546594440937042,0.2110055536031723,0.31091248989105225
the,0.42745697498321533,0.36782920360565186,0.33578023314476013,0.3037704825401306,0.2109822928905487,0.22068053483963013
reenergized,0.21827438473701477,0.32848262786865234,0.24259629845619202,1.0,0.48814019560813904,0.16194719076156616
electrons,0.23107858002185822,0.2804909348487854,0.16446097195148468,0.48814019560813904,1.0,0.15516111254692078
are,0.29724663496017456,0.5635237097740173,0.20556128025054932,0.26735034584999084,0.25583213567733765,0.24591213464736938
taken,0.26014965772628784,0.2102917581796646,0.4564027488231659,0.24165897071361542,0.1287987381219864,0.17662954330444336
by,0.2455483376979828,0.30666717886924744,0.17897608876228333,0.30170097947120667,0.17084932327270508,0.17966607213020325
nadp+,0.21000900864601135,0.236471489071846,0.18852499127388,0.42457905411720276,0.44128239154815674,0.16713586449623108
",",0.3087472915649414,0.21946179866790771,0.2755669057369232,0.2546594440937042,0.2110055536031723,0.31091248989105225
though,0.4089210331439972,0.3570004403591156,0.18790505826473236,0.3338446319103241,0.22092217206954956,0.3188856542110443
sometimes,0.34229418635368347,0.7130306959152222,0.20965181291103363,0.25968921184539795,0.24836908280849457,0.1751544177532196
they,0.4431931674480438,0.45253482460975647,0.17218469083309174,0.341072678565979,0.31609079241752625,0.2753053903579712
can,0.34502777457237244,0.5642885565757751,0.31685498356819153,0.28513872623443604,0.3187468349933624,0.3226337134838104
flow,0.1798735409975052,0.22174273431301117,0.19598288834095,0.26647162437438965,0.3204714059829712,0.10458291321992874
back,0.2965294420719147,0.17893733084201813,0.24957218766212463,0.22255191206932068,0.14388959109783173,0.2397768795490265
down,0.26226112246513367,0.22885072231292725,0.15498383343219757,0.33112046122550964,0.21009403467178345,0.13836295902729034
more,0.3484537899494171,0.406992644071579,0.27462688088417053,0.3854411244392395,0.2476341277360916,0.27894994616508484
h+-pumping,0.2732973098754883,0.3055863678455353,0.20867684483528137,0.4100852906703949,0.37044987082481384,0.2526054084300995
electron,0.22967670857906342,0.2486572116613388,0.1369175761938095,0.49766311049461365,0.9217658638954163,0.18293288350105286
transport,0.1845296025276184,0.1898994743824005,0.1991736888885498,0.23330728709697723,0.15456785261631012,0.16607823967933655
