,in,what,year,was,the,commission,on,pan,methodist,cooperation,and,union,formed,?
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.18981990218162537,0.3848365545272827,0.17140650749206543,0.24651029706001282,0.21382832527160645,0.3739250600337982,0.18140026926994324,0.21948496997356415,0.23916715383529663
commission,0.21326816082000732,0.22273972630500793,0.1448410153388977,0.28741392493247986,0.24418850243091583,0.9999998807907104,0.19109804928302765,0.17899960279464722,0.24477770924568176,0.3918202817440033,0.21015366911888123,0.3547646701335907,0.17576628923416138,0.16231559216976166
on,0.46853652596473694,0.34226128458976746,0.27628999948501587,0.3909217119216919,0.5107308030128479,0.19109804928302765,0.9999999403953552,0.09591400623321533,0.19416043162345886,0.22910265624523163,0.4077630043029785,0.15769828855991364,0.18750394880771637,0.2714994251728058
pan,0.16702668368816376,0.09872265160083771,0.00815647654235363,0.1725224107503891,0.20940397679805756,0.17899960279464722,0.09591400623321533,0.9999998807907104,0.10536947101354599,0.1545049250125885,0.1862524300813675,0.11341731250286102,0.06693241745233536,0.12205331027507782
methodist,0.24702993035316467,0.17637217044830322,0.1624906063079834,0.2711138129234314,0.21922016143798828,0.24477770924568176,0.19416043162345886,0.10536947101354599,1.0,0.20477044582366943,0.2376793771982193,0.21578159928321838,0.18681548535823822,0.1436992734670639
cooperation,0.26214706897735596,0.2602059841156006,0.21070899069309235,0.2319098562002182,0.33152657747268677,0.3918202817440033,0.22910265624523163,0.1545049250125885,0.20477044582366943,1.0000001192092896,0.33230045437812805,0.3194355368614197,0.23379026353359222,0.19483380019664764
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.21015366911888123,0.4077630043029785,0.1862524300813675,0.2376793771982193,0.33230045437812805,1.0,0.2594362497329712,0.27619341015815735,0.20544172823429108
union,0.22726479172706604,0.1396910548210144,0.10956501960754395,0.23276571929454803,0.24421639740467072,0.3547646701335907,0.15769828855991364,0.11341731250286102,0.21578159928321838,0.3194355368614197,0.2594362497329712,0.9999999403953552,0.22809121012687683,0.07797172665596008
formed,0.27325257658958435,0.15451857447624207,0.14354060590267181,0.3009849190711975,0.28813210129737854,0.17576628923416138,0.18750394880771637,0.06693241745233536,0.18681548535823822,0.23379026353359222,0.27619341015815735,0.22809121012687683,1.0000001192092896,0.09686966985464096
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.21326816082000732,0.46853652596473694,0.16702668368816376,0.24702993035316467,0.26214706897735596,0.4954058527946472,0.22726479172706604,0.27325257658958435,0.20430970191955566
2000,-0.0435720756649971,-0.10562582314014435,0.00622312817722559,0.06843073666095734,-0.015081177465617657,-0.06824192404747009,0.0072531066834926605,-0.04706992208957672,0.05710494890809059,-0.1908167451620102,-0.004737076815217733,-0.1246490404009819,-0.12970051169395447,-0.0824366956949234
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.535392165184021,0.24674905836582184,0.41031414270401,0.21322228014469147,0.21503986418247223,0.31865954399108887,0.48971283435821533,0.16926777362823486,0.15433534979820251,0.29463258385658264
carry,0.19860897958278656,0.22239743173122406,0.1389605700969696,0.1526157259941101,0.26752355694770813,0.18073555827140808,0.22389066219329834,0.15146197378635406,0.04974261671304703,0.19238921999931335,0.2731964588165283,0.1306237429380417,0.12108757346868515,0.17171701788902283
out,0.3576207756996155,0.3633197546005249,0.2501937747001648,0.28168347477912903,0.39404502511024475,0.1787603497505188,0.39060163497924805,0.1352023184299469,0.21495184302330017,0.19279225170612335,0.3881998062133789,0.1148899644613266,0.22548630833625793,0.22020699083805084
work,0.2753349542617798,0.3762225806713104,0.18683093786239624,0.24745555222034454,0.2704800069332123,0.21331767737865448,0.26663315296173096,0.13862426578998566,0.14927087724208832,0.2897905707359314,0.37551814317703247,0.14115454256534576,0.08272159099578857,0.2621155381202698
on,0.46853652596473694,0.34226128458976746,0.27628999948501587,0.3909217119216919,0.5107308030128479,0.19109804928302765,0.9999999403953552,0.09591400623321533,0.19416043162345886,0.22910265624523163,0.4077630043029785,0.15769828855991364,0.18750394880771637,0.2714994251728058
such,0.2704046070575714,0.23989605903625488,0.11548022925853729,0.12487147748470306,0.3575236201286316,0.16709741950035095,0.3181164264678955,0.13088636100292206,0.1531679481267929,0.22957243025302887,0.44540345668792725,0.15644019842147827,0.12844695150852203,0.17851735651493073
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.18981990218162537,0.3848365545272827,0.17140650749206543,0.24651029706001282,0.21382832527160645,0.3739250600337982,0.18140026926994324,0.21948496997356415,0.23916715383529663
merger,0.22860760986804962,0.15280666947364807,0.13849708437919617,0.23289446532726288,0.2557354271411896,0.1666754186153412,0.15951916575431824,0.15258556604385376,0.2040582001209259,0.30922484397888184,0.16802267730236053,0.24648524820804596,0.3648570775985718,0.1345871090888977
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.20309296250343323,0.49257001280784607,0.1439790427684784,0.30669423937797546,0.29130417108535767,0.588965117931366,0.23708370327949524,0.2737641930580139,0.4130953550338745
