,when,did,tesla,depart,graz,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.18144480884075165,0.25709354877471924,0.20430970191955566
december,0.28435230255126953,0.2542226016521454,0.10906380414962769,0.09194228798151016,0.12692731618881226,0.2480352818965912
1878,-0.057743966579437256,-0.013777859508991241,0.013019487261772156,-0.04452001303434372,-0.039936602115631104,0.08696702867746353
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2064686268568039,0.2535218298435211,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.06655997782945633,0.27265462279319763,0.10250775516033173
left,0.3236202895641327,0.27335280179977417,0.0739469900727272,0.18465951085090637,0.10959643870592117,0.13251960277557373
graz,0.17976036667823792,0.15470579266548157,0.27265462279319763,-0.008102291263639927,1.0,0.19033589959144592
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.24801629781723022,0.224552720785141,0.20544172823429108
severed,0.2930566370487213,0.17354895174503326,0.046775151044130325,0.1472393274307251,0.0601719431579113,0.08613809198141098
all,0.35107192397117615,0.33943864703178406,0.14510658383369446,0.24034994840621948,0.1732615977525711,0.29575422406196594
relations,0.22628939151763916,0.2268659770488739,0.1307172328233719,0.18232281506061554,0.17567238211631775,0.13942402601242065
with,0.5075214505195618,0.25472134351730347,0.16424812376499176,0.1823519915342331,0.1714370846748352,0.2433311939239502
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.21149975061416626,0.24396251142024994,0.18075084686279297
family,0.2021179050207138,0.19502942264080048,0.04926548898220062,0.08839906007051468,0.18229183554649353,0.15222905576229095
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.29722198843955994,0.1689763069152832,0.29463258385658264
hide,0.300334632396698,0.21967408061027527,0.047895822674036026,0.03748217225074768,0.19600138068199158,0.280157208442688
the,0.5091903209686279,0.34736719727516174,0.1324402391910553,0.3002259135246277,0.23193788528442383,0.22068053483963013
fact,0.3674176335334778,0.30747947096824646,0.19631604850292206,0.17234067618846893,0.16627606749534607,0.2798655927181244
that,0.5860282182693481,0.47518548369407654,0.22102725505828857,0.2795145511627197,0.19559232890605927,0.32716336846351624
he,0.39115971326828003,0.3292143940925598,0.12373391538858414,0.23951511085033417,0.25371554493904114,0.2089974731206894
dropped,0.2569137215614319,0.3167249262332916,0.149772047996521,0.15880852937698364,0.1867513507604599,0.1272711455821991
out,0.45263928174972534,0.28413498401641846,0.2017683982849121,0.2083308845758438,0.11298663169145584,0.22020699083805084
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.2381889671087265,0.15805231034755707,0.1826142966747284
school,0.21397973597049713,0.19696208834648132,0.16295383870601654,0.1450967788696289,0.1791027933359146,0.15091250836849213
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.1888647824525833,0.2770651578903198,0.4130953550338745
