,how,did,user,of,tymnet,connect
users,0.3975805938243866,0.2217390537261963,0.7318006157875061,0.1819574534893036,0.29129093885421753,0.28797557950019836
typically,0.2931802272796631,0.1325538456439972,0.25044476985931396,0.28964799642562866,0.22594542801380157,0.2274964600801468
connected,0.18171964585781097,0.11103025823831558,0.16287878155708313,0.2951911687850952,0.21179340779781342,0.8147191405296326
via,0.13460594415664673,0.04282603785395622,0.21664300560951233,0.1293322592973709,0.26953813433647156,0.3056682348251343
dial-up,0.1563405692577362,0.11822088807821274,0.3344387114048004,0.17356567084789276,0.2985904812812805,0.3399466872215271
connections,0.2621510624885559,0.1769111007452011,0.22636942565441132,0.25601693987846375,0.29146403074264526,0.7656859159469604
or,0.3378981947898865,0.28211739659309387,0.2796645760536194,0.3792596757411957,0.3003828227519989,0.2589178681373596
dedicated,0.19590720534324646,0.08663130551576614,0.16753335297107697,0.2574051022529602,0.2509351670742035,0.18826225399971008
async,0.24487949907779694,0.14393576979637146,0.32240408658981323,0.21413128077983856,0.3941986560821533,0.33251363039016724
connections,0.2621510624885559,0.1769111007452011,0.22636942565441132,0.25601693987846375,0.29146403074264526,0.7656859159469604
.,0.3287222981452942,0.35288307070732117,0.2677042484283447,0.5352458953857422,0.3561079204082489,0.23481737077236176
