,the,umc,believes,that,jesus,abolished,the,death,penalty,in,what,bible,verse,?
the,1.0,0.21262750029563904,0.2598399519920349,0.5473989248275757,0.23073002696037292,0.3050917983055115,1.0,0.21438048779964447,0.21881432831287384,0.6662389636039734,0.42745697498321533,0.27647915482521057,0.21855001151561737,0.22068053483963013
united,0.34367692470550537,0.1928277611732483,0.17058798670768738,0.25567954778671265,0.1334579437971115,0.2452169805765152,0.34367692470550537,0.14161419868469238,0.2039342075586319,0.3938477039337158,0.20036718249320984,0.1686740666627884,0.1141960471868515,0.17266890406608582
methodist,0.21922016143798828,0.2650960683822632,0.2893127202987671,0.18170638382434845,0.34871020913124084,0.21045586466789246,0.21922016143798828,0.14379173517227173,0.18482346832752228,0.24702993035316467,0.17637217044830322,0.3452286422252655,0.17165416479110718,0.1436992734670639
church,0.23846197128295898,0.20494024455547333,0.2682642936706543,0.18300943076610565,0.3845904767513275,0.22776630520820618,0.23846197128295898,0.20716705918312073,0.1683788001537323,0.2493300437927246,0.1944202184677124,0.3814816176891327,0.19587655365467072,0.18081501126289368
also,0.6021018624305725,0.2866799235343933,0.2742551863193512,0.6005857586860657,0.1983538120985031,0.16921618580818176,0.6021018624305725,0.21520476043224335,0.16308291256427765,0.5073733329772949,0.42747777700424194,0.2678369879722595,0.23830296099185944,0.21848613023757935
believes,0.2598399519920349,0.23888243734836578,1.0000001192092896,0.4424291253089905,0.36056122183799744,0.18142949044704437,0.2598399519920349,0.2150028795003891,0.20392760634422302,0.18350256979465485,0.35397860407829285,0.32661089301109314,0.21432331204414368,0.21439975500106812
that,0.5473989248275757,0.26325681805610657,0.4424291253089905,1.0,0.2912577986717224,0.19533517956733704,0.5473989248275757,0.25607815384864807,0.26704341173171997,0.435920387506485,0.6297725439071655,0.31875133514404297,0.22579634189605713,0.32716336846351624
jesus,0.23073002696037292,0.30839401483535767,0.36056122183799744,0.2912577986717224,1.0,0.08817651867866516,0.23073002696037292,0.2532576322555542,0.1926070749759674,0.13815179467201233,0.307744562625885,0.5323591828346252,0.30556708574295044,0.19975169003009796
explicitly,0.24453070759773254,0.24143892526626587,0.22717450559139252,0.3998975455760956,0.22015303373336792,0.24773035943508148,0.24453070759773254,0.16533096134662628,0.2103249728679657,0.14657194912433624,0.3763854503631592,0.2846119701862335,0.33320143818855286,0.2977891266345978
repudiated,0.34500056505203247,0.2246582955121994,0.33994001150131226,0.3523705303668976,0.2600305676460266,0.359160840511322,0.34500056505203247,0.20308583974838257,0.15066511929035187,0.2802770733833313,0.2367813140153885,0.2102620154619217,0.19526222348213196,0.15507285296916962
the,1.0,0.21262750029563904,0.2598399519920349,0.5473989248275757,0.23073002696037292,0.3050917983055115,1.0,0.21438048779964447,0.21881432831287384,0.6662389636039734,0.42745697498321533,0.27647915482521057,0.21855001151561737,0.22068053483963013
lex,0.19222110509872437,0.10376225411891937,0.17274761199951172,0.2200915366411209,0.17528218030929565,0.04916762188076973,0.19222110509872437,0.13388891518115997,0.14683574438095093,0.16705594956874847,0.11470181494951248,0.19444194436073303,0.1565818339586258,0.12254848331212997
talionis,0.29099759459495544,0.2784687578678131,0.28103798627853394,0.19364792108535767,0.26973167061805725,0.18706820905208588,0.29099759459495544,0.20978499948978424,0.11162816733121872,0.25898510217666626,0.1860053688287735,0.24782055616378784,0.2353656142950058,0.13133226335048676
