,how,do,plants,get,chloroplasts,?
chloroplasts,0.2384049892425537,0.2621478736400604,0.5701043605804443,0.19422104954719543,0.9999999403953552,0.13049766421318054
can,0.49246567487716675,0.45775556564331055,0.2870660424232483,0.4816424250602722,0.29016172885894775,0.3226337134838104
not,0.4869767427444458,0.6619802713394165,0.2926214039325714,0.4426962435245514,0.3099190890789032,0.41942933201789856
be,0.4158933162689209,0.36575672030448914,0.2669433653354645,0.46611320972442627,0.2777445316314697,0.3324260413646698
made,0.2655200958251953,0.32309988141059875,0.18940354883670807,0.22491569817066193,0.19535128772258759,0.17218779027462006
by,0.34370526671409607,0.1481526494026184,0.21003800630569458,0.2411126047372818,0.1951972097158432,0.17966607213020325
the,0.33890387415885925,0.30239659547805786,0.29499560594558716,0.29667025804519653,0.23062430322170258,0.22068053483963013
plant,0.24431802332401276,0.19011136889457703,0.8344468474388123,0.19871430099010468,0.5019698739051819,0.16613075137138367
cell,0.20469050109386444,0.19975709915161133,0.3237200975418091,0.23012904822826385,0.5408841967582703,0.2058541625738144
and,0.33647966384887695,0.276123583316803,0.3052898943424225,0.37609121203422546,0.21511349081993103,0.20544172823429108
must,0.3341856896877289,0.3716966211795807,0.20777304470539093,0.3807581663131714,0.2552596926689148,0.23707495629787445
be,0.4158933162689209,0.36575672030448914,0.2669433653354645,0.46611320972442627,0.2777445316314697,0.3324260413646698
inherited,0.26786091923713684,0.2335648536682129,0.26514798402786255,0.20797140896320343,0.30440470576286316,0.1930614858865738
by,0.34370526671409607,0.1481526494026184,0.21003800630569458,0.2411126047372818,0.1951972097158432,0.17966607213020325
each,0.4183253347873688,0.2601187825202942,0.2734626233577728,0.303616464138031,0.2836918532848358,0.21173812448978424
daughter,0.1098879873752594,0.09952439367771149,0.18419982492923737,0.1623336225748062,0.21414677798748016,0.10566599667072296
cell,0.20469050109386444,0.19975709915161133,0.3237200975418091,0.23012904822826385,0.5408841967582703,0.2058541625738144
during,0.26830652356147766,0.1831897497177124,0.2264273762702942,0.20769929885864258,0.263812392950058,0.1325719803571701
cell,0.20469050109386444,0.19975709915161133,0.3237200975418091,0.23012904822826385,0.5408841967582703,0.2058541625738144
division,0.1334267407655716,0.12946900725364685,0.19099080562591553,0.11933086067438126,0.21311187744140625,0.08900629729032516
.,0.3287222981452942,0.3613996207714081,0.2542511522769928,0.39392393827438354,0.23868323862552643,0.4130953550338745
