,what,consequence,of,establishing,the,scottish,parliament,applies,to,scottish,mps,sitting,in,the,uk,house,of,commons,?
a,0.3320399522781372,0.3103489279747009,0.5052502155303955,0.2560238838195801,0.5829201340675354,0.18544672429561615,0.22951169312000275,0.30046921968460083,0.45503583550453186,0.18544672429561615,0.13071753084659576,0.34293851256370544,0.539380669593811,0.5829201340675354,0.19665123522281647,0.26758551597595215,0.5052502155303955,0.2320197969675064,0.23916715383529663
procedural,0.40871375799179077,0.28489044308662415,0.2197355329990387,0.1999746412038803,0.26202109456062317,0.1944606602191925,0.2458406537771225,0.3888743817806244,0.2816316485404968,0.1944606602191925,0.18891802430152893,0.2237667590379715,0.18826012313365936,0.26202109456062317,0.16361428797245026,0.16351288557052612,0.2197355329990387,0.2818152606487274,0.2812325656414032
consequence,0.29853200912475586,0.9999999403953552,0.27524054050445557,0.21844437718391418,0.2915307283401489,0.0921856090426445,0.15529708564281464,0.27108708024024963,0.3111545145511627,0.0921856090426445,0.14425265789031982,0.14207623898983002,0.21914568543434143,0.2915307283401489,0.1692614108324051,0.14612169563770294,0.27524054050445557,0.1666656881570816,0.196389839053154
of,0.33290785551071167,0.27524054050445557,1.0,0.31199124455451965,0.733189046382904,0.1698460429906845,0.2885259687900543,0.31259071826934814,0.41548454761505127,0.1698460429906845,0.18091438710689545,0.25816693902015686,0.5696388483047485,0.733189046382904,0.21513383090496063,0.285114049911499,1.0,0.2790703773498535,0.1826142966747284
the,0.42745697498321533,0.2915307283401489,0.733189046382904,0.3532279133796692,1.0,0.21724988520145416,0.26521381735801697,0.2765985429286957,0.535392165184021,0.21724988520145416,0.18443430960178375,0.34434789419174194,0.6662389636039734,1.0,0.2143084555864334,0.2847244441509247,0.733189046382904,0.2904264032840729,0.22068053483963013
establishment,0.1702135056257248,0.21051591634750366,0.27824047207832336,0.7096191644668579,0.344906210899353,0.09645585715770721,0.23320487141609192,0.2062758207321167,0.17847758531570435,0.09645585715770721,0.18067686259746552,0.10590865463018417,0.329694002866745,0.344906210899353,0.11545348167419434,0.15933901071548462,0.27824047207832336,0.14107322692871094,0.1661023646593094
of,0.33290785551071167,0.27524054050445557,1.0,0.31199124455451965,0.733189046382904,0.1698460429906845,0.2885259687900543,0.31259071826934814,0.41548454761505127,0.1698460429906845,0.18091438710689545,0.25816693902015686,0.5696388483047485,0.733189046382904,0.21513383090496063,0.285114049911499,1.0,0.2790703773498535,0.1826142966747284
the,0.42745697498321533,0.2915307283401489,0.733189046382904,0.3532279133796692,1.0,0.21724988520145416,0.26521381735801697,0.2765985429286957,0.535392165184021,0.21724988520145416,0.18443430960178375,0.34434789419174194,0.6662389636039734,1.0,0.2143084555864334,0.2847244441509247,0.733189046382904,0.2904264032840729,0.22068053483963013
scottish,0.13777151703834534,0.0921856090426445,0.1698460429906845,0.1215292438864708,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.15712380409240723,0.1268421709537506,1.0000001192092896,0.3312152028083801,0.17053279280662537,0.16512006521224976,0.21724988520145416,0.2735420763492584,0.19915953278541565,0.1698460429906845,0.25529491901397705,0.06442669779062271
parliament,0.21650300920009613,0.15529708564281464,0.2885259687900543,0.274840772151947,0.26521381735801697,0.3418616056442261,1.0,0.167284294962883,0.20290622115135193,0.3418616056442261,0.5268880128860474,0.24400685727596283,0.2323146015405655,0.26521381735801697,0.31670740246772766,0.4205757975578308,0.2885259687900543,0.5038944482803345,0.1586504578590393
is,0.28837618231773376,0.2356904149055481,0.4854315221309662,0.18938860297203064,0.5823672413825989,0.16398480534553528,0.19676777720451355,0.3432334363460541,0.42745086550712585,0.16398480534553528,0.09088493138551712,0.2110004872083664,0.5394441485404968,0.5823672413825989,0.17650434374809265,0.2084006369113922,0.4854315221309662,0.23535168170928955,0.22961433231830597
