,what,is,one,example,of,a,unique,factorization,domain,?
an,0.2821882665157318,0.4654068350791931,0.2829729914665222,0.3076696991920471,0.32280945777893066,0.44552403688430786,0.21689726412296295,0.20126646757125854,0.19116869568824768,0.19793890416622162
example,0.3456268310546875,0.36737263202667236,0.41499486565589905,1.0,0.3570667505264282,0.40234753489494324,0.3422476649284363,0.433638334274292,0.26367324590682983,0.30374911427497864
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.3570667505264282,1.0,0.5052502155303955,0.29481077194213867,0.3057559132575989,0.2035585194826126,0.1826142966747284
such,0.23989605903625488,0.23545363545417786,0.3596789240837097,0.4555383324623108,0.3209529519081116,0.2706976532936096,0.2834034860134125,0.3547603189945221,0.14875471591949463,0.17851735651493073
a,0.3320399522781372,0.658733606338501,0.4910551905632019,0.40234753489494324,0.5052502155303955,1.0,0.3346916735172272,0.31564444303512573,0.1396392285823822,0.23916715383529663
domain,0.23189613223075867,0.16253244876861572,0.2402762919664383,0.26367324590682983,0.2035585194826126,0.1396392285823822,0.25642144680023193,0.22045041620731354,1.0,0.25835999846458435
is,0.28837618231773376,1.0,0.4544198513031006,0.36737263202667236,0.4854315221309662,0.658733606338501,0.3167116045951843,0.2635040879249573,0.16253244876861572,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.3755223751068115,0.733189046382904,0.5829201340675354,0.26165643334388733,0.2827453017234802,0.22479304671287537,0.22068053483963013
gaussian,0.23311908543109894,0.23736467957496643,0.2660432457923889,0.3388260006904602,0.20860953629016876,0.31786638498306274,0.25726553797721863,0.3395286500453949,0.2308049201965332,0.15562887489795685
integers,0.2691354751586914,0.2208469957113266,0.30716392397880554,0.3695056736469269,0.20153668522834778,0.23136194050312042,0.36028558015823364,0.4524998962879181,0.2770127058029175,0.2591196596622467
z,0.17339621484279633,0.14599581062793732,0.19533494114875793,0.2683317959308624,0.15415705740451813,0.17118385434150696,0.15387468039989471,0.20874562859535217,0.15116776525974274,0.26213106513023376
[,0.010752761736512184,-0.06921151280403137,0.11624499410390854,-0.005442868918180466,0.010817250236868858,0.03893941268324852,-0.000135629263240844,0.12200435250997543,-0.018409738317131996,0.011015460826456547
i,0.4411132335662842,0.25362417101860046,0.2728527784347534,0.21463118493556976,0.25849398970603943,0.3155658543109894,0.12312854826450348,0.2227727174758911,0.1716090887784958,0.4695145785808563
],-0.03775298595428467,-0.02998926118016243,0.004268568940460682,0.07995078712701797,-0.035044461488723755,-0.049516137689352036,0.019042914733290672,-0.015732312574982643,0.0826021209359169,-0.0022520492784678936
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.3094974756240845,0.4946078956127167,0.427140474319458,0.2386896163225174,0.2755889594554901,0.19022232294082642,0.31091248989105225
that,0.6297725439071655,0.3995479643344879,0.5133185982704163,0.429897665977478,0.41498205065727234,0.47537946701049805,0.3585395812988281,0.33801698684692383,0.23649641871452332,0.32716336846351624
is,0.28837618231773376,1.0,0.4544198513031006,0.36737263202667236,0.4854315221309662,0.658733606338501,0.3167116045951843,0.2635040879249573,0.16253244876861572,0.22961433231830597
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.3094974756240845,0.4946078956127167,0.427140474319458,0.2386896163225174,0.2755889594554901,0.19022232294082642,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.3755223751068115,0.733189046382904,0.5829201340675354,0.26165643334388733,0.2827453017234802,0.22479304671287537,0.22068053483963013
set,0.28954121470451355,0.21148966252803802,0.25091665983200073,0.30543550848960876,0.20671486854553223,0.2540091574192047,0.16485919058322906,0.24050340056419373,0.20618008077144623,0.1698019951581955
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.3570667505264282,1.0,0.5052502155303955,0.29481077194213867,0.3057559132575989,0.2035585194826126,0.1826142966747284
complex,0.2605343163013458,0.2723233699798584,0.2887919545173645,0.32708874344825745,0.24271073937416077,0.26552852988243103,0.2972663640975952,0.34197044372558594,0.22024831175804138,0.17752902209758759
numbers,0.24586999416351318,0.19465886056423187,0.2818865478038788,0.3534485995769501,0.228018656373024,0.24434582889080048,0.3413766622543335,0.40488776564598083,0.21898293495178223,0.19297972321510315
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.3570667505264282,1.0,0.5052502155303955,0.29481077194213867,0.3057559132575989,0.2035585194826126,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.3755223751068115,0.733189046382904,0.5829201340675354,0.26165643334388733,0.2827453017234802,0.22479304671287537,0.22068053483963013
form,0.15868011116981506,0.3218395411968231,0.2667044997215271,0.390017569065094,0.29600051045417786,0.3088195323944092,0.2785157859325409,0.27753710746765137,0.18805667757987976,0.1463010311126709
a,0.3320399522781372,0.658733606338501,0.4910551905632019,0.40234753489494324,0.5052502155303955,1.0,0.3346916735172272,0.31564444303512573,0.1396392285823822,0.23916715383529663
+,0.1158081665635109,0.12961794435977936,0.2168196588754654,0.2583244740962982,0.14862146973609924,0.10495228320360184,0.1777406632900238,0.2576572597026825,0.24720263481140137,0.2903686463832855
bi,0.16606993973255157,0.1823255717754364,0.15916220843791962,0.2019244134426117,0.1196141317486763,0.2014145851135254,0.14655952155590057,0.2597174346446991,0.16297593712806702,0.19472575187683105
where,0.4457937180995941,0.3586711287498474,0.3907615840435028,0.3688216209411621,0.38066378235816956,0.40997210144996643,0.23359957337379456,0.3013922870159149,0.20787419378757477,0.24793872237205505
i,0.4411132335662842,0.25362417101860046,0.2728527784347534,0.21463118493556976,0.25849398970603943,0.3155658543109894,0.12312854826450348,0.2227727174758911,0.1716090887784958,0.4695145785808563
denotes,0.1614694446325302,0.2905273139476776,0.2371702790260315,0.33116334676742554,0.22453853487968445,0.2941366136074066,0.3200778067111969,0.29704028367996216,0.19563502073287964,0.20673853158950806
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.3755223751068115,0.733189046382904,0.5829201340675354,0.26165643334388733,0.2827453017234802,0.22479304671287537,0.22068053483963013
imaginary,0.27617505192756653,0.2303205281496048,0.31374266743659973,0.31122082471847534,0.2763517498970032,0.24669601023197174,0.3166951835155487,0.23989436030387878,0.17041045427322388,0.13740995526313782
