,what,did,water,that,flowed,towards,the,pacific,have,to,flow,across,during,the,mid-eocene,?
water,0.17456887662410736,0.1909485161304474,0.9999998807907104,0.3326379060745239,0.39836812019348145,0.20185823738574982,0.297396719455719,0.21893467009067535,0.26208099722862244,0.27858173847198486,0.4377398192882538,0.27962547540664673,0.2296343296766281,0.297396719455719,0.22219102084636688,0.14731885492801666
on,0.34226128458976746,0.2670976221561432,0.18117135763168335,0.42569106817245483,0.24298825860023499,0.29651278257369995,0.5107308030128479,0.17629875242710114,0.36494916677474976,0.41031414270401,0.1995432823896408,0.411987841129303,0.3347817361354828,0.5107308030128479,0.1774086207151413,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.297396719455719,0.5473989248275757,0.3597415089607239,0.31815874576568604,1.0,0.28543707728385925,0.40389683842658997,0.535392165184021,0.314039409160614,0.3816230297088623,0.4838213622570038,1.0,0.25416916608810425,0.22068053483963013
eastern,0.2263268083333969,0.13009013235569,0.1799633651971817,0.23358812928199768,0.2447194755077362,0.1729627102613449,0.3928247392177582,0.4369921088218689,0.22821074724197388,0.1750476211309433,0.0818239226937294,0.32143890857696533,0.2630176842212677,0.3928247392177582,0.31024643778800964,0.20060817897319794
side,0.2532914876937866,0.19660846889019012,0.2522294521331787,0.27619752287864685,0.25394704937934875,0.3317789137363434,0.37146830558776855,0.20449191331863403,0.2790888249874115,0.2686329185962677,0.24637320637702942,0.315142422914505,0.20010770857334137,0.37146830558776855,0.13864293694496155,0.07831130921840668
flowed,0.1444557160139084,0.17890195548534393,0.39836812019348145,0.23137310147285461,1.0,0.18426558375358582,0.3597415089607239,0.21395422518253326,0.19115573167800903,0.2192101776599884,0.5794103145599365,0.3976633846759796,0.2867923676967621,0.3597415089607239,0.30197787284851074,0.13853344321250916
toward,0.2619364559650421,0.1586475372314453,0.19660191237926483,0.29561343789100647,0.20409275591373444,0.8479601740837097,0.3341628313064575,0.17687998712062836,0.2260049730539322,0.3459627032279968,0.18836073577404022,0.3939526081085205,0.26387837529182434,0.3341628313064575,0.2239207625389099,0.09989774227142334
the,0.42745697498321533,0.34736719727516174,0.297396719455719,0.5473989248275757,0.3597415089607239,0.31815874576568604,1.0,0.28543707728385925,0.40389683842658997,0.535392165184021,0.314039409160614,0.3816230297088623,0.4838213622570038,1.0,0.25416916608810425,0.22068053483963013
atlantic,0.16333554685115814,0.16449733078479767,0.20324483513832092,0.2559850513935089,0.33186209201812744,0.14057205617427826,0.31052014231681824,0.5771035552024841,0.20438291132450104,0.26242998242378235,0.2522486746311188,0.2957223355770111,0.24584031105041504,0.31052014231681824,0.28225386142730713,0.15355663001537323
",",0.3087472915649414,0.3015086054801941,0.26706066727638245,0.4137537479400635,0.24361252784729004,0.2550581693649292,0.4933079481124878,0.2034771740436554,0.3541618287563324,0.44245919585227966,0.23027558624744415,0.22515052556991577,0.3225448727607727,0.4933079481124878,0.2353992760181427,0.31091248989105225
while,0.35511791706085205,0.3330625295639038,0.25556325912475586,0.43523597717285156,0.16442269086837769,0.347721666097641,0.39804592728614807,0.25522661209106445,0.3577405512332916,0.43899232149124146,0.14664404094219208,0.31459560990333557,0.3849048316478729,0.39804592728614807,0.20537999272346497,0.21076419949531555
