,how,many,abc,music,stations,were,owned-and-operated,in,1968,?
the,0.33890387415885925,0.4335206151008606,0.2068762183189392,0.2714049816131592,0.24762700498104095,0.3906462490558624,0.27652397751808167,0.6662389636039734,0.07431387901306152,0.22068053483963013
new,0.20832711458206177,0.2992318272590637,0.20663127303123474,0.23714691400527954,0.1508234143257141,0.21711495518684387,0.23980720341205597,0.3758552670478821,0.039671462029218674,0.14782847464084625
concept,0.2866419553756714,0.2787836492061615,0.09359899908304214,0.22370073199272156,0.15859052538871765,0.1794920265674591,0.21363452076911926,0.21857000887393951,0.013616141863167286,0.17160645127296448
called,0.2869613468647003,0.3552800714969635,0.16562479734420776,0.21631774306297302,0.17854465544223785,0.30364301800727844,0.29342469573020935,0.40847352147102356,0.023897966369986534,0.18963319063186646
``,-0.01591024175286293,0.012824942357838154,-0.04806871339678764,-0.03701953589916229,-0.09476577490568161,0.006090171169489622,-0.02328285574913025,0.04765888676047325,-0.004498135298490524,0.0685480609536171
love,0.2586834132671356,0.1878507137298584,0.22775214910507202,0.26598021388053894,0.146223783493042,0.11180304735898972,0.15580593049526215,0.2026566118001938,-0.08258555829524994,0.24261747300624847
radio,0.1959047019481659,0.20007941126823425,0.35354745388031006,0.31589677929878235,0.47360363602638245,0.10931224375963211,0.2352210134267807,0.22625693678855896,0.04859283193945885,0.08763375133275986
'',-0.0029843549709767103,-0.016843097284436226,-0.05768610164523125,-0.015944084152579308,0.06606116890907288,0.007215402089059353,0.08306784182786942,0.07432962208986282,-0.019257843494415283,0.018684765323996544
",",0.22659391164779663,0.40610817074775696,0.2097204476594925,0.30347302556037903,0.26337406039237976,0.36755475401878357,0.32616978883743286,0.5201468467712402,0.07405266165733337,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.1991286277770996,0.27402597665786743,0.25455939769744873,0.2807837128639221,0.28078415989875793,0.4840516746044159,-0.0039784410037100315,0.25814583897590637
featured,0.18270574510097504,0.2732047140598297,0.3030971884727478,0.26078858971595764,0.17512960731983185,0.26517489552497864,0.21849794685840607,0.2658694386482239,0.012413101270794868,0.2944096624851227
a,0.29312583804130554,0.2872205972671509,0.21331243216991425,0.2234005630016327,0.199105903506279,0.17203083634376526,0.2683093547821045,0.539380669593811,-0.025953760370612144,0.23916715383529663
