,what,does,cbd,stand,for,?
southern,0.18679563701152802,0.0482201874256134,0.25387778878211975,0.05426011607050896,0.14496514201164246,0.11225555837154388
california,0.1811584085226059,0.10136774927377701,0.20202526450157166,0.1578221321105957,0.23038740456104279,0.1409905105829239
is,0.28837618231773376,0.4403602182865143,0.26199743151664734,0.2768389880657196,0.43268078565597534,0.22961433231830597
home,0.1608789712190628,0.13064053654670715,0.2532382607460022,0.17515313625335693,0.2685687243938446,0.0757145956158638
to,0.455847829580307,0.4391997456550598,0.2554062008857727,0.23655876517295837,0.4451248347759247,0.29463258385658264
many,0.36131182312965393,0.30303922295570374,0.31349462270736694,0.1938120722770691,0.40972793102264404,0.2124512493610382
major,0.21026742458343506,0.17495857179164886,0.2323150932788849,0.07782721519470215,0.23592928051948547,0.19788557291030884
business,0.21758167445659637,0.20479586720466614,0.2800072133541107,0.10487739741802216,0.2736336290836334,0.1545659303665161
districts,0.16162313520908356,0.12496049702167511,0.3368590176105499,0.06956342607736588,0.12341930717229843,0.10677915066480637
.,0.3567904531955719,0.3022993505001068,0.2634170949459076,0.2296130359172821,0.4726039469242096,0.4130953550338745
