,what,is,an,underbid,?
underbids,0.24098792672157288,0.16556698083877563,0.2132490575313568,0.9107416272163391,0.24095883965492249
happen,0.43479856848716736,0.23881089687347412,0.2145266830921173,0.21834205090999603,0.2853034734725952
when,0.4700249433517456,0.3471449911594391,0.33026179671287537,0.3225140869617462,0.22841128706932068
builders,0.25128763914108276,0.20871880650520325,0.13962602615356445,0.2135867327451706,0.15197427570819855
ask,0.4547412395477295,0.1548149287700653,0.183440163731575,0.32036495208740234,0.47361961007118225
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.36261090636253357,0.264628142118454
too,0.4120715260505676,0.2450883537530899,0.1863275170326233,0.1822769045829773,0.33757779002189636
little,0.2614184617996216,0.23436859250068665,0.18403789401054382,0.11772921681404114,0.20336517691612244
money,0.2704482674598694,0.19318200647830963,0.13617588579654694,0.28237149119377136,0.2069680541753769
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.3130951523780823,0.29463258385658264
complete,0.29213884472846985,0.2201630026102066,0.2157072126865387,0.29482465982437134,0.11962060630321503
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.26556286215782166,0.22068053483963013
project,0.27033838629722595,0.1924840211868286,0.1355700045824051,0.3375560939311981,0.30569031834602356
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.29800131916999817,0.4130953550338745
