,who,were,exempt,from,the,ministry,of,justice,?
for,0.37110671401023865,0.33592689037323,0.2749512195587158,0.314039945602417,0.4739971458911896,0.2517104148864746,0.4185989499092102,0.22499679028987885,0.264628142118454
example,0.27006375789642334,0.21319323778152466,0.300836980342865,0.3175121247768402,0.3755223751068115,0.15720608830451965,0.3570667505264282,0.1435757726430893,0.30374911427497864
",",0.3365725874900818,0.36755475401878357,0.19862349331378937,0.39760664105415344,0.4933079481124878,0.21379242837429047,0.4946078956127167,0.22630788385868073,0.31091248989105225
the,0.3733934462070465,0.3906462490558624,0.1682843714952469,0.40150508284568787,1.0,0.23817597329616547,0.733189046382904,0.23470892012119293,0.22068053483963013
authority,0.17199470102787018,0.17060819268226624,0.3013136684894562,0.15314611792564392,0.2645063102245331,0.3979188799858093,0.28063252568244934,0.269634872674942,0.18404170870780945
of,0.2827862501144409,0.34038281440734863,0.19968248903751373,0.4249346852302551,0.733189046382904,0.2755489647388458,1.0,0.2658293545246124,0.1826142966747284
the,0.3733934462070465,0.3906462490558624,0.1682843714952469,0.40150508284568787,1.0,0.23817597329616547,0.733189046382904,0.23470892012119293,0.22068053483963013
yuan,0.20351146161556244,0.19657303392887115,0.21946948766708374,0.09845740348100662,0.2548272907733917,0.229041188955307,0.22696353495121002,0.1325516700744629,0.12871281802654266
legal,0.28385603427886963,0.18178196251392365,0.2925076186656952,0.22620275616645813,0.25629305839538574,0.22639484703540802,0.2720220685005188,0.38723450899124146,0.2143220454454422
system,0.1550477296113968,0.1800099015235901,0.17912383377552032,0.22092437744140625,0.3233085572719574,0.1427062749862671,0.25597915053367615,0.1542372852563858,0.15556083619594574
",",0.3365725874900818,0.36755475401878357,0.19862349331378937,0.39760664105415344,0.4933079481124878,0.21379242837429047,0.4946078956127167,0.22630788385868073,0.31091248989105225
the,0.3733934462070465,0.3906462490558624,0.1682843714952469,0.40150508284568787,1.0,0.23817597329616547,0.733189046382904,0.23470892012119293,0.22068053483963013
ministry,0.16792069375514984,0.16913524270057678,0.2416706383228302,0.16093386709690094,0.23817597329616547,1.0000001192092896,0.2755489647388458,0.38676995038986206,0.18168897926807404
of,0.2827862501144409,0.34038281440734863,0.19968248903751373,0.4249346852302551,0.733189046382904,0.2755489647388458,1.0,0.2658293545246124,0.1826142966747284
justice,0.2339407354593277,0.11852375417947769,0.20621338486671448,0.1659262329339981,0.23470892012119293,0.38676995038986206,0.2658293545246124,1.0,0.19269752502441406
",",0.3365725874900818,0.36755475401878357,0.19862349331378937,0.39760664105415344,0.4933079481124878,0.21379242837429047,0.4946078956127167,0.22630788385868073,0.31091248989105225
did,0.34038686752319336,0.4162326455116272,0.19902509450912476,0.20248863101005554,0.34736719727516174,0.19232606887817383,0.2513895630836487,0.10621706396341324,0.3023456633090973
not,0.369414746761322,0.33318549394607544,0.31467804312705994,0.2567668557167053,0.4310511648654938,0.15314249694347382,0.3307090103626251,0.12427773326635361,0.41942933201789856
extend,0.09649529308080673,0.1383703052997589,0.3444673418998718,0.23901566863059998,0.29680711030960083,0.0936250314116478,0.2804538309574127,0.049958426505327225,0.2181791514158249
to,0.42656609416007996,0.31913647055625916,0.28929024934768677,0.4069952368736267,0.535392165184021,0.21453896164894104,0.41548454761505127,0.19197677075862885,0.29463258385658264
legal,0.28385603427886963,0.18178196251392365,0.2925076186656952,0.22620275616645813,0.25629305839538574,0.22639484703540802,0.2720220685005188,0.38723450899124146,0.2143220454454422
cases,0.26357710361480713,0.23848582804203033,0.29077184200286865,0.2106320559978485,0.33415094017982483,0.13470830023288727,0.31000128388404846,0.26706165075302124,0.25599566102027893
involving,0.17650924623012543,0.27079081535339355,0.14209021627902985,0.18062157928943634,0.2870389223098755,0.16672252118587494,0.3404907286167145,0.21020935475826263,0.19034086167812347
mongols,0.2709572911262512,0.3104121685028076,0.0771000012755394,0.22836752235889435,0.310281366109848,0.16950203478336334,0.23517343401908875,0.14104865491390228,0.11517509818077087
and,0.41279885172843933,0.42175528407096863,0.21775446832180023,0.3601827025413513,0.5171257257461548,0.2559942901134491,0.5116966962814331,0.22812503576278687,0.20544172823429108
semuren,0.23524394631385803,0.21067874133586884,0.20285803079605103,0.1955651491880417,0.26426753401756287,0.236723393201828,0.2591366767883301,0.22760693728923798,0.22126834094524384
",",0.3365725874900818,0.36755475401878357,0.19862349331378937,0.39760664105415344,0.4933079481124878,0.21379242837429047,0.4946078956127167,0.22630788385868073,0.31091248989105225
who,0.9999998807907104,0.3188014328479767,0.272050678730011,0.27839982509613037,0.3733934462070465,0.16792069375514984,0.2827862501144409,0.2339407354593277,0.26220351457595825
had,0.36173108220100403,0.6150832772254944,0.17207276821136475,0.3075238764286041,0.3875846862792969,0.1893303543329239,0.37755560874938965,0.13671329617500305,0.20728366076946259
separate,0.17296724021434784,0.3257561922073364,0.26929035782814026,0.2964138686656952,0.3612915575504303,0.24448354542255402,0.33388569951057434,0.18004067242145538,0.16835719347000122
courts,0.25162091851234436,0.20924413204193115,0.3425179421901703,0.11770911514759064,0.2453746348619461,0.29552987217903137,0.24972429871559143,0.465596467256546,0.17759139835834503
of,0.2827862501144409,0.34038281440734863,0.19968248903751373,0.4249346852302551,0.733189046382904,0.2755489647388458,1.0,0.2658293545246124,0.1826142966747284
justice,0.2339407354593277,0.11852375417947769,0.20621338486671448,0.1659262329339981,0.23470892012119293,0.38676995038986206,0.2658293545246124,1.0,0.19269752502441406
.,0.3541337847709656,0.3378238379955292,0.23575329780578613,0.41536515951156616,0.5934505462646484,0.19757187366485596,0.5352458953857422,0.24642124772071838,0.4130953550338745
