,what,type,of,person,can,not,be,attributed,civil,disobedience,?
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.3028412163257599,0.35690054297447205,0.39280617237091064,0.3801851272583008,0.1315128058195114,0.1685788929462433,0.23370130360126495,0.264628142118454
instance,0.3862040638923645,0.27324962615966797,0.3011147379875183,0.35011351108551025,0.46404144167900085,0.42580389976501465,0.43630778789520264,0.16956593096256256,0.12078451365232468,0.25085586309432983,0.30205854773521423
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2255365252494812,0.3139454126358032,0.3769696354866028,0.39254459738731384,0.23475953936576843,0.24795588850975037,0.2878543734550476,0.31091248989105225
if,0.5277165174484253,0.2994624078273773,0.2557544410228729,0.48828333616256714,0.5903681516647339,0.6100378632545471,0.5628611445426941,0.2010996788740158,0.12512178719043732,0.20446431636810303,0.4441644251346588
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3487054407596588,0.312528520822525,0.4310511648654938,0.4248143136501312,0.21220806241035461,0.2477465271949768,0.30963727831840515,0.22068053483963013
head,0.18919230997562408,0.12339848279953003,0.2945564389228821,0.25609108805656433,0.16802345216274261,0.14797358214855194,0.1369733065366745,0.057668112218379974,0.05735510215163231,0.11627155542373657,0.10879309475421906
of,0.33290785551071167,0.18112817406654358,1.0,0.27674683928489685,0.2603091299533844,0.3307090103626251,0.33904364705085754,0.2709019184112549,0.24698495864868164,0.31932318210601807,0.1826142966747284
government,0.28074538707733154,0.09938877820968628,0.3475167155265808,0.28458428382873535,0.15589569509029388,0.2722996473312378,0.22621913254261017,0.08388174325227737,0.30626749992370605,0.39617401361465454,0.18851417303085327
of,0.33290785551071167,0.18112817406654358,1.0,0.27674683928489685,0.2603091299533844,0.3307090103626251,0.33904364705085754,0.2709019184112549,0.24698495864868164,0.31932318210601807,0.1826142966747284
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.4078793525695801,0.3915780484676361,0.3791346549987793,0.39883795380592346,0.17105847597122192,0.21693918108940125,0.25352153182029724,0.23916715383529663
country,0.22705033421516418,0.16337260603904724,0.28866857290267944,0.26081809401512146,0.15319520235061646,0.22478289902210236,0.2115473747253418,0.0757526159286499,0.2076026201248169,0.2641947567462921,0.12647280097007751
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.16889125108718872,0.2566237151622772,0.33318549394607544,0.4064064621925354,0.23569244146347046,0.2641898989677429,0.28859755396842957,0.17890112102031708
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.33486208319664,0.4979398250579834,0.5149973034858704,0.4972836375236511,0.1937648355960846,0.2019355595111847,0.30665844678878784,0.29463258385658264
refuse,0.3386227488517761,0.1463361382484436,0.2180326282978058,0.2829512357711792,0.337348610162735,0.445904016494751,0.26977264881134033,0.1344289779663086,0.20696480572223663,0.46560195088386536,0.24834518134593964
