,what,will,v,&,a,dundee,focus,on,?
the,0.42745697498321533,0.3635469079017639,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.2228047251701355,0.25318023562431335,0.5107308030128479,0.22068053483963013
v,0.16628342866897583,0.2025434374809265,1.0,0.10860954970121384,0.21861357986927032,0.14429038763046265,0.05555224046111107,0.1826705038547516,0.28677162528038025
&,0.11141876131296158,0.12975667417049408,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.1457192301750183,0.12267391383647919,0.14816857874393463,0.12596383690834045
a,0.3320399522781372,0.3401327431201935,0.21861357986927032,0.07266713678836823,1.0,0.18508514761924744,0.2499895542860031,0.3848365545272827,0.23916715383529663
dundee,0.12080986797809601,0.15871119499206543,0.14429038763046265,0.1457192301750183,0.18508514761924744,0.9999999403953552,0.12117321789264679,0.17639027535915375,0.133137047290802
will,0.3510494530200958,1.0,0.2025434374809265,0.12975667417049408,0.3401327431201935,0.15871119499206543,0.26723513007164,0.3240351676940918,0.35046905279159546
be,0.3929833769798279,0.4925616979598999,0.11805149912834167,0.08198343962430954,0.39883795380592346,0.11931823194026947,0.31418439745903015,0.37900757789611816,0.3324260413646698
on,0.34226128458976746,0.3240351676940918,0.1826705038547516,0.14816857874393463,0.3848365545272827,0.17639027535915375,0.3158062696456909,0.9999999403953552,0.2714994251728058
the,0.42745697498321533,0.3635469079017639,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.2228047251701355,0.25318023562431335,0.5107308030128479,0.22068053483963013
city,0.17493832111358643,0.11721272766590118,0.1576935052871704,0.132121279835701,0.2349124401807785,0.3341968059539795,0.1344560831785202,0.2549738585948944,0.13423943519592285
's,0.02692362666130066,0.00371179124340415,-0.008823617361485958,-0.02038128487765789,0.04866964742541313,0.11526058614253998,0.00015971816901583225,0.0026888418942689896,-0.023395681753754616
waterfront,0.16618648171424866,0.13005541265010834,0.15165282785892487,0.20362016558647156,0.2208501398563385,0.2403363287448883,0.2508854866027832,0.27236950397491455,0.16367992758750916
and,0.31309178471565247,0.35983073711395264,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.243573859333992,0.2707323133945465,0.4077630043029785,0.20544172823429108
is,0.28837618231773376,0.3723262846469879,0.16126930713653564,0.08384179323911667,0.658733606338501,0.15815377235412598,0.25106388330459595,0.3635730445384979,0.22961433231830597
intended,0.32450535893440247,0.39126071333885193,0.17383375763893127,0.10314083099365234,0.31608664989471436,0.1504458338022232,0.32586240768432617,0.2751085162162781,0.21823447942733765
to,0.455847829580307,0.5091033577919006,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.14178185164928436,0.33288413286209106,0.41031414270401,0.29463258385658264
focus,0.32940709590911865,0.26723513007164,0.05555224046111107,0.12267391383647919,0.2499895542860031,0.12117321789264679,1.0,0.3158062696456909,0.23925252258777618
on,0.34226128458976746,0.3240351676940918,0.1826705038547516,0.14816857874393463,0.3848365545272827,0.17639027535915375,0.3158062696456909,0.9999999403953552,0.2714994251728058
fashion,0.1932576596736908,0.15192733705043793,0.08346843719482422,0.15014754235744476,0.2117394059896469,0.10822884738445282,0.22143767774105072,0.1939278393983841,0.11952155828475952
",",0.3087472915649414,0.29706671833992004,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2109282910823822,0.23845507204532623,0.49057599902153015,0.31091248989105225
architecture,0.23286667466163635,0.12320578098297119,0.18126939237117767,0.15631765127182007,0.2194099873304367,0.13297107815742493,0.16326946020126343,0.1650944948196411,0.14343059062957764
",",0.3087472915649414,0.29706671833992004,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2109282910823822,0.23845507204532623,0.49057599902153015,0.31091248989105225
product,0.2465333193540573,0.2644597887992859,0.14540521800518036,0.054560497403144836,0.26422351598739624,0.06767414510250092,0.20072214305400848,0.1480986773967743,0.19651241600513458
design,0.23893405497074127,0.1803235113620758,0.20191225409507751,0.146415576338768,0.25211480259895325,0.15759627521038055,0.25711753964424133,0.21461689472198486,0.16351860761642456
",",0.3087472915649414,0.29706671833992004,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2109282910823822,0.23845507204532623,0.49057599902153015,0.31091248989105225
graphic,0.16899645328521729,0.15159273147583008,0.1264033168554306,0.09486054629087448,0.24900485575199127,0.14050200581550598,0.22967155277729034,0.2470027208328247,0.1509546935558319
arts,0.15975245833396912,0.19110268354415894,0.15225952863693237,0.17612096667289734,0.21388907730579376,0.20938876271247864,0.23896524310112,0.10353003442287445,0.09471383690834045
and,0.31309178471565247,0.35983073711395264,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.243573859333992,0.2707323133945465,0.4077630043029785,0.20544172823429108
photography,0.15990793704986572,0.025608351454138756,0.15319696068763733,0.16582508385181427,0.20964208245277405,0.10319629311561584,0.28739672899246216,0.14150406420230865,0.12825748324394226
.,0.3567904531955719,0.33682769536972046,0.2973858416080475,0.16452857851982117,0.50484299659729,0.22160862386226654,0.21183714270591736,0.49257001280784607,0.4130953550338745
