,what,makes,dna,vulnerable,to,deamination,?
dna,0.24220526218414307,0.1728188842535019,1.0000001192092896,0.2217610478401184,0.22861447930335999,0.28381767868995667,0.1548636108636856
becomes,0.15717560052871704,0.4591016471385956,0.10511776804924011,0.11574350297451019,0.22548897564411163,0.1456114649772644,0.1751440465450287
susceptible,0.24696184694766998,0.2891387343406677,0.354027658700943,0.454548180103302,0.2859433591365814,0.3506860136985779,0.15345551073551178
to,0.455847829580307,0.35811367630958557,0.22861447930335999,0.2332347333431244,1.0,0.3361285328865051,0.29463258385658264
deamination,0.3345491588115692,0.17691414058208466,0.28381767868995667,0.2686782777309418,0.3361285328865051,1.0000001192092896,0.26252666115760803
events,0.269866019487381,0.13319021463394165,0.14474736154079437,0.10824623703956604,0.22643153369426727,0.2457442432641983,0.09835197776556015
when,0.4700249433517456,0.3653196394443512,0.19097159802913666,0.23858241736888885,0.5423505902290344,0.2666356861591339,0.22841128706932068
it,0.45803478360176086,0.36225712299346924,0.1764044463634491,0.2255553901195526,0.513711154460907,0.29573044180870056,0.25732165575027466
is,0.28837618231773376,0.4565773010253906,0.15626907348632812,0.25012117624282837,0.42745086550712585,0.2581561803817749,0.22961433231830597
single,0.24458327889442444,0.20224589109420776,0.2392025738954544,0.14935719966888428,0.2593121826648712,0.23050975799560547,0.2151121199131012
stranded,0.1626305878162384,0.17380648851394653,0.4860612154006958,0.2759137749671936,0.2167787253856659,0.24628818035125732,0.07149529457092285
.,0.3567904531955719,0.265095978975296,0.2056756615638733,0.21427053213119507,0.4645031690597534,0.2694484293460846,0.4130953550338745
,what,makes,dna,vulnerable,to,deamination,?
when,0.4700249433517456,0.3653196394443512,0.19097159802913666,0.23858241736888885,0.5423505902290344,0.2666356861591339,0.22841128706932068
replication,0.2642822563648224,0.24004769325256348,0.567418098449707,0.22776035964488983,0.2564338743686676,0.40647709369659424,0.1812686026096344
forks,0.18506120145320892,0.26974448561668396,0.1405009627342224,0.1588631272315979,0.2357141375541687,0.21606644988059998,0.12440887838602066
form,0.15868011116981506,0.2568514943122864,0.16995616257190704,0.19298243522644043,0.2772196829319,0.20250999927520752,0.1463010311126709
",",0.3087472915649414,0.2926395535469055,0.2115938663482666,0.21071133017539978,0.44245919585227966,0.3227420151233673,0.31091248989105225
the,0.42745697498321533,0.3029823303222656,0.19235704839229584,0.23988863825798035,0.535392165184021,0.3237389922142029,0.22068053483963013
strand,0.1555616557598114,0.1681395322084427,0.49677222967147827,0.12436041235923767,0.23323588073253632,0.2100839465856552,0.08355900645256042
not,0.5449194312095642,0.3172699511051178,0.23975546658039093,0.27875572443008423,0.5149973034858704,0.28952664136886597,0.41942933201789856
being,0.3760843276977539,0.26838618516921997,0.20113235712051392,0.3850155174732208,0.4514104127883911,0.3564491868019104,0.26743772625923157
copied,0.3524389863014221,0.17197322845458984,0.29915791749954224,0.1038525253534317,0.2280242145061493,0.20337682962417603,0.3320571780204773
is,0.28837618231773376,0.4565773010253906,0.15626907348632812,0.25012117624282837,0.42745086550712585,0.2581561803817749,0.22961433231830597
single,0.24458327889442444,0.20224589109420776,0.2392025738954544,0.14935719966888428,0.2593121826648712,0.23050975799560547,0.2151121199131012
stranded,0.1626305878162384,0.17380648851394653,0.4860612154006958,0.2759137749671936,0.2167787253856659,0.24628818035125732,0.07149529457092285
",",0.3087472915649414,0.2926395535469055,0.2115938663482666,0.21071133017539978,0.44245919585227966,0.3227420151233673,0.31091248989105225
and,0.31309178471565247,0.34688496589660645,0.18988288938999176,0.26953402161598206,0.48971283435821533,0.31284618377685547,0.20544172823429108
thus,0.30745524168014526,0.2826327681541443,0.2547595202922821,0.29237526655197144,0.42383262515068054,0.24431587755680084,0.18769288063049316
at,0.2838611304759979,0.16751305758953094,0.1143321543931961,0.20110434293746948,0.36524343490600586,0.27145642042160034,0.21978627145290375
risk,0.26548051834106445,0.24527223408222198,0.22240090370178223,0.3641400635242462,0.26643267273902893,0.36353960633277893,0.22318896651268005
for,0.3017193675041199,0.3219717741012573,0.18554699420928955,0.23723165690898895,0.4451248347759247,0.34889841079711914,0.264628142118454
a,0.3320399522781372,0.3509295880794525,0.2164907455444336,0.22773060202598572,0.45503583550453186,0.3165878653526306,0.23916715383529663
→,0.0946284607052803,0.12332060188055038,0.08833401650190353,-0.012165768072009087,0.19149889051914215,0.1465994268655777,0.27053216099739075
g,0.1146370992064476,0.14002667367458344,0.12848496437072754,0.13518936932086945,0.18563434481620789,0.14469729363918304,0.213205024600029
deamination,0.3345491588115692,0.17691414058208466,0.28381767868995667,0.2686782777309418,0.3361285328865051,1.0000001192092896,0.26252666115760803
.,0.3567904531955719,0.265095978975296,0.2056756615638733,0.21427053213119507,0.4645031690597534,0.2694484293460846,0.4130953550338745
