,what,is,the,immune,system,of,the,brained,known,as,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.14682820439338684,0.21978288888931274,0.5696388483047485,0.6662389636039734,0.24952687323093414,0.32641831040382385,0.3887844979763031,0.20430970191955566
humans,0.28355827927589417,0.24904371798038483,0.29565489292144775,0.3791846036911011,0.2241804003715515,0.24560637772083282,0.29565489292144775,0.37206846475601196,0.16746363043785095,0.24042272567749023,0.20141740143299103
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.4946078956127167,0.4933079481124878,0.30876708030700684,0.3604377806186676,0.48816442489624023,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.21364226937294006,0.3233085572719574,0.733189046382904,1.0,0.2734363377094269,0.3624623417854309,0.48381632566452026,0.22068053483963013
blood–brain,0.2840772271156311,0.2637767791748047,0.3674085736274719,0.4675694704055786,0.2739626169204712,0.31890153884887695,0.3674085736274719,0.5387064218521118,0.23461847007274628,0.2477983832359314,0.22211578488349915
barrier,0.22869759798049927,0.24763508141040802,0.32808300852775574,0.2338794320821762,0.2783268392086029,0.24921740591526031,0.32808300852775574,0.17620885372161865,0.17880812287330627,0.18706054985523224,0.11772116273641586
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.4946078956127167,0.4933079481124878,0.30876708030700684,0.3604377806186676,0.48816442489624023,0.31091248989105225
blood–cerebrospinal,0.3034363090991974,0.22458620369434357,0.3430507779121399,0.42194387316703796,0.29505130648612976,0.3048873245716095,0.3430507779121399,0.4766233563423157,0.19659754633903503,0.18651805818080902,0.19552047550678253
fluid,0.20682886242866516,0.23022614419460297,0.23256433010101318,0.2836812436580658,0.3003348708152771,0.217294842004776,0.23256433010101318,0.3111559748649597,0.11771492660045624,0.15303975343704224,0.18212400376796722
barrier,0.22869759798049927,0.24763508141040802,0.32808300852775574,0.2338794320821762,0.2783268392086029,0.24921740591526031,0.32808300852775574,0.17620885372161865,0.17880812287330627,0.18706054985523224,0.11772116273641586
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.4946078956127167,0.4933079481124878,0.30876708030700684,0.3604377806186676,0.48816442489624023,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.14400269091129303,0.231138214468956,0.5116966962814331,0.5171257257461548,0.3241512179374695,0.3468935489654541,0.49487000703811646,0.20544172823429108
similar,0.30608364939689636,0.28929588198661804,0.2963123023509979,0.2106502503156662,0.22617121040821075,0.2911645472049713,0.2963123023509979,0.23631931841373444,0.258840948343277,0.30915290117263794,0.23309361934661865
fluid–brain,0.2789808213710785,0.2930485010147095,0.3120822608470917,0.42123711109161377,0.33530017733573914,0.29256799817085266,0.3120822608470917,0.5353320240974426,0.1745067685842514,0.21252381801605225,0.22036683559417725
barriers,0.22092224657535553,0.20278379321098328,0.2820606231689453,0.2772504687309265,0.31584006547927856,0.20672127604484558,0.2820606231689453,0.17362745106220245,0.1717400848865509,0.15796904265880585,0.12831342220306396
separate,0.33215096592903137,0.2548423409461975,0.3612915575504303,0.10710752010345459,0.2237393707036972,0.33388569951057434,0.3612915575504303,0.2123260349035263,0.1832861751317978,0.28611117601394653,0.16835719347000122
the,0.42745697498321533,0.5823672413825989,1.0,0.21364226937294006,0.3233085572719574,0.733189046382904,1.0,0.2734363377094269,0.3624623417854309,0.48381632566452026,0.22068053483963013
peripheral,0.1982114464044571,0.22493493556976318,0.24567924439907074,0.3523324728012085,0.44155988097190857,0.2493284046649933,0.24567924439907074,0.26810935139656067,0.15442799031734467,0.14467878639698029,0.11398136615753174
