,in,what,country,can,most,of,the,amazon,rainforest,be,found,?
the,0.6662389636039734,0.42745697498321533,0.30432501435279846,0.312528520822525,0.47635307908058167,0.733189046382904,1.0,0.260541707277298,0.2571161389350891,0.4248143136501312,0.3452354073524475,0.22068053483963013
majority,0.2563854157924652,0.25967487692832947,0.2259988933801651,0.24783922731876373,0.3424006998538971,0.29706597328186035,0.28757327795028687,0.14890789985656738,0.1759079247713089,0.26356902718544006,0.14892451465129852,0.220119908452034
of,0.5696388483047485,0.33290785551071167,0.28866857290267944,0.2603091299533844,0.4178851246833801,1.0,0.733189046382904,0.20143137872219086,0.22522282600402832,0.33904364705085754,0.2982911467552185,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.30432501435279846,0.312528520822525,0.47635307908058167,0.733189046382904,1.0,0.260541707277298,0.2571161389350891,0.4248143136501312,0.3452354073524475,0.22068053483963013
forest,0.24136987328529358,0.15328429639339447,0.1869555413722992,0.1357303112745285,0.17225387692451477,0.2309139519929886,0.24134553968906403,0.26471444964408875,0.664979100227356,0.1282939463853836,0.19032862782478333,0.1214437186717987
is,0.5394441485404968,0.28837618231773376,0.24409033358097076,0.44256699085235596,0.41165053844451904,0.4854315221309662,0.5823672413825989,0.15197539329528809,0.2674187123775482,0.4819129705429077,0.3526395261287689,0.22961433231830597
contained,0.3168308436870575,0.18997789919376373,0.12209813296794891,0.27641811966896057,0.26949188113212585,0.37918418645858765,0.31440216302871704,0.16521644592285156,0.16811296343803406,0.34009167551994324,0.34354403614997864,0.171995609998703
within,0.40576374530792236,0.2498195916414261,0.17191655933856964,0.27913734316825867,0.2788230776786804,0.39594778418540955,0.39827480912208557,0.09349033236503601,0.194475457072258,0.29054832458496094,0.22582502663135529,0.1870293766260147
brazil,0.23529648780822754,0.16803036630153656,0.2698252499103546,0.16852658987045288,0.22417069971561432,0.2030242383480072,0.21643289923667908,0.47757160663604736,0.33739855885505676,0.1851300597190857,0.13945013284683228,0.14306876063346863
",",0.5201468467712402,0.3087472915649414,0.27878350019454956,0.3139454126358032,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.39254459738731384,0.27385151386260986,0.31091248989105225
with,0.4080928862094879,0.2464839518070221,0.24760155379772186,0.3572797477245331,0.336320698261261,0.41827285289764404,0.4223487675189972,0.21287250518798828,0.19804547727108002,0.36101722717285156,0.2364431470632553,0.2433311939239502
