,what,is,controled,by,the,market,and,economy,?
where,0.4457937180995941,0.3586711287498474,0.24413952231407166,0.2641284465789795,0.5003893971443176,0.23145584762096405,0.43859338760375977,0.11450034379959106,0.24793872237205505
professional,0.20202119648456573,0.2246137410402298,0.11332647502422333,0.1685522496700287,0.1869824379682541,0.0872844010591507,0.2247244119644165,0.16640029847621918,0.13074518740177155
and,0.31309178471565247,0.3859752118587494,0.30977863073349,0.4289871156215668,0.5171257257461548,0.23057621717453003,1.0,0.26484790444374084,0.20544172823429108
labor,0.1943984031677246,0.13817991316318512,0.26282650232315063,0.18895922601222992,0.21506793797016144,0.22383908927440643,0.22200584411621094,0.3418976366519928,0.19386747479438782
organizations,0.20689024031162262,0.16318725049495697,0.24709193408489227,0.19712397456169128,0.2850687503814697,0.20637036859989166,0.2811741828918457,0.25724273920059204,0.22215601801872253
can,0.34502777457237244,0.44256699085235596,0.27633005380630493,0.29642900824546814,0.312528520822525,0.20016448199748993,0.3675691485404968,0.14292535185813904,0.3226337134838104
not,0.5449194312095642,0.3776007890701294,0.30929481983184814,0.291808545589447,0.4310511648654938,0.17486058175563812,0.39099299907684326,0.210959330201149,0.41942933201789856
limit,0.2810012400150299,0.18270912766456604,0.1938478797674179,0.2317083477973938,0.26700517535209656,0.15768641233444214,0.2629512846469879,0.16873732209205627,0.20747125148773193
the,0.42745697498321533,0.5823672413825989,0.3304439187049866,0.4408751428127289,1.0,0.2041238248348236,0.5171257257461548,0.24644890427589417,0.22068053483963013
number,0.23046229779720306,0.22390379011631012,0.14222262799739838,0.2551532983779907,0.35145696997642517,0.2039095163345337,0.28545793890953064,0.1293555349111557,0.19256845116615295
of,0.33290785551071167,0.4854315221309662,0.2770119905471802,0.3646814823150635,0.733189046382904,0.1694333702325821,0.5116966962814331,0.2583308815956116,0.1826142966747284
workers,0.21390831470489502,0.16085883975028992,0.24153000116348267,0.1887902021408081,0.23066683113574982,0.2205728143453598,0.22632038593292236,0.32930848002433777,0.1706571877002716
),0.26259949803352356,0.37732169032096863,0.17387689650058746,0.2151763141155243,0.3456730246543884,0.10896787792444229,0.4961937665939331,0.14874009788036346,0.42300865054130554
the,0.42745697498321533,0.5823672413825989,0.3304439187049866,0.4408751428127289,1.0,0.2041238248348236,0.5171257257461548,0.24644890427589417,0.22068053483963013
workers,0.21390831470489502,0.16085883975028992,0.24153000116348267,0.1887902021408081,0.23066683113574982,0.2205728143453598,0.22632038593292236,0.32930848002433777,0.1706571877002716
