,what,is,one,of,the,reason,that,us,production,has,been,held,responsible,for,recessions,and,lower,economic,growth,?
in,0.30808621644973755,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.21220409870147705,0.435920387506485,0.19746538996696472,0.22079120576381683,0.4173259735107422,0.3515113592147827,0.3127288818359375,0.24309778213500977,0.4322226941585541,0.2741536498069763,0.4954058527946472,0.27455443143844604,0.22027181088924408,0.2819603681564331,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.29647648334503174,0.5473989248275757,0.25727739930152893,0.2657334506511688,0.4177538752555847,0.3563927710056305,0.32185450196266174,0.3305104374885559,0.4739971458911896,0.3481437563896179,0.5171257257461548,0.3463275134563446,0.282455176115036,0.2912366986274719,0.22068053483963013
us,0.32081687450408936,0.1808239072561264,0.24666564166545868,0.23568789660930634,0.25727739930152893,0.3002997934818268,0.282404363155365,1.0000001192092896,0.12002798914909363,0.16496556997299194,0.17548087239265442,0.17764106392860413,0.18651871383190155,0.26768606901168823,0.2163703590631485,0.25715014338493347,0.1336304396390915,0.1569339632987976,0.13335372507572174,0.2742428481578827
production,0.16636081039905548,0.19756923615932465,0.1586098074913025,0.1928233802318573,0.2657334506511688,0.1445002406835556,0.2620202302932739,0.12002798914909363,1.0,0.18341509997844696,0.1540037989616394,0.11121353507041931,0.26036936044692993,0.26936712861061096,0.29291340708732605,0.25569969415664673,0.11768495291471481,0.31104111671447754,0.3528185188770294,0.19318072497844696
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.24553878605365753,0.4137537479400635,0.3120202422142029,0.24176549911499023,0.3734780251979828,0.34873589873313904,0.2880980372428894,0.2192283272743225,0.4464869201183319,0.2659476101398468,0.6633074283599854,0.236776202917099,0.2340485155582428,0.2218456119298935,0.31091248989105225
distribution,0.17429208755493164,0.2414398044347763,0.20931218564510345,0.254255473613739,0.27569329738616943,0.10193836688995361,0.25933966040611267,0.15106534957885742,0.37174180150032043,0.17687229812145233,0.15377384424209595,0.08402139693498611,0.18806640803813934,0.2117459923028946,0.20476119220256805,0.24142658710479736,0.18303778767585754,0.2468237280845642,0.28284287452697754,0.0929616317152977
and,0.31309178471565247,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.26490068435668945,0.4731321930885315,0.25715014338493347,0.25569969415664673,0.43716782331466675,0.3424558639526367,0.22757986187934875,0.29945531487464905,0.5064792633056641,0.3022209703922272,1.0,0.2802542746067047,0.2707010805606842,0.2731747627258301,0.20544172823429108
price,0.18606361746788025,0.23069579899311066,0.199353888630867,0.15675179660320282,0.22636492550373077,0.17663942277431488,0.2150627225637436,0.19459043443202972,0.37348005175590515,0.15195244550704956,0.14821341633796692,0.11967481672763824,0.1363462656736374,0.2516993284225464,0.27495327591896057,0.24203191697597504,0.20630401372909546,0.30151569843292236,0.23688551783561707,0.14631175994873047
disruptions,0.3280528783798218,0.21618680655956268,0.297738254070282,0.21998538076877594,0.264909029006958,0.3174552619457245,0.41640764474868774,0.1608957052230835,0.22258085012435913,0.2519344389438629,0.3203493058681488,0.14851684868335724,0.2995831072330475,0.25216829776763916,0.3835553228855133,0.2761043906211853,0.1681494116783142,0.2693083584308624,0.255850225687027,0.2949046194553375
``,0.008517155423760414,0.058766357600688934,0.1164957657456398,0.06780257821083069,0.029072100296616554,0.04532098397612572,0.05285148695111275,0.01951291412115097,-0.10742009431123734,0.06254398077726364,0.006640665698796511,-0.018358707427978516,0.06952828913927078,0.01270448137074709,0.021621011197566986,0.036644238978624344,0.15785254538059235,0.05811382457613945,0.10248588770627975,0.0685480609536171
