,what,year,was,the,first,class,taught,at,the,university,of,chicago,?
founded,0.1163782924413681,0.19139066338539124,0.36917948722839355,0.2840350568294525,0.29694172739982605,0.07068677991628647,0.35613274574279785,0.20260940492153168,0.2840350568294525,0.3603554666042328,0.24571022391319275,0.17652809619903564,0.09119737893342972
by,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.4408751428127289,0.3877052962779999,0.12142201513051987,0.20017704367637634,0.2368064820766449,0.4408751428127289,0.1929011344909668,0.3646814823150635,0.18057090044021606,0.17966607213020325
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.49448907375335693,0.18034407496452332,0.17271466553211212,0.457212895154953,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
american,0.1909721940755844,0.18412037193775177,0.31632548570632935,0.24562937021255493,0.29280033707618713,0.13941901922225952,0.15905098617076874,0.16126874089241028,0.24562937021255493,0.22128956019878387,0.22180068492889404,0.3793830871582031,0.18877598643302917
baptist,0.18676947057247162,0.12904496490955353,0.23352500796318054,0.19322502613067627,0.15740787982940674,0.12844780087471008,0.2824189066886902,0.229984313249588,0.19322502613067627,0.2729613482952118,0.2294047474861145,0.193944051861763,0.13512451946735382
education,0.19940856099128723,0.18821442127227783,0.23187610507011414,0.23982903361320496,0.18416465818881989,0.19484160840511322,0.49708476662635803,0.22585788369178772,0.23982903361320496,0.503289520740509,0.3015166223049164,0.17451082170009613,0.18067774176597595
society,0.23231269419193268,0.1369493305683136,0.21627455949783325,0.2789285480976105,0.158951997756958,0.2231724113225937,0.2522802948951721,0.11969181150197983,0.2789285480976105,0.27261555194854736,0.23646748065948486,0.1606089323759079,0.1373005360364914
with,0.2464839518070221,0.3220449686050415,0.27411898970603943,0.4223487675189972,0.2691199779510498,0.17964689433574677,0.15994487702846527,0.29126521944999695,0.4223487675189972,0.13264121115207672,0.41827285289764404,0.23699991405010223,0.2433311939239502
a,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.23462694883346558,0.17421811819076538,0.3095070421695709,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.23916715383529663
donation,0.2708088159561157,0.26826128363609314,0.25097429752349854,0.2916262447834015,0.22865377366542816,0.1156657487154007,0.12835724651813507,0.20556394755840302,0.2916262447834015,0.27285951375961304,0.2724698781967163,0.13393603265285492,0.2340010702610016
from,0.2737620174884796,0.2101740688085556,0.31171464920043945,0.40150508284568787,0.23348960280418396,0.17733758687973022,0.19041840732097626,0.3447161316871643,0.40150508284568787,0.2771088182926178,0.4249346852302551,0.21376916766166687,0.19969791173934937
oil,0.14842186868190765,0.11215627938508987,0.15102124214172363,0.21849922835826874,0.11076387017965317,0.051255032420158386,0.05938548967242241,0.14921875298023224,0.21849922835826874,0.14503049850463867,0.22900764644145966,0.08672285079956055,0.14867261052131653
