,who,was,guy,'s,rival,?
all,0.3698336184024811,0.23179835081100464,0.1993197798728943,0.03181743621826172,0.1560617983341217,0.29575422406196594
declared,0.1618698090314865,0.3524813950061798,0.05176595598459244,-0.012038737535476685,0.20299552381038666,0.17688149213790894
their,0.3767721951007843,0.2396296262741089,0.12846910953521729,-0.005530759692192078,0.20352992415428162,0.1898253709077835
support,0.21206305921077728,0.2208256870508194,0.15889455378055573,-0.013377348892390728,0.18306328356266022,0.22626608610153198
for,0.37110671401023865,0.3863949179649353,0.17624445259571075,-0.07241261005401611,0.15607786178588867,0.264628142118454
richard,0.27835920453071594,0.26966050267219543,0.26769691705703735,-0.04731119051575661,0.17714738845825195,0.15003317594528198
provided,0.18789203464984894,0.2404836267232895,0.12976427376270294,0.01738812029361725,0.04204490780830383,0.16893617808818817
that,0.45444270968437195,0.33670201897621155,0.21660412847995758,0.04397977516055107,0.21558032929897308,0.32716336846351624
he,0.5500732064247131,0.5410010814666748,0.2653505206108093,0.024063590914011,0.2673666775226593,0.2089974731206894
support,0.21206305921077728,0.2208256870508194,0.15889455378055573,-0.013377348892390728,0.18306328356266022,0.22626608610153198
guy,0.25973543524742126,0.18860884010791779,0.9999999403953552,-0.07749800384044647,0.18411961197853088,0.2167169600725174
against,0.2942115366458893,0.22972732782363892,0.09681403636932373,-0.0006242102244868875,0.3255358636379242,0.18095137178897858
his,0.44966956973075867,0.4405253231525421,0.24545063078403473,0.047556519508361816,0.3003861904144287,0.18075084686279297
rival,0.2481742799282074,0.2730695903301239,0.18411961197853088,-0.0021357182413339615,1.0,0.08066411316394806
conrad,0.2138577550649643,0.27369725704193115,0.24601221084594727,-0.007733084261417389,0.14561769366264343,0.10728748887777328
of,0.2827862501144409,0.4069072902202606,0.13617706298828125,-0.03817026689648628,0.16546274721622467,0.1826142966747284
montferrat,0.28359276056289673,0.3024224042892456,0.23576483130455017,0.002637095982208848,0.22532489895820618,0.13501028716564178
.,0.3541337847709656,0.40146201848983765,0.2100554257631302,-0.003708066651597619,0.14835117757320404,0.4130953550338745
