,what,did,article,12,of,the,allied,armistice,terms,require,germany,to,withdraw,from,?
the,0.42745697498321533,0.34736719727516174,0.3329811692237854,0.28907760977745056,0.733189046382904,1.0,0.3092154562473297,0.31463000178337097,0.29706791043281555,0.17356595396995544,0.3181285262107849,0.535392165184021,0.25700607895851135,0.40150508284568787,0.22068053483963013
allied,0.15757989883422852,0.2220751941204071,0.13868655264377594,0.11262871325016022,0.2840718626976013,0.3092154562473297,1.0000001192092896,0.5114932060241699,0.18367129564285278,0.1307300478219986,0.3734678030014038,0.24804295599460602,0.33657747507095337,0.18306854367256165,0.1341097056865692
armistice,0.22201651334762573,0.23232430219650269,0.21510814130306244,0.07851898670196533,0.26916632056236267,0.31463000178337097,0.5114932060241699,0.9999998807907104,0.19382107257843018,0.1314145028591156,0.3447013199329376,0.2267254739999771,0.30213692784309387,0.1659415364265442,0.19832712411880493
terms,0.23885610699653625,0.19385001063346863,0.29626116156578064,0.09167876839637756,0.2767748534679413,0.29706791043281555,0.18367129564285278,0.19382107257843018,1.0,0.23432490229606628,0.15823735296726227,0.356818288564682,0.14371062815189362,0.24940045177936554,0.23466452956199646
required,0.2506856620311737,0.30923745036125183,0.3368752896785736,0.0754588320851326,0.26183071732521057,0.27848219871520996,0.17240563035011292,0.20578204095363617,0.2618851065635681,0.7939618825912476,0.09854524582624435,0.3613971471786499,0.2203238159418106,0.1592145413160324,0.24962718784809113
in,0.30808621644973755,0.2593238651752472,0.26153311133384705,0.18516430258750916,0.5696388483047485,0.6662389636039734,0.2222563773393631,0.30668944120407104,0.2410934716463089,0.14079172909259796,0.3642844259738922,0.45010748505592346,0.19440212845802307,0.4274188280105591,0.20430970191955566
article,0.40514686703681946,0.27629354596138,0.9999999403953552,0.11930330842733383,0.25720444321632385,0.3329811692237854,0.13868655264377594,0.21510814130306244,0.29626116156578064,0.3124614655971527,0.17013821005821228,0.361922025680542,0.2622184157371521,0.21608585119247437,0.4948462247848511
12,0.1696145385503769,0.11160892248153687,0.11930330842733383,1.0000001192092896,0.2886716425418854,0.28907760977745056,0.11262871325016022,0.07851898670196533,0.09167876839637756,0.034083276987075806,0.16579769551753998,0.22845682501792908,0.05243298411369324,0.1726745069026947,0.10021790862083435
that,0.6297725439071655,0.47518548369407654,0.41666144132614136,0.2566739022731781,0.41498205065727234,0.5473989248275757,0.22062496840953827,0.2417764663696289,0.29983192682266235,0.3625117540359497,0.22514168918132782,0.5436353087425232,0.29354625940322876,0.3477667272090912,0.32716336846351624
germany,0.21690446138381958,0.2132834792137146,0.17013821005821228,0.16579769551753998,0.2942050099372864,0.3181285262107849,0.3734678030014038,0.3447013199329376,0.15823735296726227,0.10114642977714539,1.0,0.24172882735729218,0.20112337172031403,0.18705032765865326,0.1388660967350006
withdraw,0.275155633687973,0.2686275839805603,0.2622184157371521,0.05243298411369324,0.17758740484714508,0.25700607895851135,0.33657747507095337,0.30213692784309387,0.14371062815189362,0.19190460443496704,0.20112337172031403,0.29418426752090454,1.0000001192092896,0.23920488357543945,0.19605658948421478
from,0.2737620174884796,0.20248863101005554,0.21608585119247437,0.1726745069026947,0.4249346852302551,0.40150508284568787,0.18306854367256165,0.1659415364265442,0.24940045177936554,0.14626190066337585,0.18705032765865326,0.4069952368736267,0.23920488357543945,1.0,0.19969791173934937
