,when,did,delegates,to,the,world,methodist,council,vote,to,adopt,the,joint,declaration,on,the,doctrine,of,justification,?,''
on,0.37706470489501953,0.2670976221561432,0.24570350348949432,0.41031414270401,0.5107308030128479,0.22789059579372406,0.19416043162345886,0.16224971413612366,0.23685438930988312,0.41031414270401,0.1642284244298935,0.5107308030128479,0.18687814474105835,0.27536746859550476,0.9999999403953552,0.5107308030128479,0.13018092513084412,0.3966929316520691,0.27333176136016846,0.2714994251728058,0.04238596186041832
july,0.24211758375167847,0.25485745072364807,0.18454639613628387,0.228788822889328,0.2371699959039688,0.17290803790092468,0.17402057349681854,0.13369038701057434,0.24955984950065613,0.228788822889328,0.13128753006458282,0.2371699959039688,0.12694600224494934,0.2746564447879791,0.36770564317703247,0.2371699959039688,0.10989250242710114,0.19723743200302124,0.22918906807899475,0.2897891402244568,-0.0906042605638504
18,-0.16991649568080902,-0.16295963525772095,-0.13045290112495422,-0.17942632734775543,-0.07796193659305573,-0.006521877832710743,-0.058821022510528564,-0.07546044886112213,-0.02536088600754738,-0.17942632734775543,0.0052686892449855804,-0.07796193659305573,-0.08049163222312927,-0.14193208515644073,-0.049966923892498016,-0.07796193659305573,-0.04765930771827698,-0.09725122153759003,-0.10862434655427933,-0.04919438064098358,0.026879368349909782
",",0.36674630641937256,0.3015086054801941,0.22884875535964966,0.44245919585227966,0.4933079481124878,0.26091980934143066,0.2960420250892639,0.23820561170578003,0.27201512455940247,0.44245919585227966,0.16473941504955292,0.4933079481124878,0.1446857750415802,0.264011949300766,0.49057599902153015,0.4933079481124878,0.15962223708629608,0.4946078956127167,0.28414639830589294,0.31091248989105225,-0.037358131259679794
2006,0.023816242814064026,-0.07636451721191406,-0.05867444723844528,0.012056082487106323,0.11294147372245789,-0.04510511830449104,-0.08306603878736496,-0.0509585365653038,-0.06604455411434174,0.012056082487106323,0.0402892604470253,0.11294147372245789,0.006329233758151531,-0.0432363785803318,-0.04389945790171623,0.11294147372245789,-0.012721667997539043,0.10009169578552246,0.04208364710211754,-0.1194092258810997,-0.03991890326142311
",",0.36674630641937256,0.3015086054801941,0.22884875535964966,0.44245919585227966,0.4933079481124878,0.26091980934143066,0.2960420250892639,0.23820561170578003,0.27201512455940247,0.44245919585227966,0.16473941504955292,0.4933079481124878,0.1446857750415802,0.264011949300766,0.49057599902153015,0.4933079481124878,0.15962223708629608,0.4946078956127167,0.28414639830589294,0.31091248989105225,-0.037358131259679794
delegates,0.21495755016803741,0.20380783081054688,1.0,0.2622842788696289,0.2935996651649475,0.19899305701255798,0.2044026404619217,0.39745423197746277,0.4453451931476593,0.2622842788696289,0.32397037744522095,0.2935996651649475,0.24148932099342346,0.4338257610797882,0.24570350348949432,0.2935996651649475,0.2918117046356201,0.2760004699230194,0.29099613428115845,0.1611657589673996,-0.04324604943394661
to,0.5423505902290344,0.4452643394470215,0.2622842788696289,1.0,0.535392165184021,0.26213452219963074,0.21503986418247223,0.23829470574855804,0.2892617881298065,1.0,0.2708991467952728,0.535392165184021,0.1634485125541687,0.23193620145320892,0.41031414270401,0.535392165184021,0.18971149623394012,0.41548454761505127,0.23092837631702423,0.29463258385658264,-0.009905828163027763
the,0.5091903209686279,0.34736719727516174,0.2935996651649475,0.535392165184021,1.0,0.33604270219802856,0.21922016143798828,0.2829204201698303,0.22779929637908936,0.535392165184021,0.215359166264534,1.0,0.2854326069355011,0.28377723693847656,0.5107308030128479,1.0,0.23041051626205444,0.733189046382904,0.26831284165382385,0.22068053483963013,0.041273195296525955
world,0.23794586956501007,0.1944720596075058,0.19899305701255798,0.26213452219963074,0.33604270219802856,1.0000001192092896,0.09401881694793701,0.17487794160842896,0.10545264184474945,0.26213452219963074,0.15470264852046967,0.33604270219802856,0.1376229077577591,0.16766326129436493,0.22789059579372406,0.33604270219802856,0.1574636846780777,0.2828933000564575,0.18499760329723358,0.17579582333564758,-0.07833857089281082
