,other,theories,of,the,word,'s,origin,can,be,generally,classed,as,what,?
some,0.6399164199829102,0.3330647051334381,0.4300730526447296,0.4566698372364044,0.2571132183074951,0.056411296129226685,0.24303457140922546,0.5319128632545471,0.49956634640693665,0.5420756936073303,0.3813677728176117,0.4293700158596039,0.4491020441055298,0.2562315762042999
disagree,0.3310513496398926,0.3582721948623657,0.22792287170886993,0.23200152814388275,0.22164450585842133,0.01914253458380699,0.2163519263267517,0.28878358006477356,0.31628578901290894,0.3144988417625427,0.2754238247871399,0.24597063660621643,0.53138667345047,0.37936678528785706
with,0.44086363911628723,0.20106440782546997,0.41827285289764404,0.4223487675189972,0.15935911238193512,-0.04624466598033905,0.14820793271064758,0.3572797477245331,0.36101722717285156,0.33641812205314636,0.20568986237049103,0.40387406945228577,0.2464839518070221,0.2433311939239502
such,0.6041211485862732,0.27826642990112305,0.3209529519081116,0.3575236201286316,0.21736446022987366,0.05073437839746475,0.19594697654247284,0.396209716796875,0.5239806771278381,0.4361444115638733,0.2739683985710144,0.6207084655761719,0.23989605903625488,0.17851735651493073
double,0.16770507395267487,0.13231514394283295,0.18580502271652222,0.21355170011520386,0.10984733700752258,0.05522814020514488,0.17465117573738098,0.23476770520210266,0.2080271989107132,0.2373172640800476,0.1367494761943817,0.20162899792194366,0.16209302842617035,0.10017921775579453
or,0.5325124859809875,0.24910013377666473,0.3792596757411957,0.4174870550632477,0.39034852385520935,0.06871571391820908,0.17930443584918976,0.5614996552467346,0.5260903835296631,0.5280534625053406,0.33515241742134094,0.4400654137134552,0.33867141604423523,0.32389625906944275
triple,0.2360566407442093,0.16013996303081512,0.19114786386489868,0.23220868408679962,0.1607276350259781,-0.014886848628520966,0.14766892790794373,0.17449600994586945,0.21971791982650757,0.0992036983370781,0.11089687049388885,0.16639026999473572,0.1699010133743286,0.10550399124622345
non-french,0.3296191990375519,0.2203340381383896,0.2606109380722046,0.29699745774269104,0.2789252996444702,0.06118505820631981,0.18570689857006073,0.2777099311351776,0.2775183618068695,0.3696790039539337,0.21531802415847778,0.2884460389614105,0.2697906792163849,0.28853076696395874
linguistic,0.2049696445465088,0.3404525816440582,0.27630457282066345,0.22038806974887848,0.2943015396595001,0.019549645483493805,0.36560043692588806,0.11507970094680786,0.14258943498134613,0.20319893956184387,0.22521385550498962,0.22555319964885712,0.2583354115486145,0.1955655962228775
origins,0.21342699229717255,0.3910963535308838,0.2670811712741852,0.2890577018260956,0.3055146038532257,-0.02242027409374714,0.6893133521080017,0.13778625428676605,0.1419059932231903,0.24943719804286957,0.19911019504070282,0.21491949260234833,0.2137981504201889,0.1275135576725006
",",0.4446498453617096,0.18424807488918304,0.4946078956127167,0.4933079481124878,0.24605005979537964,-0.0016132977325469255,0.2943580448627472,0.3139454126358032,0.39254459738731384,0.29679131507873535,0.25329262018203735,0.48816442489624023,0.3087472915649414,0.31091248989105225
arguing,0.28046852350234985,0.2991005778312683,0.24923518300056458,0.2737332284450531,0.1823146641254425,-0.01983710750937462,0.11812327057123184,0.18876637518405914,0.2053208202123642,0.25608590245246887,0.11776085942983627,0.2931940257549286,0.4372275173664093,0.2956003248691559
that,0.5570666193962097,0.39760348200798035,0.41498205065727234,0.5473989248275757,0.31071701645851135,0.04397977516055107,0.20789451897144318,0.4522190988063812,0.6036020517349243,0.4812265634536743,0.3084835410118103,0.4735107421875,0.6297725439071655,0.32716336846351624
for,0.3273986279964447,0.18592172861099243,0.4185989499092102,0.4739971458911896,0.28341928124427795,-0.07241261005401611,0.20526328682899475,0.35690054297447205,0.3801851272583008,0.35338807106018066,0.19262650609016418,0.44774648547172546,0.3017193675041199,0.264628142118454
the,0.44152235984802246,0.24012529850006104,0.733189046382904,1.0,0.2835540175437927,-0.01540423184633255,0.24161343276500702,0.312528520822525,0.4248143136501312,0.41466525197029114,0.23143306374549866,0.48381632566452026,0.42745697498321533,0.22068053483963013
word,0.244954451918602,0.17102515697479248,0.23799116909503937,0.2835540175437927,1.0,0.0292508564889431,0.21633532643318176,0.2806529402732849,0.27129513025283813,0.288411021232605,0.1308552324771881,0.2052028775215149,0.30982115864753723,0.19046713411808014
to,0.4193183183670044,0.21480143070220947,0.41548454761505127,0.535392165184021,0.2865414023399353,0.03782717138528824,0.17114397883415222,0.4979398250579834,0.4972836375236511,0.3871513605117798,0.21550069749355316,0.42092081904411316,0.455847829580307,0.29463258385658264
have,0.559082567691803,0.31020575761795044,0.3802283704280853,0.40389683842658997,0.2115316241979599,-0.02807004563510418,0.20022007822990417,0.5489245653152466,0.5760743618011475,0.49163123965263367,0.3077247142791748,0.37788212299346924,0.39808809757232666,0.32991164922714233
spread,0.30261480808258057,0.2151685506105423,0.2895529866218567,0.28994160890579224,0.24493274092674255,0.003855166956782341,0.17089182138442993,0.2838987112045288,0.2378535121679306,0.25932493805885315,0.1896722912788391,0.19766707718372345,0.22287604212760925,0.16482828557491302
into,0.25933539867401123,0.19439169764518738,0.32255905866622925,0.39493247866630554,0.21055036783218384,0.00961404386907816,0.1296977549791336,0.301788330078125,0.3462390601634979,0.23220045864582062,0.2514205873012543,0.24094121158123016,0.2180619090795517,0.15662476420402527
common,0.32652610540390015,0.19067008793354034,0.2949881851673126,0.2705984115600586,0.29180869460105896,0.04670591652393341,0.22428999841213226,0.37593990564346313,0.2283303439617157,0.39644381403923035,0.24332323670387268,0.2140667736530304,0.19989867508411407,0.20434872806072235
use,0.389494389295578,0.21142058074474335,0.2750902473926544,0.34342584013938904,0.32959768176078796,0.004619393963366747,0.1955343633890152,0.5362023711204529,0.4528608024120331,0.45139849185943604,0.22158783674240112,0.3453201949596405,0.3453877568244934,0.32795652747154236
in,0.39989137649536133,0.1867285519838333,0.5696388483047485,0.6662389636039734,0.19815877079963684,-0.037580832839012146,0.25708678364753723,0.26527702808380127,0.3481820821762085,0.28190043568611145,0.2289372831583023,0.3887844979763031,0.30808621644973755,0.20430970191955566
france,0.19600534439086914,0.1542762666940689,0.3265724182128906,0.35517507791519165,0.12548720836639404,0.024341266602277756,0.11683353781700134,0.1836143285036087,0.21067580580711365,0.21414481103420258,0.10989314317703247,0.19034622609615326,0.17793065309524536,0.15069349110126495
